restaurant_id,name,city,state,neighborhood,address,phone,official_website,official_instagram,official_facebook,google_business_url,ordering_url,cuisine,tags,status,last_checked,notes
bella-cucina,Bella Cucina,Southport,NC,,,,https://www.belladiningnc.com/weekly-lunch-specials,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
provision-company,Provision Company,Southport,NC,,,,https://provisioncompany.com/menu/,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
asian-taste,Asian Taste,Southport,NC,,,,https://www.asiantastenc.com/y1j30nsx/restaurant/order-online?menu=Lunch+Menu,,,,https://www.asiantastenc.com/y1j30nsx/restaurant/order-online?menu=Lunch+Menu,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
fishy-fishy-cafe,Fishy Fishy Cafe,Southport,NC,,,,https://www.fishyfishycafe.com/menu,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
island-way,Island Way,,NC,,,,https://islandwayres.com/early-evening-dinner-menu/,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
frying-pan-restaurant,Frying Pan Restaurant,Southport,NC,,,,https://fryingpansouthport.com/faq-items/what-are-your-hours/,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
los-primos-mexican-restaurant,Los Primos Mexican Restaurant,Southport,NC,,,,https://losprimosmexicanrestaurant.com/menu/los-primos-2-5021-southport-crossing-way,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
southport-gourmet-and-sushi-bar,Southport Gourmet & Sushi Bar,Southport,NC,,,,https://www.southportgourmetandsushibar.com/lunch.html,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
san-felipe-mexican-restaurant,San Felipe Mexican Restaurant,Southport,NC,,,,https://www.sanfelipenc.com/menu,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
southern-a-gathering-place,"Southern, a gathering place",Southport,NC,,,,https://www.southernagatheringplace.com/menu,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
dot-s-on-howe,Dot's On Howe,Southport,NC,,,,,,https://www.facebook.com/p/Dots-On-Howe-61573928559561/,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
island-times-cafe,Island Times Cafe,Southport,NC,,,,,,https://www.facebook.com/islandtimescafe/,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
carolina-coastal-cafe-cacoca,Carolina Coastal Cafe (CaCoCa),Southport,NC,,,,,,https://www.facebook.com/p/Carolina-Coastal-Cafe-100067967550997/,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
ports-of-call-bistro,Ports of Call Bistro,Southport,NC,,,,https://portsofcallbistro.com/,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
the-saucy-southerner,The Saucy Southerner,Southport,NC,,,,https://saucysoutherner.com/,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
gourmet-to-go-and-catered-affairs,Gourmet to Go & Catered Affairs,Southport,NC,,,,https://gourmettogosouthport.com/daily-menu,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
rusty-hooks-dockside-grill,Rusty Hooks Dockside Grill,Southport,NC,,,,https://www.rustyhooksdockside.com/menu,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
the-thai-peppers,The Thai Peppers,Southport,NC,,,,https://thethaipeppers.com/,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
taste-of-china,Taste of China,Southport,NC,,,,https://www.tasteofchina5204.com/,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
castucci-s-italian-joint,Castucci's Italian Joint,Southport,NC,,,,,,https://www.facebook.com/castuccis/,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
bambini-s-pizzeria,Bambini's Pizzeria,Southport,NC,,,,https://bambinisrestaurant.com/,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
eggs-up-grill,Eggs Up Grill,Southport,NC,,,,https://locations.eggsupgrill.com/nc/southport/66/,,,,,,southport intake,needs_review,,User-provided consolidated Southport/Oak Island intake; Codex did not fetch or verify source.
