restaurant,signal_title,deal_type,days_available,time_window,price_or_value,source_basis,status,blocker,source_url
City Barbeque — Wilmington,Rib Bone Tuesday,weekly_special,Tuesday,all day,discount; price missing,official menu,A_source_backed_candidate,Need Wilmington ordering/screenshot,https://www.citybbq.com/
City Barbeque — Wilmington,Family Pack,family_meal,daily,not listed,feeds family; price/location varies,official menu,B_source_backed_terms_missing,Need local order price,https://www.citybbq.com/
Smithfield's Chicken 'N Bar-B-Q,Tailgate Special,family_meal,daily/not stated,not listed,8-pc chicken + hushpuppies + BBQ + sides + tea; price missing,official menu,B_source_backed_terms_missing,Need Wilmington/local confirmation,https://www.scnbnc.com/
South Beach Grill,Chef's Chalkboard Specials,daily_special,rotating,not listed,exact items not captured,official homepage,B_source_backed_terms_missing,Need chalkboard menu/PDF capture,https://www.southbeachgrillwb.com/
SeaWitch Tiki Bar,Rotating Dinner Specials,dinner_special,rotating,event evenings,exact items/prices not captured,official event copy,C_manual_social_needed,Need same-day capture/direct confirmation,https://seawitchtikibar.com/
Shuckin' Shack Oyster Bar — Leland,America 250 Summer Menu,seasonal_menu,seasonal,not listed,image/menu-only terms not captured,official location page,B_source_backed_terms_missing,Need image capture and boundary decision,https://www.theshuckinshack.com/location-leland
Moe's Original BBQ — Wilmington,Double Wide / Triple Wide Family Packs,family_meal,daily,not listed,serves 3-4 / 5-6; prices missing,official location/menu page,A_source_backed_candidate,Need screenshot/order price,https://www.moesoriginalbbq.com/lo/wilmington/
Moe's Original BBQ — Wilmington,Daily Special Sides,daily_special,daily rotating,not listed,exact side changes; same-day capture needed,official location/menu page,B_source_backed_terms_missing,Capture same-day side only,https://www.moesoriginalbbq.com/lo/wilmington/
Kickback Jack's — Wilmington,Wings & Fries Lunch Combo,lunch_special,daily/not stated,11 AM-3 PM,six wings with fries; price missing,official menu + Wilmington ordering link,B_source_backed_terms_missing,Need local order price,https://www.kbjacks.com/menu?section=3
Kickback Jack's — Wilmington,Flatbread & Salad Lunch Combo,lunch_special,daily/not stated,11 AM-3 PM,half flatbread + salad; price missing,official menu,B_source_backed_terms_missing,Need local order price,https://www.kbjacks.com/menu?section=3
Fish Bites Seafood Restaurant,Daily Specials,daily_special,daily/current,not listed,social-media exact terms needed,official website social signal,C_manual_social_needed,Capture official social post,https://www.fishbitesseafood.com/
The Bridge Tender,Nightly Feature,nightly_feature,Tue-Sun signal,4 PM-9 PM dinner service,exact item/price not captured,official homepage link,B_source_backed_terms_missing,Manual Nightly Feature capture,https://www.thebridgetender.com/
