review_task_id,related_type,related_id,deal_id,source_id,restaurant_id,source_capture_id,direct_confirmation_id,report_source,opened_at,opened_by,assigned_reviewer,review_reason,risk_flags,priority,status,decision,decision_reason,decided_at,decided_by,next_action,next_action_due,public_copy_approval_status,food_alcohol_copy_check,next_check_due_required,expires_on_required,audit_event_id,resolution_notes
rt-wilmington-2026-06-13-k38-porters-neck-source,source,src-k38-porters-neck-primary,,src-k38-porters-neck-primary,k38-porters-neck,,,expansion_intake_2026_06_13,2026-06-13T09:00:00-04:00,codex,codex_research_review,Fresh official source capture required before creating deal intake candidates.,official_source_recheck;public_copy_required,normal,closed,approved,Fresh official source capture completed and food-only K38 Porters Neck candidates were reviewed into approved public fixture rows.,2026-06-13T15:30:00-04:00,codex_agent_audit,Recheck official source on next_check_due.,2026-06-20,approved,food_only_approved,true,true,aud-wilmington-2026-06-13-k38-porters-neck-source-resolved,Source-discovery task resolved; deal-level review tasks carry the public approval history.
rt-wilmington-2026-06-13-k38-forum-source,source,src-k38-forum-primary,,src-k38-forum-primary,k38-forum,,,expansion_intake_2026_06_13,2026-06-13T09:00:00-04:00,codex,codex_research_review,Fresh official source capture required before creating deal intake candidates.,official_source_recheck;public_copy_required,normal,closed,approved,Fresh official source capture completed and food-only K38 Forum candidates were reviewed into approved public fixture rows.,2026-06-13T15:30:00-04:00,codex_agent_audit,Recheck official source on next_check_due.,2026-06-20,approved,food_only_approved,true,true,aud-wilmington-2026-06-13-k38-forum-source-resolved,Source-discovery task resolved; deal-level review tasks carry the public approval history.
rt-wilmington-2026-06-13-prost-source,source,src-prost-biergarten-primary,,src-prost-biergarten-primary,prost-biergarten,,,expansion_intake_2026_06_13,2026-06-13T09:00:00-04:00,codex,codex_research_review,Volatile official specials page needs fresh food-only capture.,date_windowed;alcohol_suppression;freshness_required,high,closed,approved,Fresh official Prost specials capture completed and date-windowed food-only candidate rows were created for review.,2026-06-13T15:30:00-04:00,codex_agent_audit,Review open Prost candidate rows before their date windows expire.,2026-06-20,not_started,food_only_pending,true,true,aud-wilmington-2026-06-13-prost-source-resolved,Source task resolved; candidate approval remains blocked in deal-level review tasks.
rt-wilmington-2026-06-13-seabird-source,source,src-seabird-primary,,src-seabird-primary,seabird,,,expansion_intake_2026_06_13,2026-06-13T09:00:00-04:00,codex,codex_research_review,Official identity source found; determine whether an official food-special source exists.,source_discovery;no_deal_claim,low,closed,rejected,Official pages were checked and no exact current food-special claim with deal terms was found.,2026-06-13T15:30:00-04:00,codex_agent_audit,Reopen only with fresh official evidence or direct confirmation of a concrete food deal.,2026-06-20,not_started,food_only_pending,true,true,aud-wilmington-2026-06-13-seabird-source-rejected-current,No active deal intake row created.
rt-wilmington-2026-06-13-mess-hall-source,source,src-mess-hall-primary,,src-mess-hall-primary,mess-hall,,,expansion_intake_2026_06_13,2026-06-13T09:00:00-04:00,codex,codex_research_review,Official identity source found; determine whether an official food-special source exists.,source_discovery;no_deal_claim,low,closed,rejected,Official pages were checked and no exact current food-special claim with deal terms was found.,2026-06-13T15:30:00-04:00,codex_agent_audit,Reopen only with fresh official evidence or direct confirmation of a concrete food deal.,2026-06-20,not_started,food_only_pending,true,true,aud-wilmington-2026-06-13-mess-hall-source-rejected-current,No active deal intake row created.
rt-wilmington-2026-06-13-k38-porters-neck-monday,deal_candidate,cand-wilmington-2026-06-13-k38-porters-neck-monday-5-food-items,,src-k38-porters-neck-primary,k38-porters-neck,cap-wilmington-2026-06-13-k38-porters-neck-official,,expansion_intake_2026_06_13,2026-06-13T09:45:00-04:00,codex,codex_phase_1r,"Review food-only copy, exact item wording, and missing end time before approval.",end_time_unknown;alcohol_copy_suppressed;public_copy_needed,normal,closed,approved,"Official source supports food-only Monday special, start time, and dine-in restriction; alcohol copy suppressed.",2026-06-13T11:30:00-04:00,codex_phase_1r,recheck_source,2026-07-13,approved,food_only_approved,true,false,aud-k38-porters-neck-monday-5-food-published,Approved for public fixture as deal-wilmington-k38-porters-neck-monday-5-food-items; static prototype only.
rt-wilmington-2026-06-13-k38-porters-neck-wednesday,deal_candidate,cand-wilmington-2026-06-13-k38-porters-neck-wednesday-quesadilla,,src-k38-porters-neck-primary,k38-porters-neck,cap-wilmington-2026-06-13-k38-porters-neck-official,,expansion_intake_2026_06_13,2026-06-13T09:45:00-04:00,codex,codex_phase_1r,"Review discount wording, base-price absence, and missing end time before approval.",base_price_not_captured;end_time_unknown;alcohol_copy_suppressed;public_copy_needed,normal,closed,approved,"Official source supports food-only Wednesday quesadilla discount, start time, and dine-in restriction; alcohol copy suppressed.",2026-06-13T11:30:00-04:00,codex_phase_1r,recheck_source,2026-07-13,approved,food_only_approved,true,false,aud-k38-porters-neck-wednesday-quesadilla-published,Approved for public fixture as deal-wilmington-k38-porters-neck-wednesday-quesadilla; static prototype only.
rt-wilmington-2026-06-13-k38-forum-monday,deal_candidate,cand-wilmington-2026-06-13-k38-forum-monday-5-food-items,,src-k38-forum-primary,k38-forum,cap-wilmington-2026-06-13-k38-forum-official,,expansion_intake_2026_06_13,2026-06-13T09:45:00-04:00,codex,codex_phase_1r,"Review food-only copy, exact item wording, and missing end time before approval.",end_time_unknown;alcohol_copy_suppressed;public_copy_needed,normal,closed,approved,"Official source supports food-only Monday special, start time, and dine-in restriction; alcohol copy suppressed.",2026-06-13T11:30:00-04:00,codex_phase_1r,recheck_source,2026-07-13,approved,food_only_approved,true,false,aud-k38-forum-monday-5-food-published,Approved for public fixture as deal-wilmington-k38-forum-monday-5-food-items; static prototype only.
rt-wilmington-2026-06-13-k38-forum-wednesday,deal_candidate,cand-wilmington-2026-06-13-k38-forum-wednesday-quesadilla,,src-k38-forum-primary,k38-forum,cap-wilmington-2026-06-13-k38-forum-official,,expansion_intake_2026_06_13,2026-06-13T09:45:00-04:00,codex,codex_phase_1r,"Review discount wording, base-price absence, and missing end time before approval.",base_price_not_captured;end_time_unknown;alcohol_copy_suppressed;public_copy_needed,normal,closed,approved,"Official source supports food-only Wednesday quesadilla discount, start time, and dine-in restriction; alcohol copy suppressed.",2026-06-13T11:30:00-04:00,codex_phase_1r,recheck_source,2026-07-13,approved,food_only_approved,true,false,aud-k38-forum-wednesday-quesadilla-published,Approved for public fixture as deal-wilmington-k38-forum-wednesday-quesadilla; static prototype only.
rt-wilmington-2026-06-13-prost-tuesday-smash-burger,deal_candidate,cand-wilmington-2026-06-13-prost-tuesday-smash-burger,deal-wilmington-prost-2026-06-16-smash-burger,src-prost-biergarten-primary,prost-biergarten,cap-wilmington-2026-06-13-prost-specials-official,,expansion_intake_2026_06_13,2026-06-13T09:45:00-04:00,codex,codex_research_review,Review volatile date-windowed source and service-mode assumptions before approval.,volatile_date_window;takeout_delivery_unknown;alcohol_copy_suppressed;public_copy_needed,high,closed,approved,Official source supports a date-specific Tuesday June 16 $10 smash burger lunch special from 11 AM to 4 PM; alcohol copy suppressed and service modes limited to dine-in public copy.,2026-06-13T16:45:00-04:00,codex_phase_1u,recheck_source,2026-06-17,approved,food_only_approved,true,true,aud-wilmington-2026-06-13-prost-tuesday-smash-burger-published,Approved for static prototype public fixture in Phase 1U; not live availability.
