Queue_Row,Restaurant,Area/Lane,Offer / Item,Primary Category,Meal Period,Happy Hour,Original Bucket,Batch Status,Capture Result,Exact Terms Confirmed,Public Ready,Updated Bucket,Evidence Status,Blocker Remaining,Next Action,Source URL,Source Quote,Accessed Date,Notes,Evidence_File,Evidence_Hash
76,Blue Surf Cafe,Racine / College Rd,"dinner_special, kids_special, flatbread_special, entree_discount",Family / Kids,Dinner,No,B_source_backed_needs_capture,source_text_confirmed_parent_row,Official menu source confirms weekly dinner-special surface and budget positioning. Split into item rows below.,Partial parent row,No,B_source_backed_needs_capture,source_text_captured,Parent row should not publish as-is; item rows need screenshot/archive and food-safe copy review.,Use item-level rows for promotion review; suppress drink copy and capture screenshot/PDF.,https://bluesurfrestaurants.com/menu/,Weekly Dinner & Drink Specials; dinner specials 7 days a week; dinner special go from 4-9PM; specials rotate every few days.,2026-07-06,"Official menu page confirms 250 Racine Drive Wilmington location and hours. PDF fetch failed in this environment, but page text supports the main weekly dinner-special signal.",evidence_text/076_blue-surf-cafe-dinner-special-kids-special-flatbread-special-entree-discount.md,sha256:800fe7913959902a2d67ba0546f05f8f04b8bf923ce1b930a57c2492d6f794ac
77,Blue Surf Cafe,Racine / College Rd,2 for $20 sandwiches,Sandwiches / Hotdogs,Dinner,No,B_source_backed_needs_capture,source_text_confirmed_food_row,Official source confirms Tuesday sandwich row.,Yes,No,A_promotable_after_review,source_text_captured,Needs screenshot/archive; drink copy appears adjacent and must be suppressed.,"Create item-level intake row: Tuesday 2 for $20 sandwiches, dinner window 4-9 PM; suppress $2.50 imports.",https://bluesurfrestaurants.com/menu/,2 for $20 Tuesday Sandwiches + $2.50 Imports!,2026-07-06,Dinner-special page states dinner specials run 4-9 PM. Alcohol copy must not enter food public copy.,evidence_text/077_blue-surf-cafe-2-for-20-sandwiches.md,sha256:54637c2729d77327a7f801c2a6a89cb1bf94a07df1342376ca07db071e94dfc5
78,Blue Surf Cafe,Racine / College Rd,$2 off entrees,Other Food Special,Dinner,No,B_source_backed_needs_capture,source_text_confirmed_food_row,Official source confirms Friday entree discount and time window.,Yes,No,A_promotable_after_review,source_text_captured,Needs screenshot/archive; adjacent drink special suppressed.,Create Friday dinner row with $2 off entrees 4-9 PM; suppress domestic beer text.,https://bluesurfrestaurants.com/menu/,$2 Fridays – $2 Domestics ALL DAY & $2 OFF Entrees 4-9PM!,2026-07-06,Food component is exact. Alcohol-only component is suppressed.,evidence_text/078_blue-surf-cafe-2-off-entrees.md,sha256:f3d09816410dbd1b808b53312140dc649072309e68ab20617e9505c438580866
79,Blue Surf Cafe,Racine / College Rd,$2 off flatbreads,Other Food Special,Dinner,No,B_source_backed_needs_capture,source_text_confirmed_food_row,Official source confirms Thursday flatbread discount and time window.,Yes,No,A_promotable_after_review,source_text_captured,Needs screenshot/archive; beer copy suppressed.,Create Thursday flatbread row with $2 off flatbreads 4-9 PM; suppress draft beer language.,https://bluesurfrestaurants.com/menu/,Thursday Pizza & Beer Night – $2 OFF Flatbreads 4-9PM + $5 Drafts ALL DAY!,2026-07-06,Exact food row; public copy must avoid beer.,evidence_text/079_blue-surf-cafe-2-off-flatbreads.md,sha256:ad5a334872637975b2c88eba03bb009bde6a2e7cad4691f81687520b9baa6549
80,Blue Surf Cafe,Racine / College Rd,$5 kids menu items,Family / Kids,Dinner,No,B_source_backed_needs_capture,source_text_confirmed_food_row,Official source confirms Wednesday kids-menu item special.,Yes,No,A_promotable_after_review,source_text_captured,Needs screenshot/archive; adjacent wine copy suppressed; exact dinner window inferred from weekly dinner-special section.,Create Wednesday family/kids row with $5 kids menu items; verify if dinner-special 4-9 PM applies before publishing time window.,https://bluesurfrestaurants.com/menu/,Wednesday Mom & Kids Night – $3 House Wines + $5 Kids Menu Items!,2026-07-06,"Strong family/kids food row, but public copy must omit wine and maybe mark time as 'dinner special section' until screenshot review.",evidence_text/080_blue-surf-cafe-5-kids-menu-items.md,sha256:506212fcf97c317cb7257f26a3fb4e63983fe6672ce1c637cafef187c58607df
81,Cape Fear Seafood Company - Monkey Junction,Monkey Junction,"lunch_special, brunch_special, seafood",Brunch,Brunch / Lunch,No,B_source_backed_needs_capture,source_text_confirmed_parent_row,"Official location page confirms Monkey Junction location, brunch special availability, and lunch-special signal.",Partial parent row,No,B_source_backed_needs_capture,source_text_captured,Parent row mixes brunch/lunch and standard menu text; split into distinct brunch and lunch rows.,Split into brunch-special signal row and lunch-special row; capture pricing detail if using item rows.,https://capefearseafoodcompany.com/locations/monkey-junction/,"Brunch Specials are offered Saturdays and Sundays 10am–2pm; 12 Lunch Specials under $15, available daily until 4 PM.",2026-07-06,"Official location page confirms 5226 S. College Road Suite 5, Wilmington NC; to-go and delivery links are present.",evidence_text/081_cape-fear-seafood-company-monkey-junction-lunch-special-brunch-special-seafood.md,sha256:55f544c2edfedef39563132a8c31400d646c221864ccadfa64c09fe64f700027
82,Cape Fear Seafood Company - Monkey Junction,Monkey Junction,12 lunch specials under $15,Lunch Special,Lunch,No,B_source_backed_needs_capture,source_text_confirmed_food_row,"Official source confirms daily lunch-special count, price ceiling, and time window.","Yes, item list not captured",No,A_promotable_after_review,source_text_captured,Needs screenshot/archive; item-level lunch specials/prices not visible in accessible text.,Create broad row or capture menu pricing via location/order page before item-level promotion.,https://capefearseafoodcompany.com/locations/monkey-junction/,"12 Lunch Specials under $15, available daily until 4 PM.",2026-07-06,Strong broad lunch row; exact individual item names/prices should be captured before ideal public copy.,evidence_text/082_cape-fear-seafood-company-monkey-junction-12-lunch-specials-under-15.md,sha256:800b54043f3474405f8025c4f92cf33882f967aacf225ccd8d8646db65a5f1b9
83,Caprice Bistro,Downtown,"mussels, chicken_special, charcuterie, petit_plates, happy_hour_food",Happy Hour Food,Dinner / Happy Hour,Yes,B_source_backed_needs_capture,source_text_confirmed_parent_row,Official weekly-specials page confirms several food-bearing weekly/happy-hour rows.,Partial parent row,No,B_source_backed_needs_capture,source_text_captured,Parent row should be split; alcohol rows suppressed; screenshot/archive still needed.,"Use item rows for Mussel Monday, Date Night board, Petit Plates, and Coq au Vin review.",https://www.capricebistro.com/weekly-specials,Mussel Mondays; Coq au Vin Tuesday; Date Night à Deux Wednesdays; Daily Specials 4:00 PM to 6:00 PM Petit Plates.,2026-07-06,"Official source confirms 10 Market St, Wilmington NC.",evidence_text/083_caprice-bistro-mussels-chicken-special-charcuterie-petit-plates-happy-hour-food.md,sha256:435640f192307b23c190d0621ce47989a610a49e1c4e611a375283aadb280687
84,Caprice Bistro,Downtown,Coq au Vin Tuesday,Other Food Special,Dinner,No,B_source_backed_needs_capture,source_text_confirmed_price_missing,"Official source confirms Tuesday-only Coq au Vin special, but price is not visible.",Partial,No,B_source_backed_needs_capture,source_text_captured,Price missing; screenshot/archive still needed.,Keep as B row; verify whether price exists elsewhere before public copy.,https://www.capricebistro.com/weekly-specials,Every Tuesday; Savor our Coq au Vin: braised chicken thigh in rich Burgundy wine sauce only on Tuesday nights.,2026-07-06,Food row is real; promotion depends on whether no-price dinner special passes value/deal gate.,evidence_text/084_caprice-bistro-coq-au-vin-tuesday.md,sha256:f93a1702e3ba2c1ca16e4e8e29b08d77a6e1941a523f1e78af7d625e00213b02
85,Caprice Bistro,Downtown,Daily Petit Plates,Happy Hour Food,Happy Hour,Yes,B_source_backed_needs_capture,source_text_confirmed_food_row,Official source confirms daily 4-6 PM happy-hour food list and $7 price.,Yes,No,A_promotable_after_review,source_text_captured,Needs screenshot/archive; venue-area restriction needs public copy.,"Create daily happy-hour food row: $7 Petit Plates, 4-6 PM, specific seating areas.",https://www.capricebistro.com/weekly-specials,"Every Monday, Tuesday, Wednesday, Thursday, Friday, Saturday and Sunday, 4:00 PM to 6:00 PM; Petit Plates Menu at the bar, bistro tables, sofa lounge or outdoor tables; $7 Caprice Monsieur, Crepe Caprice, Mussels, Calamari, Saucisse, Petit Friture.",2026-07-06,"Excellent happy-hour food candidate with exact time, price, item list, and seating restrictions.",evidence_text/085_caprice-bistro-daily-petit-plates.md,sha256:ace8c1e0b9ad1e4d5c69dabc942605209ad754846f04491f660030377d4eac79
