Queue_Row,Priority,Restaurant,Offer_Item,Category,Batch_Status,Promotability_After_Capture,Source_Status,Source_URL,Evidence_Type,Source_Quote,Evidence_Summary,Remaining_Blocker,Next_Action,Happy_Hour,Alcohol_Copy_Status,Scope_Status,Evidence_File,Evidence_SHA256
31,High,Okami Japanese Steakhouse,All You Can Eat Sushi,Hibachi / Asian,partial_source_text_confirmed,B_source_backed_needs_exact_terms,Official homepage + PDF menu text confirmed; all-you-can-eat price/core terms missing,https://www.okamisteakhouse.com/_files/ugd/8a63de_b4cf71943e444bfc890b08a887450a16.pdf,official_pdf_text,"ALL YOU CAN EAT SUSHI MENU; menu includes soup/salad, appetizers, and rolls with item prices.","Official Okami site confirms Wilmington address/hours and links an All You Can Eat Sushi PDF. The PDF confirms the menu category and item list, but not the all-you-can-eat price or complete terms.",Needs exact AYCE price/terms and durable PDF screenshot/archive before promotion.,Manual/PDF capture of pricing/terms or direct confirmation; do not promote from category label alone.,false,food_only,wilmington_confirmed,evidence/31-okami-japanese-steakhouse-all-you-can-eat-sushi.md,sha256:1a02418a81dee54974a47ef4e7c73d64f2ca911cceaac382de47cc4a4b46c5a0
32,High,On Thyme Restaurant,happy_hour_food_lead,Happy Hour Food,blocked_official_site_fetch_failed,C_strong_lead_needs_official_source,Official website returned 502 in fetch; exact happy-hour food terms not confirmed,https://www.oohyougotthyme.com/,official_site_fetch_error,Official website fetch failed with 502 Bad Gateway.,"The happy-hour-food signal remains lead-only. No current official food items, price, schedule, or restrictions were captured from the site.",Official source inaccessible; exact food happy-hour terms missing.,"Manual browser retry, official social capture, or direct confirmation.",true,unknown_food_component,wilmington_confirmed,evidence/32-on-thyme-restaurant-happy-hour-food-lead.md,sha256:ea3ed0b67b4bef53e844c116dde3c0e409de2daba44be07736933ca284f4adac
33,Normal,On Thyme Restaurant,Coverage / source row,Other Food Special,blocked_official_site_fetch_failed,C_strong_lead_needs_official_source,Official website returned 502; coverage row remains source-missing,https://www.oohyougotthyme.com/,official_site_fetch_error,Official website fetch failed with 502 Bad Gateway.,Coverage row could not be advanced because the official site did not return accessible content.,"Need official source text, social, or direct confirmation.",Retry official site and check official social/direct contact.,false,n/a,wilmington_confirmed,evidence/33-on-thyme-restaurant-coverage-source-row.md,sha256:360be7586642e45164d91aad36513ecabaa89530687deeb91e628cf3f19cc481
34,Normal,Port Land Grille,routine_rotating_menu,Other Food Special,demoted_checked_no_offer_found,D_checked_no_offer_found,Official entree page confirms rotating chef selection but not a discount/special offer,https://www.portlandgrille.com/entrees/,official_website_text,CHEF’S SELECTION (ROTATES DAILY); OUR FISH LIST CHANGES SLIGHTLY NIGHTLY.,"Official menu supports routine menu rotation, not a meaningful food-special offer under Forkcast rules.",No deal terms; generic rotating menu should not be promoted.,Mark checked/no offer found unless a future official specials or event source appears.,false,n/a,wilmington_confirmed,evidence/34-port-land-grille-routine-rotating-menu.md,sha256:2bbc834b3cb2caf7975a4ad21bb93a54e801d491bc52df09355517c4403774d4
35,Normal,Port Land Grille,Coverage / source row,Other Food Special,demoted_checked_no_offer_found,D_checked_no_offer_found,"Official homepage and menu confirm location/hours/menu, no exact offer",https://www.portlandgrille.com/,official_website_text,"Location: 1908 Eastwood Road, Suite 111; Hours Tues-Sat 5:30 pm - until.","Homepage confirms restaurant identity/location, but no food special or discount terms were captured.",No offer found.,Keep as coverage/no-offer-found row.,false,n/a,wilmington_confirmed,evidence/35-port-land-grille-coverage-source-row.md,sha256:4a71013abed63a7e2ae025c2202e23cb72e48735ddcf98e757b3ebda5a9315d5
36,Normal,Port Land Grille,Chef's Selection rotates daily,Daily / Weekly Specials,demoted_checked_no_offer_found,D_checked_no_offer_found,Official source text confirms rotation only,https://www.portlandgrille.com/,official_website_text,Our selection of wood grilled seafood changes with the whims of the sea.,"Homepage language describes routine menu variation, not an advertised special/deal.","No price, discount, schedule, or named offer.",Do not promote; revisit only if official specials page appears.,false,n/a,wilmington_confirmed,evidence/36-port-land-grille-chef-s-selection-rotates-daily.md,sha256:47bcbcc7ba631fe57b37ed724dd7318e63b3ddaa77e22f0bfca25686cae3de00
37,Normal,Port Land Grille,Chef's Selection rotates daily,Daily / Weekly Specials,demoted_checked_no_offer_found,D_checked_no_offer_found,Official entree page confirms fluid menu selection,https://www.portlandgrille.com/entrees/,official_website_text,"AS WITH THE SEA, OUR SELECTION IS FLUID AND SUBJECT TO LAST MINUTE CHANGES.","This is a routine availability/chef selection statement, not a Forkcast deal candidate.",No meaningful deal terms.,Close as checked/no offer found for current queue.,false,n/a,wilmington_confirmed,evidence/37-port-land-grille-chef-s-selection-rotates-daily.md,sha256:62565408fb4e49f9e1df2e3d6ee6a156c964d038ad88136af4a85d3c9bdb96a6
38,High,RUMCOW.,happy_hour_food_lead,Happy Hour Food,blocked_no_exact_terms,C_strong_lead_needs_official_source,Official site confirms restaurant/location but no exact happy-hour food terms,https://rumcowwilmington.com/,official_website_text,"RUMCOW. Wilmington, NC; Global flavors meet American classics.","Official site confirms the restaurant and Wilmington identity, but no current special, happy-hour food, price, or schedule terms were found in fetched text.",Exact food happy-hour terms absent.,Official social/manual confirmation needed before it can become a deal row.,true,unknown_food_component,wilmington_confirmed,evidence/38-rumcow-happy-hour-food-lead.md,sha256:1032d140c8b35aa4547776a0e09129595a4e1355ce85df82d4768b828beb81b6
39,Normal,RUMCOW.,Coverage / source row,Other Food Special,blocked_no_exact_terms,C_strong_lead_needs_official_source,Official site confirms identity only,https://rumcowwilmington.com/,official_website_text,"Welcome to RUMCOW. Wilmington, NC, where we bring the world to your plate.","Coverage source is useful for identity/location, but not a deal source.",No exact offer captured.,Keep in manual/social capture queue.,false,n/a,wilmington_confirmed,evidence/39-rumcow-coverage-source-row.md,sha256:85faf7b9cf751ea879c5fbddc1f40dd72a8200b9bcb0441a507626311d622367
40,High,San Felipe Mexican Restaurant,L-Burro Roqueta lunch,Lunch Special,source_text_confirmed_scope_review,B_source_backed_needs_scope_and_capture,Official feature-menu PDF confirms lunch item/price/time; locations are Leland/Southport boundary,https://www.sanfelipenc.com/s/25yrs-Feature-Menu-Web.pdf,official_pdf_text,L-BURRO ROQUETA ... served with your choice of rice or refried beans. 10.99; AVAILABLE 11AM - 3PM.,"Official PDF supports item, price, and lunch window. Official locations page confirms Leland/Southport nearby-market locations, requiring scope decision.",Boundary market scope; durable PDF screenshot/archive needed.,Decide Leland/Southport handling; capture PDF screenshot; map to exact location if publishing.,false,food_only,boundary_review,evidence/40-san-felipe-mexican-restaurant-l-burro-roqueta-lunch.md,sha256:2d22e7331a2bb2c89f9366bd1ac8256426ab1f96ba3d2b162eb2eece1e2bbe27
41,High,San Felipe Mexican Restaurant,Special Quesadilla lunch,Lunch Special,source_text_confirmed_scope_review,B_source_backed_needs_scope_and_capture,Official feature-menu PDF confirms lunch item/price/time,https://www.sanfelipenc.com/s/25yrs-Feature-Menu-Web.pdf,official_pdf_text,SPECIAL QUESADILLA ... served with crema salad. 8.99; AVAILABLE 11AM - 3PM.,"Official PDF supports item, included side/salad, price, and lunch window; location scope remains boundary-market review.",Scope/location mapping and durable PDF capture needed.,Capture PDF screenshot and attach location decision before promotion.,false,food_only,boundary_review,evidence/41-san-felipe-mexican-restaurant-special-quesadilla-lunch.md,sha256:6ad21e5124fe63253c5056285561d36b54f9c3768f9a9c353a628ff635b4f4d4
42,High,San Felipe Mexican Restaurant,Speedy Gonzalez lunch,Lunch Special,source_text_confirmed_scope_review,B_source_backed_needs_scope_and_capture,Official feature-menu PDF confirms lunch item/price/time,https://www.sanfelipenc.com/s/25yrs-Feature-Menu-Web.pdf,official_pdf_text,"SPEEDY GONZALEZ: One taco, one enchilada and your choice of rice or refried beans. 8.99; AVAILABLE 11AM - 3PM.","Official PDF supports item, components, price, and lunch window; location scope remains boundary-market review.",Scope/location mapping and durable PDF capture needed.,Capture PDF screenshot and decide Greater Wilmington vs boundary lane.,false,food_only,boundary_review,evidence/42-san-felipe-mexican-restaurant-speedy-gonzalez-lunch.md,sha256:b56966c4825b78bea832f166c2a5cf887a5a1f2e2b3ddfe44045ff3292aab0a9
43,Normal,SeaWitch Tiki Bar,Rotating Dinner Specials / specials signal,Daily / Weekly Specials,partial_source_text_confirmed,C_strong_lead_needs_exact_terms,"Official site confirms rotating dinner-special signal, but standing specials are drink-only",https://seawitchtikibar.com/,official_website_text,Ask your server or bartender about rotating Dinner Specials; standing specials shown include drink-only offers.,"Official event copy confirms rotating dinner-special signal; no exact food item, price, or recurring schedule captured. Drink-only standing specials should be suppressed.",Exact dinner-special food terms missing; drink-only specials suppressed.,Manual same-day call/social capture for exact food specials.,false,drink_only_suppressed,carolina_beach_broad_scope,evidence/43-seawitch-tiki-bar-rotating-dinner-specials-specials-signal.md,sha256:3525b27c9b6d282055cc2a59246cc9dbda94adeb4ea61ce9afb68d5293f8ddf7
44,Normal,Sugo Italian Steakhouse,Coverage / source row,Other Food Special,source_text_confirmed_needs_deal_value_review,B_source_backed_needs_deal_value_review,Official menu updated weekly and has Specials section with item prices,https://sugoitaliansteakhouse.com/menu,official_website_text,"Menu updated weekly; Specials include Burrata & Tomato 25, Double Bone-In Pork Chop 46, Rigatoni Mignon 45.",Official menu has weekly update timestamp and Specials section with exact items/prices; reviewer must decide whether this qualifies as a Forkcast special versus routine menu additions.,Deal-value review and screenshot/archive needed.,Capture menu screenshot/PDF and decide rotating-special treatment.,false,food_only,wilmington_confirmed,evidence/44-sugo-italian-steakhouse-coverage-source-row.md,sha256:091e62eb127f85a5efe0c0dc72bdebe7def472d6b7eb04447deb7ac6514b2ca9
45,Normal,Sugo Italian Steakhouse,No exact special captured,Other Food Special,upgraded_source_text_confirmed_needs_deal_value_review,B_source_backed_needs_deal_value_review,Official menu now exposes exact Specials section,https://sugoitaliansteakhouse.com/menu,official_website_text,"Specials section lists Crispy Calamari Fritti 26, Oysters RAW 35, Lamb Shank 52, Crab & Grouper Chowder 29, Broiled Clams 35.","Prior no-exact-special row can be upgraded: the official menu now has exact specials and prices, refreshed July 6, 2026. Still needs deal-value gate.",Deal-value review; screenshot/archive; determine if specials are a public candidate row or coverage-only.,Merge with Sugo coverage row; do not duplicate public rows.,false,food_only,wilmington_confirmed,evidence/45-sugo-italian-steakhouse-no-exact-special-captured.md,sha256:8609f1e015a3ac46c73dede3aaf575951a4d356b82ca6ed3b7a2bce0a8c5dd8e
