Queue_Row,Restaurant,Area/Lane,Offer / Item,Primary Category,Meal Period,Happy Hour,Original Bucket,Batch Status,Capture Result,Exact Terms Confirmed,Public Ready,Updated Bucket,Evidence Status,Blocker Remaining,Next Action,Source URL,Source Quote,Accessed Date,Notes
61,Sugo Italian Steakhouse,,Oysters RAW $35 / Oysters Garlic Parm $35.,Seafood / Oysters,Unclassified,No,A_promotable_after_review,source_text_confirmed_deal_value_review,Confirmed source text; not a clear discount/value deal yet,Official weekly-updated Specials section includes Oysters RAW $35 and Oysters Garlic Parm $35.,No,B_source_backed_needs_deal_value_review,source_text_confirmed,Needs deal-value review; screenshot/archive still needed.,Reviewer decides whether weekly rotating Specials menu qualifies as Forkcast deal; capture page/PDF artifact if accepted.,https://sugoitaliansteakhouse.com/menu,"Menu updated weekly · last refreshed July 6, 2026; Specials include Oysters RAW 35 and Oysters Garlic Parm 35.",2026-07-06,Requires reviewer decision whether rotating 'Specials' menu section counts as meaningful offer vs routine menu availability; not a discount.
62,Sugo Italian Steakhouse,,Rigatoni Mignon $45.,Other Food Special,Unclassified,No,A_promotable_after_review,source_text_confirmed_deal_value_review,Confirmed source text; not a clear discount/value deal yet,Official weekly-updated Specials section includes Rigatoni Mignon $45.,No,B_source_backed_needs_deal_value_review,source_text_confirmed,Needs deal-value review; screenshot/archive still needed.,Reviewer decides if rotating Specials menu row qualifies or should remain menu-rotation coverage.,https://sugoitaliansteakhouse.com/menu,"Menu updated weekly · last refreshed July 6, 2026; Specials include Rigatoni Mignon 45.",2026-07-06,Requires reviewer decision whether rotating 'Specials' menu section counts as meaningful offer vs routine menu availability; not a discount.
63,Sugo Italian Steakhouse,,"Weekly/rotating Specials section from official dinner menu, last refreshed June 29, 2026.",Daily / Weekly Specials,Dinner,No,A_promotable_after_review,source_text_confirmed_deal_value_review,Confirmed overview source text,Official Dinner menu has weekly-updated Specials section with named items and prices.,No,B_source_backed_needs_deal_value_review,source_text_confirmed,Deal-value gate unresolved; screenshot/archive still needed.,Keep as coverage/rotation row unless reviewer accepts weekly Specials as deal-like.,https://sugoitaliansteakhouse.com/menu,"Menu updated weekly · last refreshed July 6, 2026; Specials section includes Burrata & Tomato 25, Rigatoni Mignon 45, Oysters RAW 35, Crab & Grouper Chowder 29, Broiled Clams 35.",2026-07-06,Requires reviewer decision whether rotating 'Specials' menu section counts as meaningful offer vs routine menu availability; not a discount.
64,Tequila's Waterfront,Downtown / Riverfront,weekly_special; lunch_special,Lunch Special,Lunch,No,E_suppressed_or_drink_only,image_source_confirmed_parent_row,Weekly Deals image confirmed; parent/overview row should split into food item rows,"Weekly Deals image supports Tue-Fri $10 lunch, Tuesday $2 street tacos, Wednesday half-off wings, Friday half-off fajitas; Thursday wine suppressed.",No,B_source_backed_needs_visual_capture,image_source_confirmed,Image/OCR screenshot/archive needed; split parent row into food rows; suppress wine.,Keep parent as source context; promote only item-level food rows after visual capture and food-safe copy review.,https://tequilaswaterfront.com/menus/,Weekly Deals image: Tue-Fri $10 Lunch Menu 11 AM–3 PM; Tuesday $2 Street Tacos 4 PM–close; Wednesday Half Off Wings 4 PM–close; Thursday Half Off Wine all day; Friday Half Off Fajitas 4 PM–close.,2026-07-06,"Official menus page includes a Weekly Deals image. Food rows include Tue-Fri $10 lunch menu 11 AM-3 PM, Tuesday $2 Street Tacos 4 PM-close, Wednesday half off wings 4 PM-close, and Friday half off fajitas 4 PM-close. Thursday half off wine is drink-only/mixed and should be suppressed."
65,Tequila's Waterfront,,Coverage / source row,Other Food Special,Unclassified,No,E_suppressed_or_drink_only,duplicate_coverage_row_consolidate,Official menus page confirmed; duplicate coverage row should roll up into item rows,"Official page exposes WEEKLY DEALS and food menu images, including weekly deals and lunch menu images.",No,D_duplicate_or_coverage_row,official_page_confirmed,Duplicate/coverage row; no standalone deal.,Merge into Tequila item-level rows; do not promote as its own deal.,https://tequilaswaterfront.com/menus/,"Menus page has WEEKLY DEALS, LUNCH, cocktails, DINNER sections and Wilmington address at 14 Harnett St.",2026-07-06,
66,Tequila's Waterfront,,"Friday Half Off Fajitas, 4 PM-close; excluding Trio Fajitas.",Lunch Special,Lunch / Dinner,No,E_suppressed_or_drink_only,image_source_confirmed_food_row,Confirmed from Weekly Deals image,"Friday half-off fajitas, available 4 PM–close; excluding Trio Fajitas.",No,B_source_backed_needs_visual_capture,image_source_confirmed,Needs screenshot/archive and alcohol-copy suppression context.,Capture image artifact; classify food_only; add Friday day/time; note Trio Fajitas exclusion.,https://tequilaswaterfront.com/menus/,"Friday: Half Off Fajitas, available 4 PM–close; enjoy half off all fajitas; excluding Trio Fajitas.",2026-07-06,"Needs local screenshot/archive saved from image source, content hash, human review, and food-safe public copy; suppress Thursday wine row."
67,Tequila's Waterfront,,"Tue-Fri $10 Lunch Menu, 11 AM-3 PM.",Lunch Special,Lunch,No,E_suppressed_or_drink_only,image_source_confirmed_food_row,Confirmed from Weekly Deals + Lunch Menu images,"Tue-Fri $10 lunch menu, 11 AM–3 PM; lunch image lists $10 items.",No,B_source_backed_needs_visual_capture,image_source_confirmed,Needs screenshot/archive; item list may need normalized extraction.,Capture weekly and lunch images; model as broad lunch_special or split into item rows.,https://tequilaswaterfront.com/menus/,Weekly Deals image: Tue-Fri $10 Lunch Menu 11 AM–3 PM. Lunch Menu image: Available Tuesday-Friday 11 AM–3 PM with listed $10 dishes.,2026-07-06,"Needs local screenshot/archive saved from image source, content hash, human review, and food-safe public copy; suppress Thursday wine row."
68,Tequila's Waterfront,,"Tuesday $2 Street Tacos, 4 PM-close; any select street tacos for $2.",Lunch Special,Lunch / Dinner,No,E_suppressed_or_drink_only,image_source_confirmed_food_row,Confirmed from Weekly Deals image,"Tuesday $2 street tacos, available 4 PM–close; select street tacos; mix and match.",No,B_source_backed_needs_visual_capture,image_source_confirmed,Needs screenshot/archive; select-street-taco restriction needs copy review.,"Capture image artifact; model Tuesday 4 PM-close, price $2, restrictions select street tacos/mix & match.",https://tequilaswaterfront.com/menus/,"Tuesday: $2 Street Tacos, available 4 PM–close; enjoy any select street tacos for only $2; mix & match.",2026-07-06,"Needs local screenshot/archive saved from image source, content hash, human review, and food-safe public copy; suppress Thursday wine row."
69,Tequila's Waterfront,,"Wednesday Half Off Wings, 4 PM-close.",Lunch Special,Lunch / Dinner,No,E_suppressed_or_drink_only,image_source_confirmed_food_row,Confirmed from Weekly Deals image,"Wednesday half-off wings, available 4 PM–close.",No,B_source_backed_needs_visual_capture,image_source_confirmed,Needs screenshot/archive and food-safe copy review.,Capture image artifact; model Wednesday 4 PM-close with half-off discount.,https://tequilaswaterfront.com/menus/,"Wednesday: Half Off Wings, available 4 PM–close; enjoy half off all wings.",2026-07-06,"Needs local screenshot/archive saved from image source, content hash, human review, and food-safe public copy; suppress Thursday wine row."
70,The Bento Box Sushi Bar,Mayfaire / Military Cutoff,Bento Box Lunch Combinations,Lunch Special,Lunch,No,B_source_backed_needs_capture,source_text_confirmed_price_missing,Confirmed lunch combo content/time; price still not captured,"Bento Box Lunch Combinations include miso soup and house salad; served until 2:30 PM only; items include Makimono, Sushi, Sashimi, Chicken Teriyaki, Salmon Teriyaki, Tempura.",No,B_source_backed_price_blocker,source_text_confirmed,Price missing; screenshot/PDF visual capture needed for final row.,Capture menu page/PDF page visually; direct-confirm price if not visible.,https://www.bentoboxsushi.com/menu,Bento Box Lunch Combinations: Includes Miso Soup and House Salad. Served until 2:30pm only.,2026-07-06,Prices missing from extracted text; screenshot/PDF capture needed.
