audit_event_id,event_at,actor,event_type,entity_type,entity_id,restaurant_id,related_deal_id,related_source_id,related_source_capture_id,related_direct_confirmation_id,related_source_check_id,related_review_task_id,before_state_ref,after_state_ref,summary,evidence_ref,notes
aud-sp-bella-cucina-weekly-lunch-specials-published,2026-06-03T14:45:00-04:00,codex_research_review,review_decision_recorded,deal,deal-sp-bella-cucina-weekly-lunch-specials,bella-cucina,deal-sp-bella-cucina-weekly-lunch-specials,src-sp-bella-cucina-weekly-lunch-specials,cap-sp-bella-cucina-weekly-lunch-specials-2026-06-03,,chk-sp-bella-cucina-weekly-lunch-specials-2026-06-03,rt-sp-bella-cucina-weekly-lunch-specials,cand-sp-bella-cucina-weekly-lunch-specials,deal-sp-bella-cucina-weekly-lunch-specials,Recorded existing approved Southport/Oak Island static prototype review for deal-sp-bella-cucina-weekly-lunch-specials.,fixtures/prototype/evidence/verified-static/src-sp-bella-cucina-weekly-lunch-specials.md,Backfilled from existing approved deal-intake and review-task rows; no promotion or evidence mutation performed.
aud-sp-provision-company-lunch-special-published,2026-06-03T14:45:00-04:00,codex_research_review,review_decision_recorded,deal,deal-sp-provision-company-lunch-special,provision-company,deal-sp-provision-company-lunch-special,src-sp-provision-company-lunch-special,cap-sp-provision-company-lunch-special-2026-06-03,,chk-sp-provision-company-lunch-special-2026-06-03,rt-sp-provision-company-lunch-special,cand-sp-provision-company-lunch-special,deal-sp-provision-company-lunch-special,Recorded existing approved Southport/Oak Island static prototype review for deal-sp-provision-company-lunch-special.,fixtures/prototype/evidence/verified-static/src-sp-provision-company-lunch-special.md,Backfilled from existing approved deal-intake and review-task rows; no promotion or evidence mutation performed.
aud-sp-asian-taste-lunch-special-published,2026-06-03T15:10:00-04:00,codex_research_review,review_decision_recorded,deal,deal-sp-asian-taste-lunch-special,asian-taste,deal-sp-asian-taste-lunch-special,src-sp-asian-taste-lunch-special,cap-sp-asian-taste-lunch-special-2026-06-03,,chk-sp-asian-taste-lunch-special-2026-06-03,rt-sp-asian-taste-lunch-special,cand-sp-asian-taste-lunch-special,deal-sp-asian-taste-lunch-special,Recorded existing approved Southport/Oak Island static prototype review for deal-sp-asian-taste-lunch-special.,fixtures/prototype/evidence/verified-static/src-sp-asian-taste-lunch-special.md,Backfilled from existing approved deal-intake and review-task rows; no promotion or evidence mutation performed.
aud-sp-island-way-early-evening-dinner-menu-published,2026-06-03T14:45:00-04:00,codex_research_review,review_decision_recorded,deal,deal-sp-island-way-early-evening-dinner-menu,island-way,deal-sp-island-way-early-evening-dinner-menu,src-sp-island-way-early-evening-dinner-menu,cap-sp-island-way-early-evening-dinner-menu-2026-06-03,,chk-sp-island-way-early-evening-dinner-menu-2026-06-03,rt-sp-island-way-early-evening-dinner-menu,cand-sp-island-way-early-evening-dinner-menu,deal-sp-island-way-early-evening-dinner-menu,Recorded existing approved Southport/Oak Island static prototype review for deal-sp-island-way-early-evening-dinner-menu.,fixtures/prototype/evidence/verified-static/src-sp-island-way-early-evening-dinner-menu.md,Backfilled from existing approved deal-intake and review-task rows; no promotion or evidence mutation performed.
aud-sp-frying-pan-restaurant-ayce-crab-legs-published,2026-06-03T14:45:00-04:00,codex_research_review,review_decision_recorded,deal,deal-sp-frying-pan-restaurant-ayce-crab-legs,frying-pan-restaurant,deal-sp-frying-pan-restaurant-ayce-crab-legs,src-sp-frying-pan-restaurant-ayce-crab-legs,cap-sp-frying-pan-restaurant-ayce-crab-legs-2026-06-03,,chk-sp-frying-pan-restaurant-ayce-crab-legs-2026-06-03,rt-sp-frying-pan-restaurant-ayce-crab-legs,cand-sp-frying-pan-restaurant-ayce-crab-legs,deal-sp-frying-pan-restaurant-ayce-crab-legs,Recorded existing approved Southport/Oak Island static prototype review for deal-sp-frying-pan-restaurant-ayce-crab-legs.,fixtures/prototype/evidence/verified-static/src-sp-frying-pan-restaurant-ayce-crab-legs.md,Backfilled from existing approved deal-intake and review-task rows; no promotion or evidence mutation performed.
aud-sp-san-felipe-lunch-special-combos-published,2026-06-03T15:10:00-04:00,codex_research_review,review_decision_recorded,deal,deal-sp-san-felipe-lunch-special-combos,san-felipe-mexican-restaurant,deal-sp-san-felipe-lunch-special-combos,src-sp-san-felipe-lunch-special-combos,cap-sp-san-felipe-lunch-special-combos-2026-06-03,,chk-sp-san-felipe-lunch-special-combos-2026-06-03,rt-sp-san-felipe-lunch-special-combos,cand-sp-san-felipe-lunch-special-combos,deal-sp-san-felipe-lunch-special-combos,Recorded existing approved Southport/Oak Island static prototype review for deal-sp-san-felipe-lunch-special-combos.,fixtures/prototype/evidence/verified-static/src-sp-san-felipe-lunch-special-combos.md,Backfilled from existing approved deal-intake and review-task rows; no promotion or evidence mutation performed.
aud-sp-pepperoni-grill-monday-pizza-special-published,2026-06-03T20:45:00-04:00,user_human_review_2026-06-03,review_decision_recorded,deal,deal-sp-pepperoni-grill-monday-pizza-special,pepperoni-grill-oak-island,deal-sp-pepperoni-grill-monday-pizza-special,src-sp-pepperoni-grill-oak-island-specials,cap-sp-pepperoni-grill-oak-island-specials-2026-06-03,,chk-sp-pepperoni-grill-oak-island-specials-2026-06-03,rt-sp-pepperoni-grill-monday-pizza-special,cand-sp-pepperoni-grill-monday-pizza-special,deal-sp-pepperoni-grill-monday-pizza-special,Recorded existing approved Southport/Oak Island static prototype review for deal-sp-pepperoni-grill-monday-pizza-special.,fixtures/prototype/evidence/verified-static/src-sp-pepperoni-grill-oak-island-specials.md,Backfilled from existing approved deal-intake and review-task rows; no promotion or evidence mutation performed.
aud-sp-pepperoni-grill-thursday-pizza-wings-special-published,2026-06-03T20:45:00-04:00,user_human_review_2026-06-03,review_decision_recorded,deal,deal-sp-pepperoni-grill-thursday-pizza-wings-special,pepperoni-grill-oak-island,deal-sp-pepperoni-grill-thursday-pizza-wings-special,src-sp-pepperoni-grill-oak-island-specials,cap-sp-pepperoni-grill-oak-island-specials-2026-06-03,,chk-sp-pepperoni-grill-oak-island-specials-2026-06-03,rt-sp-pepperoni-grill-thursday-pizza-wings-special,cand-sp-pepperoni-grill-thursday-pizza-wings-special,deal-sp-pepperoni-grill-thursday-pizza-wings-special,Recorded existing approved Southport/Oak Island static prototype review for deal-sp-pepperoni-grill-thursday-pizza-wings-special.,fixtures/prototype/evidence/verified-static/src-sp-pepperoni-grill-oak-island-specials.md,Backfilled from existing approved deal-intake and review-task rows; no promotion or evidence mutation performed.
aud-sp-bbq-house-oak-island-lunch-specials-published,2026-06-03T22:45:00-04:00,user_human_review_2026-06-03,review_decision_recorded,deal,deal-sp-bbq-house-oak-island-lunch-specials,bbq-house-oak-island,deal-sp-bbq-house-oak-island-lunch-specials,src-sp-bbq-house-oak-island-lunch-specials,cap-sp-bbq-house-oak-island-lunch-specials-2026-06-03,,chk-sp-bbq-house-oak-island-lunch-specials-2026-06-03,rt-sp-bbq-house-oak-island-lunch-specials,cand-sp-bbq-house-oak-island-lunch-specials,deal-sp-bbq-house-oak-island-lunch-specials,Recorded existing approved Southport/Oak Island static prototype review for deal-sp-bbq-house-oak-island-lunch-specials.,fixtures/prototype/evidence/verified-static/src-sp-bbq-house-oak-island-lunch-specials.md,Backfilled from existing approved deal-intake and review-task rows; no promotion or evidence mutation performed.
aud-sp-swain-seafood-shack-lasagna-night-published,2026-06-03T22:45:00-04:00,user_human_review_2026-06-03,review_decision_recorded,deal,deal-sp-swain-seafood-shack-lasagna-night,swain-seafood-shack,deal-sp-swain-seafood-shack-lasagna-night,src-sp-swain-seafood-shack-lasagna-night,cap-sp-swain-seafood-shack-lasagna-night-2026-06-03,,chk-sp-swain-seafood-shack-lasagna-night-2026-06-03,rt-sp-swain-seafood-shack-lasagna-night,cand-sp-swain-seafood-shack-lasagna-night,deal-sp-swain-seafood-shack-lasagna-night,Recorded existing approved Southport/Oak Island static prototype review for deal-sp-swain-seafood-shack-lasagna-night.,fixtures/prototype/evidence/verified-static/src-sp-swain-seafood-shack-lasagna-night.md,Backfilled from existing approved deal-intake and review-task rows; no promotion or evidence mutation performed.
