source_group_id,restaurants,source_url,row_count,current_source_status,capture_type,screenshot_archive_action,copy_action,scope_action,recurrence_action,source_notes,text_capture_path,text_capture_hash,capture_card_path
sg-circa-1922-static1-squarespace-com,Circa 1922,https://static1.squarespace.com/static/68c45e5c5157736767a0e9be/t/68d424829ced873bec34c5f8/1758733442902/Circa+1922+-+Fall+2025+Bar+Menu.pdf,7,confirmed_pdf_text_food_items,pdf_text_archive,manual_pdf_render_or_archive_needed,food_copy_review,scope_ok,recurrence_ok,PDF has item-level happy-hour food prices and 5-7 PM bar restriction.,source_capture_p1_sprint_2026-07-06/text_captures/sg-circa-1922-static1-squarespace-com-circa-1922.md,sha256:217561765ceba31b3fd062585a594bedced5dc2335eb48b1b2cd92f3ef0c878e,source_capture_p1_sprint_2026-07-06/capture_cards/sg-circa-1922-static1-squarespace-com-circa-1922.png
sg-hibachi-bistro-hibachibistro-com,Hibachi Bistro,https://hibachibistro.com/,2,confirmed_current_html_text,html_text_archive,browser_screenshot_or_web_archive_needed,food_copy_review,scope_ok,recurrence_ok,Homepage exposes lunch specials and Kids Eat Free terms.,source_capture_p1_sprint_2026-07-06/text_captures/sg-hibachi-bistro-hibachibistro-com-hibachi-bistro.md,sha256:b8c3ae939881023701d697ecd7ede43ffc1b137fca3eecdbabb52c1e4d55200f,source_capture_p1_sprint_2026-07-06/capture_cards/sg-hibachi-bistro-hibachibistro-com-hibachi-bistro.png
sg-junction-421-junction421-com,Junction 421,https://junction421.com/dinner-menu/,7,confirmed_current_html_text,html_text_archive,browser_screenshot_or_web_archive_needed,food_copy_review,scope_ok,recurrence_ok,"Dinner page exposes full Daily Blue Plate lineup, prices, while-it-lasts note, and address.",source_capture_p1_sprint_2026-07-06/text_captures/sg-junction-421-junction421-com-junction-421.md,sha256:ade46f1f8d32162574118d94a91017827555b704ded35050bcf3337ee10282b5,source_capture_p1_sprint_2026-07-06/capture_cards/sg-junction-421-junction421-com-junction-421.png
sg-k38-baja-grill-carolina-beach-k38bajagrill-com,K38 Baja Grill - Carolina Beach,https://k38bajagrill.com/locations/carolina-beach/,3,confirmed_current_html_text_alcohol_adjacent,html_text_archive,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,carolina_beach_broad_market_review_ok,recurrence_ok,Food terms confirmed; drink terms are adjacent and must be suppressed.,source_capture_p1_sprint_2026-07-06/text_captures/sg-k38-baja-grill-carolina-beach-k38bajagrill-com-k38-baja-grill-carolina-beach.md,sha256:cec20bbd87d5f1f4a3d724799a0d090fd3bca824e30e79a0c15d42c1053500f9,source_capture_p1_sprint_2026-07-06/capture_cards/sg-k38-baja-grill-carolina-beach-k38bajagrill-com-k38-baja-grill-carolina-beach.png
sg-k38-baja-grill-porters-neck-k38bajagrill-com,K38 Baja Grill - Porters Neck,https://k38bajagrill.com/locations/porters-neck/,3,confirmed_current_html_text_alcohol_adjacent,html_text_archive,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,Food terms confirmed; drink terms are adjacent and must be suppressed.,source_capture_p1_sprint_2026-07-06/text_captures/sg-k38-baja-grill-porters-neck-k38bajagrill-com-k38-baja-grill-porters-neck.md,sha256:4d81f24659e211ce1bc53c203f89bd7e0b20e03a720e64e653db7b8c1885aa19,source_capture_p1_sprint_2026-07-06/capture_cards/sg-k38-baja-grill-porters-neck-k38bajagrill-com-k38-baja-grill-porters-neck.png
sg-might-as-well-bar-and-grill-wilmington-wilmington-mightaswellbarandgrill-com,Might As Well Bar & Grill - Wilmington,https://wilmington.mightaswellbarandgrill.com/wilmington-might-as-well-bar-and-grill-wilmington-happy-hours-specials,2,confirmed_current_html_date_specific_alcohol_adjacent,html_text_archive,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_review_needed_date_labeled_specials,"Source uses date-specific weekly labels; keep as current source confirmation, not generic recurrence without review.",source_capture_p1_sprint_2026-07-06/text_captures/sg-might-as-well-bar-and-grill-wilmington-wilmington-mightaswellbarandgrill-com-might-as-w.md,sha256:b9fd015d515ff8ce56222f0b99c74ea28b4e7962a2b91301e9ae1d5aa00d475c,source_capture_p1_sprint_2026-07-06/capture_cards/sg-might-as-well-bar-and-grill-wilmington-wilmington-mightaswellbarandgrill-com-might-as-w.png
sg-san-felipe-mexican-restaurant-www-sanfelipenc-com,San Felipe Mexican Restaurant,https://www.sanfelipenc.com/s/25yrs-Feature-Menu-Web.pdf,3,confirmed_pdf_text_boundary_scope,pdf_text_archive,manual_pdf_page_2_render_or_archive_needed,food_copy_review,boundary_scope_review_needed_leland_southport,recurrence_ok,Lunch terms are in official feature menu PDF; scope review required before any Wilmington public-feed use.,source_capture_p1_sprint_2026-07-06/text_captures/sg-san-felipe-mexican-restaurant-www-sanfelipenc-com-san-felipe-mexican-restaurant.md,sha256:4c969950691cb5c5f98bbfbdd0bc5609202547fe7a8e87c60fdf4f875d29d2b0,source_capture_p1_sprint_2026-07-06/capture_cards/sg-san-felipe-mexican-restaurant-www-sanfelipenc-com-san-felipe-mexican-restaurant.png
sg-tequila-s-waterfront-tequilaswaterfront-com,Tequila's Waterfront,https://tequilaswaterfront.com/menus/,4,weekly_deals_image_present_exact_terms_from_prior_image_capture,image_menu_text_archive,durable_image_screenshot_or_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,Menus page exposes Weekly Deals image; exact food terms must be tied to image capture artifact.,source_capture_p1_sprint_2026-07-06/text_captures/sg-tequila-s-waterfront-tequilaswaterfront-com-tequila-s-waterfront.md,sha256:18aaa10b1fb959b9e6b05b789297552c04185a74089ec9b9f443a046dae790ba,source_capture_p1_sprint_2026-07-06/capture_cards/sg-tequila-s-waterfront-tequilaswaterfront-com-tequila-s-waterfront.png
sg-blue-surf-cafe-bluesurfrestaurants-com,Blue Surf Cafe,https://bluesurfrestaurants.com/menu/,4,confirmed_current_html_text_alcohol_adjacent,html_text_archive,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,Weekly dinner specials confirmed; drink specials appear adjacent and must be suppressed.,source_capture_p1_sprint_2026-07-06/text_captures/sg-blue-surf-cafe-bluesurfrestaurants-com-blue-surf-cafe.md,sha256:3e60ee1224b61f96c13308b662592716c8faa200668b70bb310fd3a2dc9f2b8b,source_capture_p1_sprint_2026-07-06/capture_cards/sg-blue-surf-cafe-bluesurfrestaurants-com-blue-surf-cafe.png
sg-cape-fear-seafood-company-monkey-junction-capefearseafoodcompany-com,Cape Fear Seafood Company - Monkey Junction,https://capefearseafoodcompany.com/locations/monkey-junction/,1,confirmed_current_html_text,html_text_archive,browser_screenshot_or_web_archive_needed,food_copy_review,scope_ok,recurrence_ok,Monkey Junction page confirms broad lunch-special claim and location context.,source_capture_p1_sprint_2026-07-06/text_captures/sg-cape-fear-seafood-company-monkey-junction-capefearseafoodcompany-com-cape-fear-seafood-.md,sha256:a0e061a03eeb1a19e7fe241ae55d988779a679a6b89eba7ee0f439ea09d389d8,source_capture_p1_sprint_2026-07-06/capture_cards/sg-cape-fear-seafood-company-monkey-junction-capefearseafoodcompany-com-cape-fear-seafood-.png
sg-caprice-bistro-www-capricebistro-com,Caprice Bistro,https://www.capricebistro.com/weekly-specials,4,confirmed_current_html_text_alcohol_adjacent,html_text_archive,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,Food terms confirmed; beer/wine/martini/champagne copy appears adjacent and must be suppressed.,source_capture_p1_sprint_2026-07-06/text_captures/sg-caprice-bistro-www-capricebistro-com-caprice-bistro.md,sha256:4d8de68d5b2e6848cdd9ae420cb6c7357f84ac1a50fd319ccb25b9c0b6c50c04,source_capture_p1_sprint_2026-07-06/capture_cards/sg-caprice-bistro-www-capricebistro-com-caprice-bistro.png
sg-circa-1922-www-circa1922-com,Circa 1922,https://www.circa1922.com/,1,confirmed_homepage_parent_signal,html_text_archive,browser_screenshot_or_web_archive_needed,food_copy_review,scope_ok,recurrence_ok,"Homepage confirms Happy Hour Bites link, daily 5-7 PM happy-hour bar menu image, and Wilmington address; item rows live in PDF group.",source_capture_p1_sprint_2026-07-06/text_captures/sg-circa-1922-www-circa1922-com-circa-1922.md,sha256:22179d3bdac4de976b4d97bf1881ed1e702da3cda83782bbb7b72787bf5be475,source_capture_p1_sprint_2026-07-06/capture_cards/sg-circa-1922-www-circa1922-com-circa-1922.png
