Queue_Row,Batch,Restaurant,Offer_Item,Category,Meal_Period,Happy_Hour,Source_URL,Source_Group_ID,P1_Sprint_Status,Source_Text_Archive_Status,Text_Capture_Path,Text_Capture_Hash,Capture_Card_Path,Screenshot_Archive_Status,Food_Copy_Status,Scope_Status,Recurrence_Status,Price,Days_Schedule,Time_Window,Service_Mode,Source_Quote,Remaining_Blocker,Next_Action,Ready_For_Intake_Row
4,Batch 01,Circa 1922,Circa Sliders,Happy Hour Food,,Yes,https://static1.squarespace.com/static/68c45e5c5157736767a0e9be/t/68d424829ced873bec34c5f8/1758733442902/Circa+1922+-+Fall+2025+Bar+Menu.pdf,sg-circa-1922-static1-squarespace-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_pdf_text_food_items,source_capture_p1_sprint_2026-07-06/text_captures/sg-circa-1922-static1-squarespace-com-circa-1922.md,sha256:217561765ceba31b3fd062585a594bedced5dc2335eb48b1b2cd92f3ef0c878e,source_capture_p1_sprint_2026-07-06/capture_cards/sg-circa-1922-static1-squarespace-com-circa-1922.png,manual_pdf_render_or_archive_needed,food_copy_review,scope_ok,recurrence_ok,$10,daily not explicitly in PDF; homepage image alt says daily,5:00 PM-7:00 PM,bar only,"Circa Sliders 10; American Cheese, Caramelized Onions, Comeback Sauce, Pickles; HAPPY HOUR MENU AVAILABLE 5 TO 7PM AT THE BAR.",manual_pdf_render_or_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
6,Batch 01,Circa 1922,Marinated Olives,Happy Hour Food,,Yes,https://static1.squarespace.com/static/68c45e5c5157736767a0e9be/t/68d424829ced873bec34c5f8/1758733442902/Circa+1922+-+Fall+2025+Bar+Menu.pdf,sg-circa-1922-static1-squarespace-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_pdf_text_food_items,source_capture_p1_sprint_2026-07-06/text_captures/sg-circa-1922-static1-squarespace-com-circa-1922.md,sha256:217561765ceba31b3fd062585a594bedced5dc2335eb48b1b2cd92f3ef0c878e,source_capture_p1_sprint_2026-07-06/capture_cards/sg-circa-1922-static1-squarespace-com-circa-1922.png,manual_pdf_render_or_archive_needed,food_copy_review,scope_ok,recurrence_ok,$8,daily not explicitly in PDF; homepage image alt says daily,5:00 PM-7:00 PM,bar only,"Marinated Olives 8; Guindilla Chilis, Lavash; HAPPY HOUR MENU AVAILABLE 5 TO 7PM AT THE BAR.",manual_pdf_render_or_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
7,Batch 01,Circa 1922,Mushroom Bruschetta,Happy Hour Food,,Yes,https://static1.squarespace.com/static/68c45e5c5157736767a0e9be/t/68d424829ced873bec34c5f8/1758733442902/Circa+1922+-+Fall+2025+Bar+Menu.pdf,sg-circa-1922-static1-squarespace-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_pdf_text_food_items,source_capture_p1_sprint_2026-07-06/text_captures/sg-circa-1922-static1-squarespace-com-circa-1922.md,sha256:217561765ceba31b3fd062585a594bedced5dc2335eb48b1b2cd92f3ef0c878e,source_capture_p1_sprint_2026-07-06/capture_cards/sg-circa-1922-static1-squarespace-com-circa-1922.png,manual_pdf_render_or_archive_needed,food_copy_review,scope_ok,recurrence_ok,$8,daily not explicitly in PDF; homepage image alt says daily,5:00 PM-7:00 PM,bar only,"Mushroom Bruschetta 8; Boursin Cheese, Chives; HAPPY HOUR MENU AVAILABLE 5 TO 7PM AT THE BAR.",manual_pdf_render_or_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
8,Batch 01,Circa 1922,Smoked Salmon Dip,Happy Hour Food,,Yes,https://static1.squarespace.com/static/68c45e5c5157736767a0e9be/t/68d424829ced873bec34c5f8/1758733442902/Circa+1922+-+Fall+2025+Bar+Menu.pdf,sg-circa-1922-static1-squarespace-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_pdf_text_food_items,source_capture_p1_sprint_2026-07-06/text_captures/sg-circa-1922-static1-squarespace-com-circa-1922.md,sha256:217561765ceba31b3fd062585a594bedced5dc2335eb48b1b2cd92f3ef0c878e,source_capture_p1_sprint_2026-07-06/capture_cards/sg-circa-1922-static1-squarespace-com-circa-1922.png,manual_pdf_render_or_archive_needed,food_copy_review,scope_ok,recurrence_ok,$10,daily not explicitly in PDF; homepage image alt says daily,5:00 PM-7:00 PM,bar only,"Smoked Salmon Dip 10; Preserved Lemon, Pickled Shallot, Benne Crackers; HAPPY HOUR MENU AVAILABLE 5 TO 7PM AT THE BAR.",manual_pdf_render_or_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
9,Batch 01,Circa 1922,Steak Pinchos,Happy Hour Food,,Yes,https://static1.squarespace.com/static/68c45e5c5157736767a0e9be/t/68d424829ced873bec34c5f8/1758733442902/Circa+1922+-+Fall+2025+Bar+Menu.pdf,sg-circa-1922-static1-squarespace-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_pdf_text_food_items,source_capture_p1_sprint_2026-07-06/text_captures/sg-circa-1922-static1-squarespace-com-circa-1922.md,sha256:217561765ceba31b3fd062585a594bedced5dc2335eb48b1b2cd92f3ef0c878e,source_capture_p1_sprint_2026-07-06/capture_cards/sg-circa-1922-static1-squarespace-com-circa-1922.png,manual_pdf_render_or_archive_needed,food_copy_review,scope_ok,recurrence_ok,$12,daily not explicitly in PDF; homepage image alt says daily,5:00 PM-7:00 PM,bar only,"Steak Pinchos* 12; Salsa Verde, Cilantro; HAPPY HOUR MENU AVAILABLE 5 TO 7PM AT THE BAR.",manual_pdf_render_or_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
10,Batch 01,Circa 1922,Steamed Mussels,Happy Hour Food,,Yes,https://static1.squarespace.com/static/68c45e5c5157736767a0e9be/t/68d424829ced873bec34c5f8/1758733442902/Circa+1922+-+Fall+2025+Bar+Menu.pdf,sg-circa-1922-static1-squarespace-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_pdf_text_food_items,source_capture_p1_sprint_2026-07-06/text_captures/sg-circa-1922-static1-squarespace-com-circa-1922.md,sha256:217561765ceba31b3fd062585a594bedced5dc2335eb48b1b2cd92f3ef0c878e,source_capture_p1_sprint_2026-07-06/capture_cards/sg-circa-1922-static1-squarespace-com-circa-1922.png,manual_pdf_render_or_archive_needed,food_copy_review,scope_ok,recurrence_ok,$12,daily not explicitly in PDF; homepage image alt says daily,5:00 PM-7:00 PM,bar only,"Steamed Mussels 12; Sauce Marinière, Grilled Bread; HAPPY HOUR MENU AVAILABLE 5 TO 7PM AT THE BAR.",manual_pdf_render_or_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
11,Batch 01,Circa 1922,Tuna Poke Bombs,Happy Hour Food,,Yes,https://static1.squarespace.com/static/68c45e5c5157736767a0e9be/t/68d424829ced873bec34c5f8/1758733442902/Circa+1922+-+Fall+2025+Bar+Menu.pdf,sg-circa-1922-static1-squarespace-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_pdf_text_food_items,source_capture_p1_sprint_2026-07-06/text_captures/sg-circa-1922-static1-squarespace-com-circa-1922.md,sha256:217561765ceba31b3fd062585a594bedced5dc2335eb48b1b2cd92f3ef0c878e,source_capture_p1_sprint_2026-07-06/capture_cards/sg-circa-1922-static1-squarespace-com-circa-1922.png,manual_pdf_render_or_archive_needed,food_copy_review,scope_ok,recurrence_ok,$10,daily not explicitly in PDF; homepage image alt says daily,5:00 PM-7:00 PM,bar only,"Tuna Poke Bombs* 10; Crispy Rice, Citrus Ponzu; HAPPY HOUR MENU AVAILABLE 5 TO 7PM AT THE BAR.",manual_pdf_render_or_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
12,Batch 01,Hibachi Bistro,Kids Eat Free,Family / Kids,,No,https://hibachibistro.com/,sg-hibachi-bistro-hibachibistro-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text,source_capture_p1_sprint_2026-07-06/text_captures/sg-hibachi-bistro-hibachibistro-com-hibachi-bistro.md,sha256:b8c3ae939881023701d697ecd7ede43ffc1b137fca3eecdbabb52c1e4d55200f,source_capture_p1_sprint_2026-07-06/capture_cards/sg-hibachi-bistro-hibachibistro-com-hibachi-bistro.png,browser_screenshot_or_web_archive_needed,food_copy_review,scope_ok,recurrence_ok,free with entree purchase,Sunday,12:00 PM-9:30 PM,dine-in likely; verify before public copy,Kids Eat Free; Sundays 12PM-9:30PM; with entree purchase.,browser_screenshot_or_web_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
13,Batch 01,Hibachi Bistro,Lunch Specials,Lunch Special,,No,https://hibachibistro.com/,sg-hibachi-bistro-hibachibistro-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text,source_capture_p1_sprint_2026-07-06/text_captures/sg-hibachi-bistro-hibachibistro-com-hibachi-bistro.md,sha256:b8c3ae939881023701d697ecd7ede43ffc1b137fca3eecdbabb52c1e4d55200f,source_capture_p1_sprint_2026-07-06/capture_cards/sg-hibachi-bistro-hibachibistro-com-hibachi-bistro.png,browser_screenshot_or_web_archive_needed,food_copy_review,scope_ok,recurrence_ok,starting at $9,Daily,until 3:00 PM,pickup or delivery; dine-in likely but verify,Lunch Specials; Daily until 3PM starting at $9; Order Online; Pickup or delivery.,browser_screenshot_or_web_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
16,Batch 01,Junction 421,"Friday Daily Blue Plate: Crab Stuffed Salmon $29; spinach risotto, panko horseradish crust, tomato butter sauce; while it lasts.",Daily / Weekly Specials,,No,https://junction421.com/dinner-menu/,sg-junction-421-junction421-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text,source_capture_p1_sprint_2026-07-06/text_captures/sg-junction-421-junction421-com-junction-421.md,sha256:ade46f1f8d32162574118d94a91017827555b704ded35050bcf3337ee10282b5,source_capture_p1_sprint_2026-07-06/capture_cards/sg-junction-421-junction421-com-junction-421.png,browser_screenshot_or_web_archive_needed,food_copy_review,scope_ok,recurrence_ok,$29,Friday,dinner/hours; exact special window not explicitly stated,dine-in and curbside pickup,"Friday. CRAB STUFFED SALMON $29; spinach risotto, panko horseradish crust, tomato butter sauce; Blue Plate Special.",browser_screenshot_or_web_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
