review_task_id,related_type,related_id,deal_id,source_id,restaurant_id,source_capture_id,direct_confirmation_id,report_source,opened_at,opened_by,assigned_reviewer,review_reason,risk_flags,priority,status,decision,decision_reason,decided_at,decided_by,next_action,next_action_due,public_copy_approval_status,food_alcohol_copy_check,next_check_due_required,expires_on_required,audit_event_id,resolution_notes
rt-seed-ponysaurus-wings-review,deal_candidate,seed-ponysaurus-monday-half-price-wings,deal-ponysaurus-monday-half-price-wings,src-ponysaurus-wilmington-primary,ponysaurus-wilmington,cap-ponysaurus-wilmington-2026-06-02,,phase_1b_seed_review,2026-06-01T15:00:00-04:00,codex_phase_1b,codex_phase_1d,Review source-backed Ponysaurus Monday wings candidate before any public use.,price_specific;brewery_context;food_safe_copy_required;freshness_required,high,closed,approved,Official source supports exact food-only wings special; alcohol pitcher copy suppressed.,2026-06-02T09:40:00-04:00,codex_phase_1d,recheck_source,2026-06-16,approved,food_only_approved,true,conditional,aud-ponysaurus-wings-published,Promoted to public static prototype deal.
rt-seed-ponysaurus-pizza-review,deal_candidate,seed-ponysaurus-tuesday-10-pizza,deal-ponysaurus-tuesday-10-pizza,src-ponysaurus-wilmington-primary,ponysaurus-wilmington,cap-ponysaurus-wilmington-2026-06-02,,phase_1b_seed_review,2026-06-01T15:00:00-04:00,codex_phase_1b,codex_phase_1d,Review source-backed Ponysaurus Tuesday pizza candidate before any public use.,price_specific;brewery_context;food_safe_copy_required;freshness_required,high,closed,approved,Official source supports exact food-only pizza special.,2026-06-02T09:40:00-04:00,codex_phase_1d,recheck_source,2026-06-16,approved,food_only_approved,true,conditional,aud-ponysaurus-pizza-published,Promoted to public static prototype deal.
rt-seed-beat-street-tacos-review,deal_candidate,seed-beat-street-tuesday-2-tacos,deal-beat-street-tuesday-2-tacos,src-beat-street-primary,beat-street,cap-beat-street-2026-06-01,,phase_1b_seed_review,2026-06-01T15:00:00-04:00,codex_phase_1b,codex_phase_1c,Review source-backed Beat Street Tuesday taco candidate before any public use.,price_specific;time_window;food_safe_copy_required;freshness_required,high,closed,approved,Official source supports exact food-only taco special and time window.,2026-06-01T22:20:00-04:00,codex_phase_1c,recheck_source,2026-06-15,approved,food_only_approved,true,conditional,aud-beat-street-tacos-published,Promoted to first public static prototype deal.
rt-seed-ponysaurus-burger-review,deal_candidate,seed-ponysaurus-wednesday-half-price-burger,deal-ponysaurus-wednesday-half-price-burger,src-ponysaurus-wilmington-primary,ponysaurus-wilmington,cap-ponysaurus-wilmington-2026-06-02,,phase_1b_seed_review,2026-06-01T15:00:00-04:00,codex_phase_1b,codex_phase_1d,Review source-backed Ponysaurus Wednesday burger candidate before any public use.,price_specific;brewery_context;burger_terms;food_safe_copy_required;freshness_required,high,closed,approved,Official source supports exact food-only burger special.,2026-06-02T09:40:00-04:00,codex_phase_1d,recheck_source,2026-06-16,approved,food_only_approved,true,conditional,aud-ponysaurus-burger-published,Promoted to public static prototype deal.
rt-seed-caprice-bistro-coq-au-vin-review,deal_candidate,seed-caprice-bistro-tuesday-coq-au-vin,deal-caprice-bistro-tuesday-coq-au-vin,src-caprice-bistro-primary,caprice-bistro,cap-caprice-bistro-2026-06-02,,phase_1e_seed_review,2026-06-02T10:20:00-04:00,codex_phase_1e,codex_phase_1e,Review source-backed Caprice Bistro Tuesday Coq au Vin candidate before any public use.,food_safe_copy_required;freshness_required;price_missing;exact_start_time_missing,high,closed,approved,Official weekly-specials page supports exact food-only Tuesday special; alcohol-adjacent page copy suppressed.,2026-06-02T10:25:00-04:00,codex_phase_1e,recheck_source,2026-06-16,approved,food_only_approved,true,conditional,aud-caprice-bistro-coq-au-vin-published,Promoted to public static prototype deal.
rt-seed-hells-kitchen-meatball-sub-review,deal_candidate,seed-hells-kitchen-tuesday-meatball-sub,deal-hells-kitchen-tuesday-meatball-sub,src-hells-kitchen-primary,hells-kitchen,cap-hells-kitchen-2026-06-02,,phase_1e_seed_review,2026-06-02T10:20:00-04:00,codex_phase_1e,codex_phase_1e,Review source-backed Hell's Kitchen Tuesday meatball sub candidate before any public use.,price_specific;time_window;food_safe_copy_required;freshness_required,high,closed,approved,Official homepage supports exact food-only Tuesday lunch special; drink special copy suppressed.,2026-06-02T10:25:00-04:00,codex_phase_1e,recheck_source,2026-06-16,approved,food_only_approved,true,conditional,aud-hells-kitchen-meatball-sub-published,Promoted to public static prototype deal.
rt-seed-dram-yard-gazebo-bar-monday-bar-bites-review,deal_candidate,seed-dram-yard-gazebo-bar-monday-10-bartender-cocktails-and-1-2-price-bar-bites,,,,,,phase_1f_seed_review,2026-06-02T11:30:00-04:00,codex_phase_1f,operator,Verify user-note Monday bar bites claim and suppress alcohol-only cocktail copy.,user_note;mixed_food_alcohol;price_specific;food_safe_copy_required;source_needed,critical,open,,,,,find_official_source_or_direct_confirmation,2026-06-09,pending,pending_food_only_or_food_safe_copy,true,conditional,,Open task created so unresolved seed lead has owner and next action.
rt-seed-rebellion-nc-burger-beer-review,deal_candidate,seed-rebellion-nc-monday-1-2-price-burger-and-3-beers,,,,,,phase_1f_seed_review,2026-06-02T11:30:00-04:00,codex_phase_1f,operator,Verify Monday burger claim and suppress beer copy before any public use.,user_note;mixed_food_alcohol;source_needed;food_safe_copy_required,critical,closed,superseded,Official Daily Features image supports food-only half price burgers; original beer component remains suppressed.,2026-06-02T17:35:00-04:00,codex_phase_1n,track_promoted_public_deal_recheck,2026-06-16,pending,pending_food_only_or_food_safe_copy,true,conditional,,Closed original mixed food/alcohol seed task after promoting food-only official-source row.
rt-seed-seabird-oysters-review,deal_candidate,seed-seabird-monday-1-oysters,,,,,,phase_1f_seed_review,2026-06-02T11:30:00-04:00,codex_phase_1f,operator,Verify Monday $1 oyster claim against official source or direct confirmation.,user_note;price_specific;time_window;source_needed,high,open,,,,,capture_exact_official_terms,2026-06-09,pending,food_only_pending,true,conditional,,Open task created so unresolved seed lead has owner and next action.
rt-seed-flying-machine-monday-oysters-review,deal_candidate,seed-flying-machine-oyster-bar-monday-1-oysters,,,,,,phase_1f_seed_review,2026-06-02T11:30:00-04:00,codex_phase_1f,operator,Verify Monday $1 oyster claim and Wilmington-area location scope.,user_note;price_specific;source_needed;location_scope_review,high,open,,,,,capture_exact_official_terms,2026-06-09,pending,food_only_pending,true,conditional,,Open task created so unresolved seed lead has owner and next action.
rt-seed-dram-yard-gazebo-bar-tuesday-burger-review,deal_candidate,seed-dram-yard-gazebo-bar-tuesday-burger-and-beer-for-15,,,,,,phase_1f_seed_review,2026-06-02T11:30:00-04:00,codex_phase_1f,operator,Verify Tuesday burger component and suppress beer copy before any public use.,user_note;mixed_food_alcohol;price_specific;food_safe_copy_required;source_needed,critical,open,,,,,find_official_source_or_direct_confirmation,2026-06-09,pending,pending_food_only_or_food_safe_copy,true,conditional,,Open task created so unresolved seed lead has owner and next action.
rt-seed-flying-machine-tuesday-tacos-review,deal_candidate,seed-flying-machine-oyster-bar-tuesday-3-seafood-tacos,,,,,,phase_1f_seed_review,2026-06-02T11:30:00-04:00,codex_phase_1f,operator,Verify Tuesday seafood taco claim and Wilmington-area location scope.,user_note;price_specific;source_needed;location_scope_review,high,open,,,,,capture_exact_official_terms,2026-06-09,pending,food_only_pending,true,conditional,,Open task created so unresolved seed lead has owner and next action.
rt-seed-bennys-big-time-pizzeria-combo-review,deal_candidate,seed-benny-s-big-time-pizzeria-tuesday-2-pizzas-and-salad,,,,,,phase_1f_seed_review,2026-06-02T11:30:00-04:00,codex_phase_1f,operator,Verify Tuesday pizza-and-salad combo size price and restrictions.,user_note;price_specific;combo_terms;source_needed,high,open,,,,,capture_exact_official_terms,2026-06-09,pending,food_only_pending,true,conditional,,Open task created so unresolved seed lead has owner and next action.
