Queue_Row,Restaurant,Offer / Item,Evidence File,Source URL,Batch Status,Accessed Date
61,Sugo Italian Steakhouse,Oysters RAW $35 / Oysters Garlic Parm $35.,evidence_text/61-sugo-italian-steakhouse-oysters-raw-35-oysters-garlic-parm-35.md,https://sugoitaliansteakhouse.com/menu,source_text_confirmed_deal_value_review,2026-07-06
62,Sugo Italian Steakhouse,Rigatoni Mignon $45.,evidence_text/62-sugo-italian-steakhouse-rigatoni-mignon-45.md,https://sugoitaliansteakhouse.com/menu,source_text_confirmed_deal_value_review,2026-07-06
63,Sugo Italian Steakhouse,"Weekly/rotating Specials section from official dinner menu, last refreshed June 29, 2026.",evidence_text/63-sugo-italian-steakhouse-weekly-rotating-specials-section-from-official-dinner-menu-last.md,https://sugoitaliansteakhouse.com/menu,source_text_confirmed_deal_value_review,2026-07-06
64,Tequila's Waterfront,weekly_special; lunch_special,evidence_text/64-tequila-s-waterfront-weekly-special-lunch-special.md,https://tequilaswaterfront.com/menus/,image_source_confirmed_parent_row,2026-07-06
65,Tequila's Waterfront,Coverage / source row,evidence_text/65-tequila-s-waterfront-coverage-source-row.md,https://tequilaswaterfront.com/menus/,duplicate_coverage_row_consolidate,2026-07-06
66,Tequila's Waterfront,"Friday Half Off Fajitas, 4 PM-close; excluding Trio Fajitas.",evidence_text/66-tequila-s-waterfront-friday-half-off-fajitas-4-pm-close-excluding-trio-fajitas.md,https://tequilaswaterfront.com/menus/,image_source_confirmed_food_row,2026-07-06
67,Tequila's Waterfront,"Tue-Fri $10 Lunch Menu, 11 AM-3 PM.",evidence_text/67-tequila-s-waterfront-tue-fri-10-lunch-menu-11-am-3-pm.md,https://tequilaswaterfront.com/menus/,image_source_confirmed_food_row,2026-07-06
68,Tequila's Waterfront,"Tuesday $2 Street Tacos, 4 PM-close; any select street tacos for $2.",evidence_text/68-tequila-s-waterfront-tuesday-2-street-tacos-4-pm-close-any-select-street-tacos-for-2.md,https://tequilaswaterfront.com/menus/,image_source_confirmed_food_row,2026-07-06
69,Tequila's Waterfront,"Wednesday Half Off Wings, 4 PM-close.",evidence_text/69-tequila-s-waterfront-wednesday-half-off-wings-4-pm-close.md,https://tequilaswaterfront.com/menus/,image_source_confirmed_food_row,2026-07-06
70,The Bento Box Sushi Bar,Bento Box Lunch Combinations,evidence_text/70-the-bento-box-sushi-bar-bento-box-lunch-combinations.md,https://www.bentoboxsushi.com/menu,source_text_confirmed_price_missing,2026-07-06
71,The Bridge Tender,nightly_feature_lead,evidence_text/71-the-bridge-tender-nightly-feature-lead.md,https://www.thebridgetender.com/,blocked_nightly_feature_target_failed,2026-07-06
72,The Bridge Tender,Coverage / source row,evidence_text/72-the-bridge-tender-coverage-source-row.md,https://www.thebridgetender.com/,coverage_row_confirmed_no_deal_terms,2026-07-06
73,The Sounder,late_night_food_offer,evidence_text/73-the-sounder-late-night-food-offer.md,https://order.toasttab.com/online/the-sounder-5400-oleander-drive,partner_order_source_confirmed_schedule_blocker,2026-07-06
74,The Sounder,Coverage / source row,evidence_text/74-the-sounder-coverage-source-row.md,https://order.toasttab.com/online/the-sounder-5400-oleander-drive,duplicate_coverage_row_consolidate,2026-07-06
75,The Sounder,Late Night Buffalo Shrimp $9.,evidence_text/75-the-sounder-late-night-buffalo-shrimp-9.md,https://order.toasttab.com/online/the-sounder-5400-oleander-drive,partner_order_source_confirmed_schedule_blocker,2026-07-06
