restaurant_id,name,city,state,neighborhood,address,phone,official_website,official_instagram,official_facebook,google_business_url,ordering_url,cuisine,tags,status,last_checked,notes
k38-porters-neck,K38 Porters Neck,Wilmington,NC,Porters Neck,"8211 Market Street, Wilmington, NC 28411",,https://k38bajagrill.com/locations/porters-neck/,,,,,Mexican,official-specials;wilmington;needs_recheck,needs_review,2026-06-13,Prior official-special signal exists in local June 4 intake; fresh capture required before deal intake or promotion.
k38-forum,K38 Forum,Wilmington,NC,Forum / Military Cutoff,"1127 Military Cutoff Road, Wilmington, NC 28405",,https://k38bajagrill.com/locations/forum/,,,,,Mexican,official-specials;wilmington;needs_recheck,needs_review,2026-06-13,Prior official-special signal exists in local June 4 intake; fresh capture required before deal intake or promotion.
prost-biergarten,Prost Biergarten,Wilmington,NC,Downtown,"115 South Front Street, Wilmington, NC 28401",,https://prostilm.com/wilmington-downtown-prost-biergarten-happy-hours-specials,,,,,German;Biergarten,date-windowed-specials;alcohol-suppression;needs_recheck,needs_review,2026-06-13,Official specials page surfaced a food-special signal; volatile date-windowed source needs fresh capture and food-only review.
seabird,Seabird,Wilmington,NC,Downtown,"1 S. Front St, Wilmington, NC 28401",910-769-5996,https://www.seabirdnc.com/,,,,,Seafood;Southern,source_discovery;downtown;needs_review,lead,2026-06-13,Official site confirms Wilmington identity; source lead only until a food-special signal is captured.
mess-hall,Mess Hall,Wilmington,NC,Cargo District,"2136 Wrightsville Ave, Wilmington, NC 28403",910-604-4927,https://messhallilm.com/,,,,,Burgers;Breakfast,source_discovery;cargo_district;needs_review,lead,2026-06-13,Official site confirms Wilmington identity; source lead only until a food-special signal is captured.
banh-sai,Banh Sai,Wilmington,NC,Cargo District,"2162 Wrightsville Avenue, Wilmington, NC 28403",910-833-5425,https://banhsai.com/,,,,https://order.toasttab.com/online/banh-sai-cargo-district-2162-wrightsville-avenue,Asian fusion,source_discovery;cargo_district;rotating_specials,lead,2026-06-13,Official site confirms Wilmington identity and rotating specials language; keep source lead only until exact day/time/value is captured.
fire-bowl,Fire Bowl Asian Cuisine,Wilmington,NC,Ogden / Market Street,"7134 Market Street, Suite 1, Wilmington, NC 28411",910-686-3199,http://www.firebowlwilmington.com/,,,,http://www.firebowlwilmington.com/catalog.aspx?cid=1,Chinese;Japanese;Thai,official-menu;lunch-specials;http-only,needs_review,2026-06-13,Official HTTP site confirms Wilmington identity and lunch special signal; HTTPS host has certificate/access issues.
melting-pot-wilmington,The Melting Pot - Wilmington,Wilmington,NC,Mayfaire / Town Center,"885 Town Center Dr, Wilmington, NC 28405",910-256-1187,https://www.meltingpot.com/wilmington-nc/melting-pot-events.aspx,,,,,Fondue;American,official-promotions;restricted-discount;date-night,needs_review,2026-06-13,Official Wilmington events page supports restricted Military Monday and Thursday four-course dinner candidates.
lucky-star-oleander,Lucky Star - Oleander Dr,Wilmington,NC,Oleander / Masonboro,"6002 Oleander Dr, Wilmington, NC 28409",,https://www.luckystar-nc.com/menu,,,,https://www.luckystar-nc.com/menu,Chinese,official-ordering-page;lunch-specials;official-ordering-authority-accepted,active,2026-06-13,Restaurant-branded official website/ordering page accepted for static prototype publication in Phase 1U.
ming-wok-carolina-beach-rd,Ming Wok - Carolina Beach Rd,Wilmington,NC,Carolina Beach Road / South Front,"2416 Carolina Beach Rd, Wilmington, NC 28401",,https://order.mingwoknc.com/menu,,,,https://order.mingwoknc.com/menu,Chinese;Japanese,official-ordering-page;lunch-specials;official-ordering-authority-accepted,active,2026-06-13,Restaurant-branded official website/ordering page accepted for static prototype publication in Phase 1U.
katys-grill-bar,Katy's Grill & Bar,Wilmington,NC,South College Road,"1054 South College Road, Wilmington, NC 28403",910-395-5289,https://katysbarandgrill.com/,,,,,American;Breakfast;Bar Food,official-weekly-specials;lunch-dinner-specials;food-only-copy;needs_review,needs_review,2026-06-13,Fresh official weekly-specials capture found lunch and dinner food-special candidates; review-only until public copy restrictions and service modes are approved.
coquina-fishbar,Coquina Fishbar,Wilmington,NC,Mayfaire,"890 Town Center Dr, Wilmington, NC 28405",910-239-9029,https://coquinafishbar.com/,,,,,Seafood;Lunch,official-lunch-specials;mayfaire;food-only-copy;needs_review,needs_review,2026-06-13,Fresh official daily lunch specials capture found $14 Tue-Fri lunch row; review-only until public copy restrictions and model shape are approved.
south-front-tavern,South Front Tavern,Wilmington,NC,South Front District,"1540 S. 2nd Street #110, Wilmington, NC 28401",910-782-8989,https://www.southfronttavern.com/,,,,,American,weekly-specials;bar-bites;needs_review,needs_review,2026-06-13,Official source rechecked for broader Mon-Fri bar-bites candidate; existing public rows remain separate.
