batch_rank,restaurant,market_lane,scope_status,concept_type,primary_category,secondary_categories,official_source_status,deal_signal_status,strongest_signal,best_source_url,source_type,source_quote,evidence_status,blocker,next_action,priority,move_to_item_expansion,breakfast,morning,lunch,dinner,happy_hour,carryout,takeout,delivery,family_meals,weekly_specials,boundary_review,notes
1,JohnnyLukes KitchenBar,College Rd / UNCW,Wilmington core,sports bar / kitchen bar,happy hour,dinner; weekly specials; bar food,official_source_not_captured,C_manual_social_needed,Happy-hour food lead remains unproven from official source.,https://johnnylukeskitchenbar.com/,official_candidate_url_unopened,Official site could not be safely fetched in this pass; do not promote from secondary happy-hour lead.,manual/social capture needed,"Need official website/social/direct confirmation for exact food items, schedule, and price.",Manual browser capture official site + official social; confirm happy-hour food terms or demote.,P2,No,False,False,False,True,True,False,False,False,False,True,False,Do not reprocess as item rows until exact official terms are captured.
2,Carolina Ale House — Wilmington,College Rd / UNCW,Wilmington core,sports bar / chain location,lunch,happy hour; sports bar; carryout,official_location_confirmed,B_source_backed_terms_missing,"Official location/menu/promotions surfaces exist, but exact local lunch/happy-hour food terms were not captured.",https://www.carolinaalehouse.com/locations/wilmington-nc,official_location_page,"Wilmington location page lists address, hours, menu, order online, and promotions/events links.",source text partial,Need exact Wilmington daily lunch/happy-hour food terms from menu/promotions/order surface.,"Capture menu/promotions/order flow; if exact food terms do not render, demote to coverage-only.",P2,No,False,False,True,True,True,True,True,False,False,True,False,Good restaurant coverage; not yet a specific deal row.
3,City Barbeque — Wilmington,South Wilmington / Carolina Beach Rd,Wilmington core,BBQ chain,weekly specials,family meals; carryout; takeout; catering,official_menu_confirmed,A_source_backed_candidate,"Rib Bone Tuesday — ribs by the bone at a discount every Tuesday, all day.",https://www.citybbq.com/,official_menu_page,"Official menu lists Rib Bone Tuesday: enjoy ribs by the bone at a discount every Tuesday, all day long.",source text confirmed; local location capture still needed,Need Wilmington-specific ordering/location screenshot and local price if available.,Capture Wilmington order surface and screenshot Rib Bone Tuesday plus Family Pack path.,P1,Yes,False,False,False,True,False,True,True,True,True,True,False,Strong source-backed chain row; avoid claiming local price until captured.
4,Smithfield's Chicken 'N Bar-B-Q,Wilmington / chain coverage,Wilmington core needs local-location confirmation,BBQ / chicken chain,family meals,tailgate; carryout; takeout,official_menu_confirmed,B_source_backed_terms_missing,"Tailgate Special with chicken, hushpuppies, BBQ, sides, and tea.",https://www.scnbnc.com/,official_menu_page,"Official menu lists Tailgate Special with 8-piece chicken, two dozen hushpuppies, one pint BBQ, sides, and gallon tea.",source text confirmed; local-location capture needed,Need Wilmington location verification and price; Tailgate page is chain-level.,"Capture location selector/order flow for Wilmington; if no Wilmington location, mark out-of-scope.",P2,Maybe,False,False,True,True,False,True,True,False,True,False,False,Useful family-meal signal but not enough for public copy yet.
5,Frontier Food To Go,South Wilmington / Carolina Beach Rd,Wilmington core,takeout / comfort food,carryout,takeout; value meals,official_source_not_captured,C_manual_social_needed,Takeout/value lead only; no exact official special captured.,,secondary_lead_only,No official source text captured in this pass.,official source missing,Need official site/social/menu image or direct confirmation.,Find official owner-controlled source; otherwise park as coverage-only takeout lead.,P3,No,False,False,True,True,False,True,True,False,False,False,False,Do not spend item-level time until official source is located.
6,South Beach Grill,Wrightsville Beach / boundary,Boundary review,seafood / coastal restaurant,dinner,chalkboard specials; lunch; seafood,official_source_confirmed,B_source_backed_terms_missing,"Chef's Chalkboard Specials are official, but exact items need linked chalkboard menu capture.",https://www.southbeachgrillwb.com/,official_website,Homepage says Chef's Chalkboard Specials feature evolving menu additions and links to the chalkboard menu.,official signal captured; PDF/menu target needed,Exact chalkboard items/prices not captured.,Open/capture Chef's Chalkboard Menu link in manual browser/PDF route.,P2,No,False,False,True,True,False,True,True,False,False,True,True,High-value boundary source if exact chalkboard can be captured.
7,SeaWitch Tiki Bar,Carolina Beach,Greater Wilmington / beach,bar / live music / food,dinner,rotating specials; drink-only suppressed,official_source_confirmed,C_manual_social_needed,Event copy says to ask server/bartender about rotating dinner specials; standing specials are drink-only and suppressed.,https://seawitchtikibar.com/,official_website_events_page,Event copy mentions rotating dinner specials; standing 'food & drink specials' shown in fetched text are drink-only.,source text partial,Need exact dinner-special item/price/schedule; drink-only specials cannot publish.,Same-day social/direct confirmation for rotating dinner special; suppress drink rows.,P3,No,False,False,True,True,True,False,False,False,False,True,False,Keep as rotating dinner-special signal only.
8,Shuckin' Shack Oyster Bar — Leland,Leland / Belville / Waterford,Boundary review,seafood / oyster bar,seasonal menu,seafood; lunch; dinner,official_location_confirmed,B_source_backed_terms_missing,"Location page links America 250 Summer Menu, but fetched text does not expose exact items.",https://www.theshuckinshack.com/location-leland,official_location_page,Official location page confirms Leland address/hours and links America 250 Summer Menu.,official source partial; image/menu capture needed,Exact food terms are image/menu-only; boundary scope needs decision.,Capture America 250 image/menu; classify Leland boundary scope before item rows.,P2,No,False,False,True,True,False,True,True,False,False,False,True,Keep in boundary queue until Leland policy is decided.
9,Moe's Original BBQ — Wilmington,Oleander / Midtown,Wilmington core,BBQ / family meals / catering,family meals,daily sides; happy hour signal; catering; carryout,official_location_confirmed,A_source_backed_candidate,Daily special sides and Double Wide/Triple Wide family packs are official-source-backed.,https://www.moesoriginalbbq.com/lo/wilmington/,official_location_page,Wilmington page says daily special sides are created and lists Double Wide/Triple Wide family packs.,source text confirmed; same-day side item still needed,Daily side exact item rotates; family pack price may need ordering capture.,Promote family-pack row to item expansion; capture same-day special side only when current.,P1,Yes,False,False,True,True,True,True,True,True,True,False,False,Good family-meal candidate; separate daily-side row from static family-pack row.
10,Kickback Jack's — Wilmington,College Rd / UNCW,Wilmington core,sports bar / wings / family dining,lunch,wings; party platters; carryout,official_location_and_menu_confirmed,B_source_backed_terms_missing,Official menu lists lunch combos 11 AM–3 PM and Wilmington ordering/location is present.,https://www.kbjacks.com/menu?section=3,official_menu_plus_ordering_page,Menu lists Wings & Fries Lunch Combo 11am-3pm and other lunch combos; locations page lists Wilmington.,source text confirmed; price missing,Menu says pricing varies by location; need Wilmington order price capture.,Capture Wilmington order page price for Wings & Fries Lunch Combo or demote to menu-category row.,P2,Maybe,False,False,True,True,False,True,True,False,True,False,False,Good source coverage; item row needs local price.
11,Tavern 14,Wilmington / sports bar lane,Wilmington core unverified,sports bar / tavern,weekly specials,wings; burgers; happy hour,official_source_not_captured,C_manual_social_needed,Wing/burger lead remains unproven from official source.,,secondary_lead_only,No official source text captured in this pass.,manual/social capture needed,Need official site/social/direct confirmation for exact terms.,Find owner-controlled source; otherwise park as sports-bar coverage lead.,P3,No,False,False,False,True,True,False,False,False,False,True,False,Do not item-expand until source is captured.
12,Fish Bites Seafood Restaurant,Monkey Junction / South Wilmington,Wilmington core,seafood / fish market,daily specials,seafood; dinner; social capture,official_source_confirmed,C_manual_social_needed,"Official site directs users to social media for Daily Specials, but no exact item/price captured.",https://www.fishbitesseafood.com/,official_website_social_signal,Official homepage says to follow social media to view Daily Specials.,official signal captured; social capture needed,Need current social post/direct confirmation for exact daily special.,"Capture official Facebook/Instagram daily-special post, or mark daily-only/manual.",P2,No,False,False,True,True,False,True,True,False,False,False,False,Great source signal but not static/repeating until exact specials are captured.
13,Keg and Egg,Wilmington breakfast / bar lane,Wilmington core unverified,breakfast / bar,breakfast,morning; brunch; happy hour,official_source_not_captured,C_manual_social_needed,Breakfast/brunch lead only; no official special terms captured.,,secondary_lead_only,No official source text captured in this pass.,manual/social capture needed,Need official site/social/menu source and exact deal terms.,Find official source or direct confirm; useful because it fills breakfast/morning coverage gap.,P3,No,True,True,True,False,True,False,False,False,False,False,False,Important category gap candidate; source-first next.
14,Boathouse Restaurant,Wilmington seafood / family lane,Wilmington core unverified,seafood / family restaurant,family meals,seafood; lunch; dinner,official_source_not_captured,C_manual_social_needed,Family/seafood coverage lead only; no exact official special captured.,,secondary_lead_only,No official source text captured in this pass.,manual/source discovery needed,Need official website/menu/social source and exact food-special terms.,"Run source discovery; if no special surface, mark checked-no-offer.",P3,No,False,False,True,True,False,True,True,False,True,False,False,Do not recheck until official source is found.
15,The Bridge Tender,Wrightsville Beach / Airlie boundary,Boundary review,seafood / dinner restaurant,dinner,nightly feature; seafood,official_source_confirmed,B_source_backed_terms_missing,Official homepage links Nightly Feature and states dinner Tue-Sun 4–9 PM; exact feature page target still not captured.,https://www.thebridgetender.com/,official_website,Homepage links Nightly Feature and lists dinner service Tuesday-Sunday 4:00-9:00 PM.,official signal captured; external target needed,Need exact Nightly Feature item/price from ohbz target or manual browser capture.,"Manual browser capture Nightly Feature link; if inaccessible, direct confirmation.",P2,No,False,False,False,True,False,False,False,False,False,True,True,High-value boundary blocker; do not item-expand until Nightly Feature terms are captured.
