queue_row,restaurant,offer_item,category,prior_bucket,source_url,result_status,verified_terms,schedule,time_window,price_discount,service_mode,source_quote,public_copy_note,next_action,needs_screenshot_archive,copy_suppression,scope_note,evidence_file
17,Junction 421,Junction 421 Specials signal only,Daily / Weekly Specials,B_source_backed_needs_capture,https://junction421.com/,confirmed_source_signal; use dinner-menu daily-blue-plate rows for exact item capture,Homepage confirms Junction 421 identity/location and points to menus; footer asks users not to miss Junction 421 specials.,N/A — signal row only,N/A,,Dine-in and curbside pickup from 4 PM–9 PM every day stated on site,"Don’t Miss Out on Junction 421 Specials; 5104 South College Road, Wilmington, NC 28412; open for dine in and curbside pick-up from 4pm – 9pm everyday.",Do not publish as a standalone deal; use as source pointer/backbone for exact daily-blue-plate item rows.,De-dupe into exact Daily Blue Plate rows; attach screenshot/archive to menu source before promotion.,yes,,Wilmington / Monkey Junction confirmed,junction421_homepage_signal.md
18,Junction 421,"Monday Daily Blue Plate: Baby Back Ribs $24; mac-n-cheese, coleslaw; while it lasts.",BBQ / Ribs,B_source_backed_needs_capture,https://junction421.com/dinner-menu/,confirmed_source_text; screenshot_archive_needed,Daily Blue Plate Monday Baby Back Ribs $24 with mac-n-cheese and coleslaw; while it lasts.,Monday,Dinner service; open 4 PM–9 PM Monday,$24,Dine-in/curbside pickup site context; review service mode before public copy,"DAILY BLUE PLATE (while it lasts). Monday. BABY BACK RIBS $24; mac-n-cheese, coleslaw.",Source-backed item; publish only after screenshot/archive and human review.,Capture screenshot/archive and add exact review/source-capture IDs.,yes,,Wilmington / Monkey Junction confirmed,junction421_dinner_menu_daily_blue_plate.md
19,Junction 421,"Saturday Daily Blue Plate: Grouper Oscar $37; crab, asparagus, bearnaise, mashed potatoes; while it lasts.",Daily / Weekly Specials,B_source_backed_needs_capture,https://junction421.com/dinner-menu/,confirmed_source_text; screenshot_archive_needed,"Daily Blue Plate Saturday Grouper Oscar $37 with crab, asparagus, bearnaise, mashed potatoes; while it lasts.",Saturday,Dinner menu; site hours Fri-Sat 11 AM–9 PM,$37,Dine-in/curbside pickup site context; review service mode before public copy,"SATURDAY. *GROUPER OSCAR $37; crab, asparagus, bearnaise, mashed potatoes.",Source-backed item; not discount-priced but clearly a daily blue plate/special.,Capture screenshot/archive and decide if blue-plate item meets deal-value gate.,yes,,Wilmington / Monkey Junction confirmed,junction421_dinner_menu_daily_blue_plate.md
20,Junction 421,Sunday Daily Blue Plate: Chicken and Biscuits $20 / Chicken Parmesan $27; while it lasts.,Daily / Weekly Specials,B_source_backed_needs_capture,https://junction421.com/dinner-menu/,confirmed_source_text; screenshot_archive_needed,Daily Blue Plate Sunday Chicken and Biscuits $20 and Chicken Parmesan $27; while it lasts.,Sunday,Dinner menu; site hours Sun 11 AM–8 PM,$20 / $27,Dine-in/curbside pickup site context; review service mode before public copy,Sunday. CHICKEN AND BISCUITS $20; Sunday. CHICKEN PARMESAN $27.,Could become two item-level rows or one broad Sunday blue-plate row after review.,Split into two rows or preserve as broad Sunday blue-plate row; capture screenshot/archive.,yes,,Wilmington / Monkey Junction confirmed,junction421_dinner_menu_daily_blue_plate.md
21,Junction 421,"Thursday Daily Blue Plate: Stuffed Pork Chop $29; Swiss, mushroom, spinach, marsala sauce, mashed potatoes; while it lasts.",Daily / Weekly Specials,B_source_backed_needs_capture,https://junction421.com/dinner-menu/,confirmed_source_text; screenshot_archive_needed,"Daily Blue Plate Thursday Stuffed Pork Chop $29 with Swiss, mushroom, spinach, marsala sauce, mashed potatoes; while it lasts.",Thursday,Dinner service; open 4 PM–9 PM Thursday,$29,Dine-in/curbside pickup site context; review service mode before public copy,"Thursday. *Stuffed Pork Chop $29 gf; swiss, mushroom, spinach, marsala sauce, mashed potatoes.",Source-backed item; publish only after screenshot/archive and human review.,Capture screenshot/archive and decide if blue-plate item meets deal-value gate.,yes,,Wilmington / Monkey Junction confirmed,junction421_dinner_menu_daily_blue_plate.md
22,Junction 421,"Tuesday Daily Blue Plate: Seafood in Parchment $25; haddock, shrimp, vegetables, rice pilaf; while it lasts.",Seafood / Oysters,B_source_backed_needs_capture,https://junction421.com/dinner-menu/,confirmed_source_text; screenshot_archive_needed,"Daily Blue Plate Tuesday Seafood in Parchment $25 with haddock, shrimp, vegetables, rice pilaf; while it lasts.",Tuesday,Dinner service; open 4 PM–9 PM Tuesday,$25,Dine-in/curbside pickup site context; review service mode before public copy,"Tuesday. SEAFOOD IN PARCHMENT $25 gf; haddock, shrimp, vegetables, rice pilaf.",Source-backed item; publish only after screenshot/archive and human review.,Capture screenshot/archive and decide if blue-plate item meets deal-value gate.,yes,,Wilmington / Monkey Junction confirmed,junction421_dinner_menu_daily_blue_plate.md
23,Junction 421,Wednesday Daily Blue Plate: Lasagna $22; five layers; while it lasts.,Daily / Weekly Specials,B_source_backed_needs_capture,https://junction421.com/dinner-menu/,confirmed_source_text; screenshot_archive_needed,Daily Blue Plate Wednesday Lasagna $22; five layers; while it lasts.,Wednesday,Dinner service; open 4 PM–9 PM Wednesday,$22,Dine-in/curbside pickup site context; review service mode before public copy,Wednesday. LASAGNA $22; five layers.,Source-backed item; publish only after screenshot/archive and human review.,Capture screenshot/archive and decide if blue-plate item meets deal-value gate.,yes,,Wilmington / Monkey Junction confirmed,junction421_dinner_menu_daily_blue_plate.md
24,K38 Baja Grill - Carolina Beach,Cinco de Monday / Everything $5 food items,Other Food Special,E_suppressed_or_drink_only,https://k38bajagrill.com/locations/carolina-beach/,upgraded_to_source_backed_food_row; mixed_line_alcohol_copy_suppression_needed; screenshot_archive_needed,"Cinco de Monday food items are $5; source lists Baja Fish Tacos, Large Queso, Large Guac, Large Elote, Poor Surfer, Chile Relleno, Chicken Elote Rolls; drink item appears in same line and must be suppressed.",Monday,Food specials start at 5 PM; end time not listed,$5,Dine-in only,"Cinco de Monday (Everything $5): Baja Fish Tacos, Wannabe Margaritas, Large Queso, Large Guac, Large Elote, Poor Surfer, Chile Relleno, Chicken Elote Rolls. Food Specials start at 5:00pm ... All Specials are Dine In only.",Food-bearing but mixed with drink item; public copy must omit Wannabe Margaritas.,Reclassify from suppressed to food-only-after-copy-review; capture screenshot/archive and approve food-safe public copy.,yes,suppress Wannabe Margaritas/drink language,Carolina Beach boundary/broad Wilmington scope review,k38_carolina_beach_specials.md
25,K38 Baja Grill - Carolina Beach,Fajita Tuesday special priced fajitas,Mexican / Tacos,B_source_backed_needs_capture,https://k38bajagrill.com/locations/carolina-beach/,confirmed_source_text; mixed_line_alcohol_copy_suppression_needed; screenshot_archive_needed,"Fajita Tuesday lists special-priced shrimp, chicken, or veggie fajitas; drink line appears and must be suppressed.",Tuesday,Food specials start at 5 PM; end time not listed,special priced; exact price not listed,Dine-in only,"Fajita Tuesday's: Special Priced Fajitas, Includes Shrimp, Chicken or Veggie Fajitas. Food Specials start at 5:00pm ... All Specials are Dine In only.","Do not mention $3 Dos XX Draft. Price is not exact, so public copy should say special-priced fajitas unless exact price captured.",Capture screenshot/archive; optional direct/menu capture for exact fajita price.,yes,suppress Dos XX draft/drink language,Carolina Beach boundary/broad Wilmington scope review,k38_carolina_beach_specials.md
26,K38 Baja Grill - Carolina Beach,Quesadilla Wednesday half-off De La Casa quesadilla,Mexican / Tacos,E_suppressed_or_drink_only,https://k38bajagrill.com/locations/carolina-beach/,upgraded_to_source_backed_food_row; mixed_line_alcohol_copy_suppression_needed; screenshot_archive_needed,"Quesadilla Wednesday lists 1/2 off De La Casa quesadilla, including chicken, cheese, or veggie; drink line appears and must be suppressed.",Wednesday,Food specials start at 5 PM; end time not listed,50% off,Dine-in only,"Quesadilla Wednesday's: 1/2 Off De La Casa Quesadilla, Includes Chicken, Cheese or Veggie. Food Specials start at 5:00pm ... All Specials are Dine In only.",Food-bearing row; public copy must omit Miller Lite language.,Reclassify from suppressed to food-only-after-copy-review; capture screenshot/archive.,yes,suppress Miller Lite/drink language,Carolina Beach boundary/broad Wilmington scope review,k38_carolina_beach_specials.md
