deal_id,candidate_id,restaurant_id,restaurant_name,deal_title,deal_description,public_title,public_description,deal_type,alcohol_classification,days_available,start_time,end_time,start_date,end_date,recurrence,price,discount,minimum_purchase,dine_in,takeout,delivery,happy_hour,source_id,source_capture_id,source_check_id,direct_confirmation_id,source_tier,source_url,source_name,evidence_type,evidence_captured_at,evidence_url_or_path,archive_url_or_path,screenshot_path,source_quote,evidence_summary,content_hash,last_seen_active,last_verified_at,expires_on,next_check_due,confidence_status,workflow_status,mvp_publish_eligible,publish_block_reason,location_scope_status,location_evidence,review_task_id,review_reason,assigned_reviewer,review_decision,decision_reason,reviewed_by,reviewed_at,public_copy_approved,restriction_notes,uncertainty_flags,conflict_detected,conflicting_source_url,validation_notes,added_by,created_at,updated_at,published_at,hidden_at,supersedes_deal_id
deal-cb-fentonis-lunch-special,cand-cb-fentonis-lunch-special,fentonis-pizza,Fentoni's Pizza,Lunch Special - 2 slices plus fountain drink,User-provided GPT audit says official specials page lists weekday lunch bundle and price.,$8.41 slice-and-drink lunch at Fentoni's,Fentoni's lists a dine-in lunch special with any two slices and a fountain drink Monday-Friday from 11 AM-2 PM at its Publix location.,lunch_special,food_only,Monday;Tuesday;Wednesday;Thursday;Friday,11:00,14:00,,,recurring_weekly,$8.41 plus tax,,,true,false,false,false,src-cb-fentonis-daily-specials,cap-cb-fentonis-daily-specials-2026-06-03,chk-cb-fentonis-daily-specials-2026-06-03,,tier_1_official,https://fentonispizza.com/daily-specials,Fentoni's Pizza Daily Specials,manual_web_review,2026-06-03T14:38:00-04:00,https://fentonispizza.com/daily-specials,fixtures/prototype/evidence/verified-static/src-cb-fentonis-daily-specials.md,app/public/evidence/source-screenshots/src-cb-fentonis-daily-specials.png,Monday Thru Friday 11am-2pm; Dine in only; $8.41 plus tax.,"Official Fentoni's page lists weekday lunch special, price, time window, dine-in restriction, and Publix location.",sha256:47617aaf5b014b0b8ddd46468ebca69767232b304aab994e84cab21a1428e964,2026-06-03,2026-06-03,,2026-06-17,verified,approved,true,,pilot_market_confirmed,Carolina Beach NC source supplied by user,rt-cb-fentonis-lunch-special,official_source_captured,codex_research_review,approved,Official source supports public static prototype row.,user_human_review_2026-06-03,2026-06-03T20:00:00-04:00,true,Dine in only; available at Publix location only.,,false,AI output is intake only; Codex did not fetch source or capture evidence.,Approved from official source capture; AI intake text was not used as final evidence.,2026-06-03,2026-06-03,2026-06-03,2026-06-03T14:45:00-04:00,,
deal-cb-k38-cinco-de-monday,cand-cb-k38-cinco-de-monday,k38-baja-grill,K38 Baja Grill,Cinco de Monday,User-provided GPT audit says official Carolina Beach location page lists Monday food special structure.,$5 Cinco de Monday at K38 Carolina Beach,"K38 Carolina Beach lists Cinco de Monday food specials starting at 5 PM, dine-in only.",taco_night,food_only,Monday,17:00,,,,recurring_weekly,$5,,,true,false,false,false,src-cb-k38-location,cap-cb-k38-location-2026-06-03,chk-cb-k38-location-2026-06-03,,tier_1_official,https://k38bajagrill.com/locations/carolina-beach/,K38 Carolina Beach Location,manual_web_review,2026-06-03T14:38:00-04:00,https://k38bajagrill.com/locations/carolina-beach/,fixtures/prototype/evidence/verified-static/src-cb-k38-location.md,app/public/evidence/source-screenshots/src-cb-k38-location.png,Cinco de Monday (Everything $5); Food Specials start at 5:00pm.,Official K38 Carolina Beach page lists location-specific Monday food special and dine-in restriction.,sha256:13e3e2b343451408c97e7b4049b5f0bebde2a39ba6e8992b6ad544bf5abcbc61,2026-06-03,2026-06-03,,2026-06-17,verified,approved,true,,pilot_market_confirmed,Carolina Beach NC source supplied by user,rt-cb-k38-cinco-de-monday,official_source_captured,codex_research_review,approved,Official source supports public static prototype row.,user_human_review_2026-06-03,2026-06-03T20:00:00-04:00,true,Food specials start at 5 PM; dine in only; drink copy suppressed.,,false,AI output is intake only; publish only with blank end_time if human reviewer accepts.,Approved from official source capture; AI intake text was not used as final evidence.,2026-06-03,2026-06-03,2026-06-03,2026-06-03T14:45:00-04:00,,
deal-cb-k38-quesadilla-wednesday,cand-cb-k38-quesadilla-wednesday,k38-baja-grill,K38 Baja Grill,Quesadilla Wednesday,User-provided GPT audit says official Carolina Beach location page lists Wednesday quesadilla special.,Half-off quesadillas Wednesday at K38,"K38 Carolina Beach lists half-off De La Casa quesadillas on Wednesdays starting at 5 PM, dine-in only.",other_food_special,food_only,Wednesday,17:00,,,,recurring_weekly,,1/2 off De La Casa Quesadilla,,true,false,false,false,src-cb-k38-location,cap-cb-k38-location-2026-06-03,chk-cb-k38-location-2026-06-03,,tier_1_official,https://k38bajagrill.com/locations/carolina-beach/,K38 Carolina Beach Location,manual_web_review,2026-06-03T14:38:00-04:00,https://k38bajagrill.com/locations/carolina-beach/,fixtures/prototype/evidence/verified-static/src-cb-k38-location.md,app/public/evidence/source-screenshots/src-cb-k38-location.png,Quesadilla Wednesday's; 1/2 Off De La Casa Quesadilla.,Official K38 Carolina Beach page lists Wednesday quesadilla special and dine-in restriction.,sha256:3fa4819d17ba707a434887e24418f89215d47759070ba6b297e8352ac4a2980c,2026-06-03,2026-06-03,,2026-06-17,verified,approved,true,,pilot_market_confirmed,Carolina Beach NC source supplied by user,rt-cb-k38-quesadilla-wednesday,official_source_captured,codex_research_review,approved,Official source supports public static prototype row.,user_human_review_2026-06-03,2026-06-03T20:00:00-04:00,true,Food specials start at 5 PM; dine in only; drink copy suppressed.,,false,AI output is intake only; publish only with blank end_time if human reviewer accepts.,Approved from official source capture; AI intake text was not used as final evidence.,2026-06-03,2026-06-03,2026-06-03,2026-06-03T14:45:00-04:00,,
deal-cb-hoplite-sunday-brunch,cand-cb-hoplite-sunday-brunch,hoplite-irish-pub-restaurant,HopLite Irish Pub & Restaurant,Sunday Brunch Breakfast Specials,User-provided GPT audit says official brunch menu lists Sunday brunch breakfast specials and prices.,Sunday brunch breakfast specials at HopLite,HopLite lists Sunday brunch from 10 AM-2 PM with breakfast specials starting at $12.,brunch,food_only,Sunday,10:00,14:00,,,recurring_weekly,From $12,,,true,false,false,,src-cb-hoplite-brunch,cap-cb-hoplite-brunch-2026-06-03,chk-cb-hoplite-brunch-2026-06-03,,tier_1_official,https://hopliterestaurant.com/brunch-menu/,HopLite Brunch Menu,manual_web_review,2026-06-03T14:38:00-04:00,https://hopliterestaurant.com/brunch-menu/,fixtures/prototype/evidence/verified-static/src-cb-hoplite-brunch.md,app/public/evidence/source-screenshots/src-cb-hoplite-brunch.png,Brunch is served Sundays from 10 am - 2 pm; BREAKFAST SPECIALS.,Official HopLite brunch menu lists Sunday brunch hours and breakfast specials with prices.,sha256:72e781223a5a969dff38490b37cdb1a9e4ff6e3feb21f5c98a8f7c314947ec51,2026-06-03,2026-06-03,,2026-06-17,verified,approved,true,,pilot_market_confirmed,Carolina Beach NC source supplied by user,rt-cb-hoplite-sunday-brunch,official_source_captured,codex_research_review,approved,Official source supports public static prototype row.,user_human_review_2026-06-03,2026-06-03T20:00:00-04:00,true,Brunch menu; exact item availability can change.,,false,AI output is intake only; label as brunch specials rather than discount claim if reviewed later.,Approved from official source capture; AI intake text was not used as final evidence.,2026-06-03,2026-06-03,2026-06-03,2026-06-03T14:45:00-04:00,,
,cand-cb-lazy-pirate-ayce-crab-legs,lazy-pirate-sports-grill,Lazy Pirate Sports Grill,All You Can Eat Crab Legs,User-provided GPT audit says official site mentions AYCE crab legs from 4 PM to 8 PM but omits price and exact day.,,,other_food_special,food_only,,16:00,20:00,,,recurring_unknown,,,,,,,,src-cb-lazy-pirate-home,,,,tier_1_official,https://lazypiratesportsgrill.com/,Lazy Pirate Website,official_website_pending_capture,,,,,,User-provided GPT audit says official site verifies AYCE crab legs time window but not price or exact day.,,,,,,unverified,needs_review,false,price day official capture and human review required,pilot_market_confirmed,Carolina Beach NC source supplied by user,rt-cb-lazy-pirate-ayce-crab-legs,needs_price,,,,,false,,price missing; exact deal_day missing; expires_on missing; no durable capture; no human approval,false,,Do not publish unless official price and day proof are captured or product supports price_not_listed after review.,user_provided_gpt_table,2026-06-03,2026-06-03,,,,
,cand-cb-shuckin-thursday-crab-legs,shuckin-shack-oyster-bar,Shuckin' Shack Oyster Bar,Thursday Crab Legs,User-provided GPT audit says official event result shows weekly Thursday crab legs and price per pound.,,,other_food_special,food_only,Thursday,,,,,recurring_weekly,$29.99 per lb,,,,,,false,src-cb-shuckin-event,,,,tier_1_official,https://www.theshuckinshack.com/events/thursday-5db408fd,Shuckin' Shack Event Page,official_event_pending_capture,,,,,,User-provided GPT audit says official event result shows Weekly Thursday and crab legs price but requires event page visual capture and location-specific confirmation.,,,,,,probable,needs_review,false,official event visual capture time decision and human review required,pilot_market_confirmed,Carolina Beach NC source supplied by user,rt-cb-shuckin-thursday-crab-legs,needs_visual_capture,,,,,false,,start_time missing; end_time missing; expires_on missing; location-specific visual confirmation missing,false,,Do not rely on search result alone for final proof.,user_provided_gpt_table,2026-06-03,2026-06-03,,,,
,cand-cb-michaels-lunch-specials,michaels-seafood-restaurant,Michael's Seafood Restaurant,Lunch Specials,User-provided GPT audit says official menu has Lunch Specials category but not enough to prove a current deal.,,,lunch_special,food_only,,,,,,unknown,,,,,,,,src-cb-michaels-menu,,,,tier_1_official,https://mikescfood.com/menu,Michael's Seafood Menu,official_menu_pending_capture,,,,,,User-provided GPT audit says official menu lists Lunch Specials category and item prices but no dated deal schedule or special terms.,,,,,,unverified,lead,false,not a deal under current standard,pilot_market_confirmed,Carolina Beach NC source supplied by user,rt-cb-michaels-lunch-specials,candidate_only,,,,,false,,deal_day missing; start_time missing; end_time missing; discount or special terms missing; expires_on missing,false,,Keep as restaurant/source candidate only unless dated official special appears.,user_provided_gpt_table,2026-06-03,2026-06-03,,,,
,cand-cb-seaworthy-daily-happy-hour,seaworthy-kitchen-bar,Seaworthy Kitchen + Bar,Daily 3-5 Happy Hour Menu,User-provided GPT audit says official website has broad daily food specials and happy hour language but no specific food items or prices.,,,happy_hour_food,unknown,daily,15:00,17:00,,,recurring_daily,,,,,,,true,src-cb-seaworthy-home,,,,tier_1_official,https://seaworthycb.com/,Seaworthy Website,official_website_pending_capture,,,,,,User-provided GPT audit says official website verifies daily 3-5 happy hour menu language but not specific food items prices or current dated source.,,,,,,unverified,lead,false,specific official food item proof required,pilot_market_confirmed,Carolina Beach NC source supplied by user,rt-cb-seaworthy-daily-happy-hour,needs_social_capture,,,,,false,,specific food items missing; price missing; dated current source missing; expires_on missing,false,,Find and capture dated official happy-hour food menu before any review for deal publication.,user_provided_gpt_table,2026-06-03,2026-06-03,,,,
,cand-cb-stoked-bacon-jam-gouda-burger,stoked-restaurant,Stoked Restaurant,Bacon Jam and Gouda Burger lunch special,User-provided GPT audit says Toast lists item and price but third-party ordering is discovery only.,,,lunch_special,food_only,,,,,,unknown,,,,,,,,src-cb-stoked-toast,,,,tier_3_partner,https://order.toasttab.com/online/stoked-restaurant/item-bacon-jam-and-gouda-burger-lunch-special_f73ec7b6-4187-43e5-87a2-a4ec1286cbd,Toast Stoked Ordering Page,partner_platform_discovery,,,,,,User-provided GPT audit says Toast lists item and price and search results suggest official social mention but official post must be captured before publication.,,,,,,unverified,lead,false,partner source is discovery only,pilot_market_confirmed,Carolina Beach NC source supplied by user,rt-cb-stoked-bacon-jam-gouda-burger,needs_social_capture,,,,,false,,official social post missing; source date missing; deal_day missing; start_time missing; end_time missing; expires_on missing,false,,Do not publish from Toast alone; capture dated official social post or direct confirmation.,user_provided_gpt_table,2026-06-03,2026-06-03,,,,
,cand-cb-bella-vita-999-lunch-specials,bella-vita,Bella Vita,$9.99 lunch specials,User-provided GPT audit says website supports identity but deal only appears in social snippets that need capture.,,,lunch_special,food_only,,,,,,unknown,$9.99,,,,,,,src-cb-bella-vita-home,,,,tier_1_official,https://bellavitancb.com/,Bella Vita Website,official_website_identity_only,,,,,,User-provided GPT audit says official website supports current identity but does not list lunch deal; social snippets mention 9.99 lunch specials and need dated capture.,,,,,,unverified,lead,false,official social deal capture required,pilot_market_confirmed,Carolina Beach NC source supplied by user,rt-cb-bella-vita-999-lunch-specials,needs_social_capture,,,,,false,,dated current social post missing; current restaurant name on deal post needed; exact days conflict; start_time missing; item list missing; expires_on missing,false,,Capture dated official social post showing special and current business identity before review.,user_provided_gpt_table,2026-06-03,2026-06-03,,,,
