batch_rank,restaurant,market_lane,scope_status,concept_type,primary_category,secondary_categories,official_source_status,deal_signal_status,strongest_signal,best_source_url,source_type,source_quote,evidence_status,blocker,next_action,priority,move_to_item_expansion,breakfast,morning,lunch,dinner,happy_hour,carryout,takeout,delivery,family_meals,weekly_specials,boundary_review,notes
1,RUMCOW.,Downtown / Castle Street,Wilmington core,cocktail bar / restaurant,happy hour,dinner; bar food; official-social lead,official_site_confirmed_identity_only,C_manual_social_needed,Happy-hour food lead remains unproven from official source.,https://rumcowwilmington.com/,official website,"Official site confirms RUMCOW. in Wilmington, NC and contact/social links, but no exact special terms.",source text partial,"Exact happy-hour food items, price, and schedule not visible on official site.",Capture official Instagram/Facebook or direct-confirm happy-hour food terms; otherwise demote to coverage-only.,P2,No,False,False,False,True,True,False,False,False,False,False,False,Do not promote from Restaurantji/secondary happy-hour signal. Keep as manual/social blocker.
2,On Thyme Restaurant,Downtown / Castle Street,Wilmington core,quick-service restaurant / chicken / sandwiches,happy hour,lunch; dinner; takeout,official_site_fetch_blocked,C_manual_social_needed,Secondary happy-hour-food lead only.,https://www.oohyougotthyme.com/,official website fetch failed,Official site returned 502 Bad Gateway in browser fetch.,blocked fetch,Official site unavailable; no official/current food-special terms captured.,"Manual browser/social/direct-confirm. If official source still fails, mark source blocked and keep out of item expansion.",P3,No,False,False,True,True,True,True,True,True,False,False,False,"The blocker is source availability, not evidence interpretation."
3,Fish House Grill,Wrightsville / Airlie boundary,Boundary review,seafood waterfront restaurant,dinner,lunch; seafood; waterfront,official_site_confirmed,D_checked_no_offer_found,No exact food special captured.,https://www.thefishhousegrill.com/,official website,"Official page confirms Fish House Grill, 1410 Airlie Road, Wilmington, open Tuesday-Sunday at 11:30 am.",source text confirmed,No meaningful special/deal terms visible in accessible text.,Do not reprocess until a social/current-special lead appears.,P4,No,False,False,True,True,False,False,False,False,False,False,True,Coverage value only; no deal row.
4,Bluewater Waterfront Grill,Wrightsville Beach,Boundary review,seafood waterfront restaurant,brunch,lunch; dinner; seafood; events,official_site_confirmed,D_checked_no_offer_found,"Sunday brunch exists, but no discount/special deal captured.",https://www.bluewaterdining.com/menu,official menu page,Official menu page lists Sunday Brunch 10am-3pm every Sunday.,source text confirmed,Brunch/menu availability is not a Forkcast deal without price/discount/special terms.,Park as coverage-only; revisit News & Events or social if a specific food special appears.,P4,No,True,True,True,True,False,True,True,False,False,False,True,Boundary restaurant but useful coverage.
5,Oceanic at Crystal Pier,Wrightsville Beach,Boundary review,oceanfront seafood restaurant,brunch,lunch; dinner; seafood,official_site_confirmed,D_checked_no_offer_found,Sunday brunch menu availability only.,https://www.oceanicrestaurant.com/our-menu,official menu page,Official menu page lists Brunch on Sundays 10am-3pm.,source text confirmed,No special price/discount/recurring food-deal terms captured.,Park as coverage-only; revisit if News & Events exposes a real food offer.,P4,No,True,True,True,True,False,True,True,False,False,False,True,Menu ≠ deal.
6,Vicious Biscuit — Wilmington,Mayfaire / Military Cutoff,Wilmington core,breakfast / brunch chain,breakfast,morning; rewards; carryout; takeout,official_site_confirmed,B_source_backed_needs_capture,Rewards app says users can score a free biscuit Monday-Friday when dining in.,https://viciousbiscuit.com/,official website / rewards copy,Official site says the rewards app lets users 'score a FREE biscuit Monday–Friday when you dine-in' and lists the Wilmington address.,source text confirmed; screenshot needed,Rewards-program terms and free-biscuit eligibility need copy review; screenshot/archive needed.,Move to item-expansion as rewards/food row; capture rewards terms and Wilmington location screenshot.,P1,Yes,True,True,True,False,False,True,True,True,False,True,False,This is not a standard discount; mark as rewards/free-item row.
7,Brasserie du Soleil,Mayfaire / Eastwood,Wilmington core,French restaurant,brunch,lunch; dinner; date night,official_site_confirmed,D_checked_no_offer_found,Lunch/dinner/Sunday brunch menus and hours only; no food special captured.,https://brasseriedusoleil.com/,official website,"Official page lists lunch Monday-Saturday, dinner, and Sunday hours plus Wilmington address.",source text confirmed,No meaningful deal/special terms in accessible official text.,Park as coverage-only; monitor official social/events for prix-fixe or date-night offers.,P4,No,True,True,True,True,False,True,True,False,False,False,False,Do not treat brunch/menu availability as a special.
8,Little Dipper Fondue,Downtown / Front Street,Wilmington core,fondue / date-night restaurant,date night,dinner; experiences,official_site_confirmed,C_experience_lead_not_deal,"Date Night experience copy exists, but no price/discount/schedule captured.",https://www.littledipperfondue.com/,official website,"Official page describes Date Night with shared cheese fondue and S'Mores fondue, and lists downtown Wilmington address.",source text confirmed,No special price or recurring offer terms; experience copy only.,Keep out of item expansion unless a dated/price-backed date-night offer is captured.,P3,No,False,False,False,True,False,False,False,False,False,False,False,"Potential future date-night/prix-fixe lane, but not a current deal."
9,The Eagles Dare,Downtown / Third Street,Wilmington core,beer garden / events,events,food truck / event food; happy hour unclear,official_site_confirmed,C_event_food_lead,Official events copy mentions food but no exact food terms.,https://www.theeaglesdare.com/,official website,"Official site says events include 'Music, food, community - all summer long!'",source text confirmed,"No recurring food offer, vendor/menu, price, or schedule captured.",Capture official events calendar/social for food-truck or event food offers; otherwise demote to venue coverage.,P3,No,False,False,False,True,True,False,False,False,False,False,False,"Events venue, not a restaurant deal row yet."
10,Hieronymus Seafood Restaurant & Oyster Bar,College Rd / UNCW,Wilmington core,seafood restaurant,seafood,lunch; dinner; oyster bar,official_source_not_captured,C_source_discovery_needed,No official-source special captured in this pass.,https://www.hieronymusseafood.com/,official candidate URL fetch blocked,Official candidate URL could not be opened safely in this environment.,source discovery needed,Need official site/social/manual source capture before any deal decision.,Manual browser capture official website and social; classify as no-offer-found if no specials are visible.,P3,No,False,False,True,True,False,True,True,False,False,False,False,Do not expand from secondary category pages.
11,Paddy's Hollow Restaurant & Pub,Downtown / Cotton Exchange,Wilmington core,Irish pub / restaurant,lunch,dinner; pub food; carryout,official_site_confirmed,D_checked_no_offer_found,Official menu/hours/location confirmed; no deal terms captured.,https://www.paddyshollow.com/,official website,Official site confirms Paddy's Hollow at 10 Walnut Street and lists hours.,source text confirmed,"No exact food special, happy-hour food, or weekly special captured.",Park as coverage-only until official social/menu adds specials.,P4,No,False,False,True,True,False,True,True,False,False,False,False,Good restaurant coverage; no deal.
12,The German Cafe,Downtown / Cotton Exchange,Wilmington core,German restaurant,drink-only suppressed,lunch; dinner; wine special,official_site_confirmed,E_suppressed_drink_only,Thursday half-price wine by the bottle is drink-only and suppressed.,https://www.thegermancafe.com/,official website,Official site says every Thursday they offer 50% off wine by the bottle; address and hours are also listed.,source text confirmed,Alcohol-only special; no food component captured.,Do not add to public food feed; keep as suppressed market signal.,P4,No,False,False,True,True,False,True,True,False,False,True,False,Suppressed by food-only public feed policy.
13,Islands Fresh Mex Grill,Multi-location Wilmington / Leland,Wilmington core plus Leland boundary,fast-casual Mexican,taco special,lunch; dinner; kids; takeout; delivery; catering,official_menu_confirmed,A_source_backed_candidate_after_review,Daily taco specials: before 5 PM and after 5 PM tiers with restrictions.,https://www.islandsfreshmexgrill.com/menu,official menu page,"Official menu lists Taco Specials Every Day, limit 4 tacos per order, drink purchase required, before 5 PM $1.99 and after 5 PM $1.00.",source text confirmed; screenshot needed,Need screenshot/archive and location/copy review; drink purchase condition must be worded safely.,Move to item expansion as two rows: before-5 taco special and after-5 taco special; attach location rows.,P1,Yes,False,False,True,True,False,True,True,True,True,True,False,Strongest Batch02 source-backed food deal.
14,Blueberry's Grill — Wilmington,Mayfaire / Eastwood,Wilmington core,breakfast / brunch restaurant,breakfast,morning; lunch; brunch,official_site_confirmed,D_checked_no_offer_found,Official Wilmington location and hours confirmed; no special captured.,https://blueberrysgrill.com/,official website,"Official page lists Wilmington, NC at 1900 Eastwood Road and open 7 days a week 7:00am to 3:00pm.",source text confirmed,"No breakfast deal, lunch deal, happy-hour food, or weekly special captured.",Park as coverage-only; revisit social/order pages if a breakfast special appears.,P4,No,True,True,True,False,False,True,True,False,False,False,False,Good breakfast coverage gap filled; no current deal.
15,Drift Coffee & Kitchen,Multi-location Wilmington / Carolina Beach,Wilmington core plus boundary,coffee / breakfast / all-day cafe,breakfast,morning; rewards; loyalty; takeout,official_site_confirmed,C_loyalty_or_item_lead_not_deal,"Loyalty app and Biscoff Stack availability are signals, not standalone deals.",https://driftcoffee.kitchen/,official website,"Official site lists Drift loyalty, Biscoff Stack availability, and multiple Wilmington-area locations.",source text confirmed,No specific discount/free food term captured; loyalty mechanic is too vague for Forkcast deal row.,Keep as coverage-only unless a food reward or limited-time special with exact terms appears.,P4,No,True,True,True,False,False,True,True,False,False,False,True,Potential rewards lane later; not a current deal.
