review_task_id,related_type,related_id,deal_id,source_id,restaurant_id,source_capture_id,direct_confirmation_id,report_source,opened_at,opened_by,assigned_reviewer,review_reason,risk_flags,priority,status,decision,decision_reason,decided_at,decided_by,next_action,next_action_due,public_copy_approval_status,food_alcohol_copy_check,next_check_due_required,expires_on_required,audit_event_id,resolution_notes
rt-sp-bella-cucina-weekly-lunch-specials,deal_candidate,cand-sp-bella-cucina-weekly-lunch-specials,deal-sp-bella-cucina-weekly-lunch-specials,src-sp-bella-cucina-weekly-lunch-specials,bella-cucina,cap-sp-bella-cucina-weekly-lunch-specials-2026-06-03,,user_provided_consolidated_json,2026-06-03,user,codex_research_review,official_source_captured,no durable capture; no source quote; no human approval; service mode unknown; missing: expiration date,high,closed,approved,Official source capture supports public static prototype row.,2026-06-03T14:45:00-04:00,codex_research_review,recheck_source,2026-06-17,approved,food_only_approved,true,true,aud-sp-bella-cucina-weekly-lunch-specials-published,Approved and promoted to public static prototype.
rt-sp-provision-company-lunch-special,deal_candidate,cand-sp-provision-company-lunch-special,deal-sp-provision-company-lunch-special,src-sp-provision-company-lunch-special,provision-company,cap-sp-provision-company-lunch-special-2026-06-03,,user_provided_consolidated_json,2026-06-03,user,codex_research_review,official_source_captured,no durable capture; no source quote; no human approval; service mode unknown; missing: expiration date; restrictions,high,closed,approved,Official source capture supports public static prototype row.,2026-06-03T14:45:00-04:00,codex_research_review,recheck_source,2026-06-17,approved,food_only_approved,true,true,aud-sp-provision-company-lunch-special-published,Approved and promoted to public static prototype.
rt-sp-asian-taste-lunch-special,deal_candidate,cand-sp-asian-taste-lunch-special,deal-sp-asian-taste-lunch-special,src-sp-asian-taste-lunch-special,asian-taste,cap-sp-asian-taste-lunch-special-2026-06-03,,user_provided_consolidated_json,2026-06-03,user,codex_research_review,official_source_captured,no durable capture; no source quote; no human approval; service mode unknown; missing: expiration date,high,closed,approved,Official source capture supports public static prototype row.,2026-06-03T15:10:00-04:00,codex_research_review,recheck_source,2026-06-17,not_started,food_only_pending,true,true,aud-sp-asian-taste-lunch-special-published,Approved and promoted to public static prototype.
rt-sp-island-way-early-evening-dinner-menu,deal_candidate,cand-sp-island-way-early-evening-dinner-menu,deal-sp-island-way-early-evening-dinner-menu,src-sp-island-way-early-evening-dinner-menu,island-way,cap-sp-island-way-early-evening-dinner-menu-2026-06-03,,user_provided_consolidated_json,2026-06-03,user,codex_research_review,official_source_captured,no durable capture; no source quote; no human approval; service mode unknown; missing: expiration date,high,closed,approved,Official source capture supports public static prototype row.,2026-06-03T14:45:00-04:00,codex_research_review,recheck_source,2026-06-17,approved,food_only_approved,true,true,aud-sp-island-way-early-evening-dinner-menu-published,Approved and promoted to public static prototype.
rt-sp-frying-pan-restaurant-ayce-crab-legs,deal_candidate,cand-sp-frying-pan-restaurant-ayce-crab-legs,deal-sp-frying-pan-restaurant-ayce-crab-legs,src-sp-frying-pan-restaurant-ayce-crab-legs,frying-pan-restaurant,cap-sp-frying-pan-restaurant-ayce-crab-legs-2026-06-03,,user_provided_consolidated_json,2026-06-03,user,codex_research_review,official_source_captured,no durable capture; no source quote; no human approval; service mode unknown; missing: price; expiration date; price missing,high,closed,approved,Official source capture supports public static prototype row.,2026-06-03T14:45:00-04:00,codex_research_review,recheck_source,2026-06-17,approved,food_only_approved,true,true,aud-sp-frying-pan-restaurant-ayce-crab-legs-published,Approved and promoted to public static prototype.
rt-sp-provision-company-seafood-specials,deal_candidate,cand-sp-provision-company-seafood-specials,,src-sp-provision-company-seafood-specials,provision-company,,,user_provided_consolidated_json,2026-06-03,user,,candidate_only,no durable capture; no source quote; no human approval; service mode unknown; missing: specific deal day; start/end time; whether rotating specials vs regular menu items; expiration date; candidate only,low,open,,,,,Do not publish this row. Human reviewer should reject or rewrite as individual entries after deciding whether menu 'Specials' count as deals.,,not_started,food_only_pending,true,true,,
rt-sp-los-primos-lunch-specials,deal_candidate,cand-sp-los-primos-lunch-specials,,src-sp-los-primos-lunch-specials,los-primos-mexican-restaurant,,,user_provided_consolidated_json,2026-06-03,user,,candidate_only,no durable capture; no source quote; no human approval; service mode unknown; missing: lunch start time; lunch end time; days available; expiration date; candidate only,low,open,,,,,Try to capture the 'All hours' / lunch availability view from Toast or the restaurant's site. Call only if lunch hours cannot be verified online.,,not_started,food_only_pending,true,true,,
rt-sp-southport-gourmet-sushi-roll-specials,deal_candidate,cand-sp-southport-gourmet-sushi-roll-specials,,src-sp-southport-gourmet-sushi-roll-specials,southport-gourmet-and-sushi-bar,,,user_provided_consolidated_json,2026-06-03,user,,candidate_only,no durable capture; no source quote; no human approval; service mode unknown; missing: lunch days; lunch start time; lunch end time; expiration date; candidate only,low,open,,,,,Capture menu section; do not publish until lunch service days/hours are verified from an official page or ordering platform.,,not_started,food_only_pending,true,true,,
rt-sp-san-felipe-lunch-special-combos,deal_candidate,cand-sp-san-felipe-lunch-special-combos,deal-sp-san-felipe-lunch-special-combos,src-sp-san-felipe-lunch-special-combos,san-felipe-mexican-restaurant,cap-sp-san-felipe-lunch-special-combos-2026-06-03,,user_provided_consolidated_json,2026-06-03,user,codex_research_review,official_source_captured,no durable capture; no source quote; no human approval; service mode unknown; missing: current PDF visual proof; price; day; start/end time; restrictions; expiration date,normal,closed,approved,Official source capture supports public static prototype row.,2026-06-03T15:10:00-04:00,codex_research_review,recheck_source,2026-06-17,not_started,food_only_pending,true,true,aud-sp-san-felipe-lunch-special-combos-published,Approved and promoted to public static prototype.
rt-sp-southern-gathering-place-burger-night,deal_candidate,cand-sp-southern-gathering-place-burger-night,,src-sp-southern-gathering-place-burger-night,southern-a-gathering-place,,,user_provided_consolidated_json,2026-06-03,user,,candidate_only,no durable capture; no source quote; no human approval; service mode unknown; missing: whether the sample menu is current/live; exact end time; expiration/date updated; candidate only,normal,open,,,,,Human reviewer should inspect the PDF capture and decide whether 'SAMPLE' label is acceptable. No call unless reviewer needs current menu confirmation.,,not_started,food_only_pending,true,true,,
rt-sp-dots-on-howe-bbq-sandwich-special,deal_candidate,cand-sp-dots-on-howe-bbq-sandwich-special,,src-sp-dots-on-howe-bbq-sandwich-special,dot-s-on-howe,,,user_provided_consolidated_json,2026-06-03,user,,needs_social_capture,no durable capture; no source quote; no human approval; service mode unknown; missing: full post capture; exact date/year; whether recurring; restrictions,normal,open,,,,,Try direct browser capture of the official Facebook post. Do not call yet.,,not_started,food_only_pending,true,true,,
rt-sp-island-times-cafe-lunch-specials,deal_candidate,cand-sp-island-times-cafe-lunch-specials,,src-sp-island-times-cafe-lunch-specials,island-times-cafe,,,user_provided_consolidated_json,2026-06-03,user,,needs_social_capture,no durable capture; no source quote; no human approval; service mode unknown; missing: current visual post; date/year; recurrence; daily availability; restrictions,normal,open,,,,,Capture the latest official Facebook post; only call if current social capture fails.,,not_started,food_only_pending,true,true,,
rt-sp-carolina-coastal-cafe-specials,deal_candidate,cand-sp-carolina-coastal-cafe-specials,,src-sp-carolina-coastal-cafe-specials,carolina-coastal-cafe-cacoca,,,user_provided_consolidated_json,2026-06-03,user,,needs_social_capture,no durable capture; no source quote; no human approval; service mode unknown; missing: price; day/time; date/year; recurrence; restrictions; visual post capture,normal,open,,,,,Try direct capture of latest official Facebook posts. Keep as candidate only until price/date/time are visible.,,not_started,food_only_pending,true,true,,
rt-sp-ports-of-call-bistro-tuesday-lunch-specials,deal_candidate,cand-sp-ports-of-call-bistro-tuesday-lunch-specials,,src-sp-ports-of-call-bistro-tuesday-lunch-specials,ports-of-call-bistro,,,user_provided_consolidated_json,2026-06-03,user,,needs_social_capture,no durable capture; no source quote; no human approval; service mode unknown; missing: current dated post; prices; start/end time; restrictions,normal,open,,,,,Capture latest official Facebook or Instagram lunch-special post.,,not_started,food_only_pending,true,true,,
rt-sp-saucy-southerner-hotdog-special,deal_candidate,cand-sp-saucy-southerner-hotdog-special,,src-sp-saucy-southerner-hotdog-special,the-saucy-southerner,,,user_provided_consolidated_json,2026-06-03,user,,rejected_unverified,no durable capture; no source quote; no human approval; service mode unknown; missing: current open status; date/year; visual post; schedule; restrictions; rejected by source audit,low,closed,rejected,"Promising but risky: official website says to check Instagram for specials, while a Facebook search result indicates a November 2024 closure announcement. Treat as unverified until current operations are confirmed.",,,First verify current operations via official Instagram/website. Manual call only if online status remains contradictory.,,not_started,food_only_pending,true,true,,Kept out of publication path.
rt-sp-priority-1-southern-gathering-place-burger-night,deal_candidate,cand-sp-southern-gathering-place-burger-night,,,,,,user_provided_consolidated_json,2026-06-03,user,,priority_next_action,manual follow-up required,high,open,,,,,Human review of Burger Night PDF to determine if 'SAMPLE' label disqualifies it,,not_started,unknown,true,true,,Related type normalized from priority_next_action to deal_candidate; task remains open and review-required.
rt-sp-priority-2-dots-on-howe-bbq-sandwich-special,deal_candidate,cand-sp-dots-on-howe-bbq-sandwich-special,,,,,,user_provided_consolidated_json,2026-06-03,user,,priority_next_action,manual follow-up required,high,open,,,,,Direct browser capture of official Facebook post,,not_started,unknown,true,true,,Related type normalized from priority_next_action to deal_candidate; task remains open and review-required.
rt-sp-priority-3-island-times-cafe-lunch-specials,deal_candidate,cand-sp-island-times-cafe-lunch-specials,,,,,,user_provided_consolidated_json,2026-06-03,user,,priority_next_action,manual follow-up required,normal,open,,,,,Capture latest official Facebook post,,not_started,unknown,true,true,,Related type normalized from priority_next_action to deal_candidate; task remains open and review-required.
rt-sp-priority-4-carolina-coastal-cafe-specials,deal_candidate,cand-sp-carolina-coastal-cafe-specials,,,,,,user_provided_consolidated_json,2026-06-03,user,,priority_next_action,manual follow-up required,normal,open,,,,,Direct capture of latest official Facebook posts,,not_started,unknown,true,true,,Related type normalized from priority_next_action to deal_candidate; task remains open and review-required.
rt-sp-priority-5-ports-of-call-bistro-tuesday-lunch-specials,deal_candidate,cand-sp-ports-of-call-bistro-tuesday-lunch-specials,,,,,,user_provided_consolidated_json,2026-06-03,user,,priority_next_action,manual follow-up required,normal,open,,,,,Capture latest official Facebook or Instagram lunch-special post,,not_started,unknown,true,true,,Related type normalized from priority_next_action to deal_candidate; task remains open and review-required.
rt-sp-priority-6-saucy-southerner-hotdog-special,deal_candidate,cand-sp-saucy-southerner-hotdog-special,,,,,,user_provided_consolidated_json,2026-06-03,user,,priority_next_action,manual follow-up required,normal,open,,,,,Verify current operations online before any outreach,,not_started,unknown,true,true,,Related type normalized from priority_next_action to deal_candidate; task remains open and review-required.
rt-sp-pepperoni-grill-monday-pizza-special,deal_candidate,cand-sp-pepperoni-grill-monday-pizza-special,deal-sp-pepperoni-grill-monday-pizza-special,src-sp-pepperoni-grill-oak-island-specials,pepperoni-grill-oak-island,cap-sp-pepperoni-grill-oak-island-specials-2026-06-03,,official_source_sweep_2026-06-03,2026-06-03,user,codex_research_review,official_source_captured_southport_prototype,missing relational support row backfilled,high,closed,approved,Official source supports public static prototype row.,2026-06-03T20:45:00-04:00,user_human_review_2026-06-03,recheck_source,2026-06-17,approved,food_only_approved,true,true,aud-sp-pepperoni-grill-monday-pizza-special-published,Approved and promoted to public static prototype before this backfill; relational support row added from existing packet data.
rt-sp-pepperoni-grill-thursday-pizza-wings-special,deal_candidate,cand-sp-pepperoni-grill-thursday-pizza-wings-special,deal-sp-pepperoni-grill-thursday-pizza-wings-special,src-sp-pepperoni-grill-oak-island-specials,pepperoni-grill-oak-island,cap-sp-pepperoni-grill-oak-island-specials-2026-06-03,,official_source_sweep_2026-06-03,2026-06-03,user,codex_research_review,official_source_captured_southport_prototype,missing relational support row backfilled,high,closed,approved,Official source supports public static prototype row.,2026-06-03T20:45:00-04:00,user_human_review_2026-06-03,recheck_source,2026-06-17,approved,food_only_approved,true,true,aud-sp-pepperoni-grill-thursday-pizza-wings-special-published,Approved and promoted to public static prototype before this backfill; relational support row added from existing packet data.
