deal_id,candidate_id,restaurant_id,restaurant_name,deal_title,deal_description,public_title,public_description,deal_type,alcohol_classification,days_available,start_time,end_time,start_date,end_date,recurrence,price,discount,minimum_purchase,dine_in,takeout,delivery,happy_hour,source_id,source_capture_id,source_check_id,direct_confirmation_id,source_tier,source_url,source_name,evidence_type,evidence_captured_at,evidence_url_or_path,archive_url_or_path,screenshot_path,source_quote,evidence_summary,content_hash,last_seen_active,last_verified_at,expires_on,next_check_due,confidence_status,workflow_status,mvp_publish_eligible,publish_block_reason,location_scope_status,location_evidence,review_task_id,review_reason,assigned_reviewer,review_decision,decision_reason,reviewed_by,reviewed_at,public_copy_approved,restriction_notes,uncertainty_flags,conflict_detected,conflicting_source_url,validation_notes,added_by,created_at,updated_at,published_at,hidden_at,supersedes_deal_id
deal-sp-bella-cucina-weekly-lunch-specials,cand-sp-bella-cucina-weekly-lunch-specials,bella-cucina,Bella Cucina,Weekly Lunch Specials,"User-provided consolidated Southport intake says: Official page lists 'Weekly Lunch Specials,' Monday–Saturday items and prices, and lunch hours of 11 AM–4 PM; meets website-first + visual-capture standard.",Lunch specials at Bella Cucina,"Bella Cucina lists weekly lunch specials for its Southport lunch service, Monday through Saturday from 11 AM-4 PM.",lunch_special,food_only,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,11:00,16:00,,,recurring_weekly,From $8.49,,,true,true,false,,src-sp-bella-cucina-weekly-lunch-specials,cap-sp-bella-cucina-weekly-lunch-specials-2026-06-03,chk-sp-bella-cucina-weekly-lunch-specials-2026-06-03,,tier_1_official,https://www.belladiningnc.com/weekly-lunch-specials,Bella Cucina source,manual_web_review,2026-06-03T14:38:00-04:00,https://www.belladiningnc.com/weekly-lunch-specials,fixtures/prototype/evidence/verified-static/src-sp-bella-cucina-weekly-lunch-specials.md,app/public/evidence/source-screenshots/src-sp-bella-cucina-weekly-lunch-specials.png,Weekly Lunch Specials; Monday - Saturday; Open 11 am - 4:00 pm.,Official Bella Cucina page lists day-specific weekly lunch specials and Southport lunch hours.,sha256:278c96158c2d3772166b04be519e6afc1bde5ff8d0c64b4cd3b8b5093d3e3aa1,2026-06-03,2026-06-03,,2026-06-17,verified,approved,true,,pilot_market_confirmed,"Southport / Oak Island, NC",rt-sp-bella-cucina-weekly-lunch-specials,official_source_captured,codex_research_review,approved,Official source supports public static prototype row.,user_human_review_2026-06-03,2026-06-03T18:00:00-04:00,true,Lunch quick service and to-go/online service noted; item availability can change.,,false,,Approved from official source capture; AI intake text was not used as final evidence.,user_provided_consolidated_json,2026-06-03,2026-06-03,2026-06-03T14:45:00-04:00,,
deal-sp-provision-company-lunch-special,cand-sp-provision-company-lunch-special,provision-company,Provision Company,Lunch Special,"User-provided consolidated Southport intake says: Official menu page lists 'Lunch Special,' describes the food, gives 'Served 11 am–4pm,' price $9.95, and shows a 2026 menu timestamp.",$9.95 lunch special at Provision Company,Provision Company lists a lunch special served from 11 AM-4 PM for $9.95 on its official menu.,lunch_special,food_only,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,11:00,16:00,,,recurring_daily,$9.95,,,true,false,false,,src-sp-provision-company-lunch-special,cap-sp-provision-company-lunch-special-2026-06-03,chk-sp-provision-company-lunch-special-2026-06-03,,tier_1_official,https://provisioncompany.com/menu/,Provision Company source,manual_web_review,2026-06-03T14:38:00-04:00,https://provisioncompany.com/menu/,fixtures/prototype/evidence/verified-static/src-sp-provision-company-lunch-special.md,app/public/evidence/source-screenshots/src-sp-provision-company-lunch-special.png,Lunch Special; Served 11 am - 4pm; $9.95.,"Official Provision Company menu lists lunch special details, hours, price, and Southport restaurant identity.",sha256:ecf6ee2999243fed47151a46f19130a3bdf9663d398ca55f48980751127f4484,2026-06-03,2026-06-03,,2026-06-17,verified,approved,true,,pilot_market_confirmed,"Southport / Oak Island, NC",rt-sp-provision-company-lunch-special,official_source_captured,codex_research_review,approved,Official source supports public static prototype row.,user_human_review_2026-06-03,2026-06-03T18:00:00-04:00,true,Service mode not separately stated on special; treated as dine-in menu special.,,false,,Approved from official source capture; AI intake text was not used as final evidence.,user_provided_consolidated_json,2026-06-03,2026-06-03,2026-06-03T14:45:00-04:00,,
deal-sp-asian-taste-lunch-special,cand-sp-asian-taste-lunch-special,asian-taste,Asian Taste,Lunch Special,"User-provided consolidated Southport intake says: Official ordering menu lists 'Lunch Special,' Monday–Saturday, 11 AM–3 PM, with item prices.",Lunch specials at Asian Taste,"Asian Taste lists lunch specials served Monday-Saturday from 11 AM-3 PM, with pickup ordering available.",lunch_special,food_only,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,11:00,15:00,,,recurring_weekly,From $10.25,,,false,true,false,false,src-sp-asian-taste-lunch-special,cap-sp-asian-taste-lunch-special-2026-06-03,chk-sp-asian-taste-lunch-special-2026-06-03,,tier_1_official,https://www.asiantastenc.com/y1j30nsx/restaurant/order-online?menu=Lunch+Menu,Asian Taste source,manual_web_review,2026-06-03T15:10:00-04:00,https://www.asiantastenc.com/y1j30nsx/restaurant/order-online?menu=Lunch+Menu,fixtures/prototype/evidence/verified-static/src-sp-asian-taste-lunch-special.md,app/public/evidence/source-screenshots/src-sp-asian-taste-lunch-special.png,Lunch Special; Monday-Saturday 11:00 AM-3:00 PM.,"Official ordering menu confirms Southport address, lunch-special schedule, representative prices, pickup availability, and delivery disabled status.",sha256:0ee452fc73ce87b854ebd815e498bdf21e78aabb79f8c16c5d432562e0e26efa,2026-06-03,2026-06-03,,2026-06-17,verified,approved,true,,pilot_market_confirmed,"Southport / Oak Island, NC",rt-sp-asian-taste-lunch-special,official_source_captured,codex_research_review,approved,Official source supports public static prototype row.,user_human_review_2026-06-03,2026-06-03T18:00:00-04:00,true,Pickup ordering available; delivery disabled in captured ordering view; item availability can change.,,false,,Approved from official source capture; AI intake text was not used as final evidence.,user_provided_consolidated_json,2026-06-03,2026-06-03T15:10:00-04:00,2026-06-03T15:10:00-04:00,,
deal-sp-island-way-early-evening-dinner-menu,cand-sp-island-way-early-evening-dinner-menu,island-way,Island Way,Early Evening Dinner Menu,User-provided consolidated Southport intake says: Official page lists the Early Evening Dinner Menu with full details. 'Daily' should be interpreted as open days (Wednesday–Sunday) per homepage.,Early evening dinner menu at Island Way,"Island Way lists an early evening dinner menu served daily from 4:30-6 PM, with seating required by 5:45 PM.",other_food_special,food_only,Wednesday;Thursday;Friday;Saturday;Sunday,16:30,18:00,,,recurring_daily,From $16,,,true,false,false,,src-sp-island-way-early-evening-dinner-menu,cap-sp-island-way-early-evening-dinner-menu-2026-06-03,chk-sp-island-way-early-evening-dinner-menu-2026-06-03,,tier_1_official,https://islandwayres.com/early-evening-dinner-menu/,Island Way source,manual_web_review,2026-06-03T14:38:00-04:00,https://islandwayres.com/early-evening-dinner-menu/,fixtures/prototype/evidence/verified-static/src-sp-island-way-early-evening-dinner-menu.md,app/public/evidence/source-screenshots/src-sp-island-way-early-evening-dinner-menu.png,Served Daily 4:30pm -6:00pm. Must be seated by 5:45pm.,"Official Island Way page lists early evening menu timing, pricing, seating cutoff, and Oak Island address.",sha256:fd5aa8197abe3df99de9294c19dfd7845e0658a525d703b11b9e252d014544a8,2026-06-03,2026-06-03,,2026-06-17,verified,approved,true,,pilot_market_confirmed,"Southport / Oak Island, NC",rt-sp-island-way-early-evening-dinner-menu,official_source_captured,codex_research_review,approved,Official source supports public static prototype row.,user_human_review_2026-06-03,2026-06-03T18:00:00-04:00,true,Must be seated by 5:45 PM; not valid with other promotions.,,false,,Approved from official source capture; AI intake text was not used as final evidence.,user_provided_consolidated_json,2026-06-03,2026-06-03,2026-06-03T14:45:00-04:00,,
deal-sp-frying-pan-restaurant-ayce-crab-legs,cand-sp-frying-pan-restaurant-ayce-crab-legs,frying-pan-restaurant,Frying Pan Restaurant,2026 All-You-Can-Eat Crab Legs,User-provided consolidated Southport intake says: Official FAQ confirms 2026 featured special: all-you-can-eat crab legs Wednesdays from 4 PM until close. No price listed.,Wednesday all-you-can-eat crab legs at Frying Pan,Frying Pan lists all-you-can-eat crab legs on Wednesdays from 4 PM until close for the 2026 season.,other_food_special,food_only,Wednesday,16:00,,,,recurring_weekly,See source,,,true,false,false,,src-sp-frying-pan-restaurant-ayce-crab-legs,cap-sp-frying-pan-restaurant-ayce-crab-legs-2026-06-03,chk-sp-frying-pan-restaurant-ayce-crab-legs-2026-06-03,,tier_1_official,https://fryingpansouthport.com/faq-items/what-are-your-hours/,Frying Pan Restaurant source,manual_web_review,2026-06-03T14:38:00-04:00,https://fryingpansouthport.com/faq-items/what-are-your-hours/,fixtures/prototype/evidence/verified-static/src-sp-frying-pan-restaurant-ayce-crab-legs.md,app/public/evidence/source-screenshots/src-sp-frying-pan-restaurant-ayce-crab-legs.png,"For the 2026 season, our featured special is all-you-can-eat crab legs.","Official Frying Pan FAQ lists the 2026 crab legs special, Wednesday schedule, start time, and Southport location.",sha256:17f55276880e40b90e50551db3764410ba0d209b3b83373b95aa56074e57bd62,2026-06-03,2026-06-03,,2026-06-17,verified,approved,true,,pilot_market_confirmed,"Southport / Oak Island, NC",rt-sp-frying-pan-restaurant-ayce-crab-legs,official_source_captured,codex_research_review,approved,Official source supports public static prototype row.,user_human_review_2026-06-03,2026-06-03T18:00:00-04:00,true,Available Wednesdays from 4 PM until close; price not listed on official FAQ.,,false,,Approved from official source capture; AI intake text was not used as final evidence.,user_provided_consolidated_json,2026-06-03,2026-06-03,2026-06-03T14:45:00-04:00,,
,cand-sp-provision-company-seafood-specials,provision-company,Provision Company,Seafood Specials,"User-provided consolidated Southport intake says: Official menu has a 'Specials' section with priced items, but too broad and not a clean single deal. The stronger Provision candidate is the separate $9.95 Lunch Special row.",,,other_food_special,food_only,,,,,,,,,,,,,,src-sp-provision-company-seafood-specials,,,,tier_1_official,https://provisioncompany.com/menu/,Provision Company source,pending_visual_capture,,,,,,"User-provided intake fields verified: restaurant; specials section; item names; prices. Reason: Official menu has a 'Specials' section with priced items, but too broad and not a clean single deal. The stronger Provision candidate is the separate $9.95 Lunch Special row.",,,,,,unverified,lead,false,no durable capture; no source quote; no human approval; service mode unknown; missing: specific deal day; start/end time; whether rotating specials vs regular menu items; expiration date; candidate only,out_of_scope,"Southport / Oak Island, NC",rt-sp-provision-company-seafood-specials,candidate_only,,,,,,false,,specific deal day; start/end time; whether rotating specials vs regular menu items; expiration date; service mode unknown; no durable capture; AI output is not evidence,false,,Next manual action: Do not publish this row. Human reviewer should reject or rewrite as individual entries after deciding whether menu 'Specials' count as deals.,user_provided_consolidated_json,2026-06-03,2026-06-03,,,
,cand-sp-los-primos-lunch-specials,los-primos-mexican-restaurant,Los Primos Mexican Restaurant,Lunch Specials,"User-provided consolidated Southport intake says: Official/restaurant-linked menu lists a 'Lunch Specials' category and prices, but does not prove the lunch time window or days.",,,lunch_special,food_only,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,11:00,,,,,,,,,,,,src-sp-los-primos-lunch-specials,,,,tier_1_official,https://losprimosmexicanrestaurant.com/menu/los-primos-2-5021-southport-crossing-way,Los Primos Mexican Restaurant source,pending_visual_capture,,,,,,"User-provided intake fields verified: restaurant; Southport address; lunch-special category; item names; prices. Reason: Official/restaurant-linked menu lists a 'Lunch Specials' category and prices, but does not prove the lunch time window or days.",,,,,,unverified,lead,false,official menu URL 403; lunch end time not found; pricing not confirmed from official source; secondary source hours only,out_of_scope,"Southport / Oak Island, NC",rt-sp-los-primos-lunch-specials,candidate_only,,,,,,false,,lunch start time; lunch end time; days available; expiration date; service mode unknown; no durable capture; AI output is not evidence,false,,"Next manual action: Call restaurant to get lunch hours and specials pricing. Address: 5021 Southport Crossing Wy #306, Southport NC 28461. Secondary sources (restaurantji.com, restaurants-world.net) confirm Mon-Sun 11 AM-9 PM overall hours but no lunch-specific cutoff or pricing.",user_provided_consolidated_json,2026-06-03,2026-06-03,,,
,cand-sp-southport-gourmet-sushi-roll-specials,southport-gourmet-and-sushi-bar,Southport Gourmet & Sushi Bar,Lunch Menu / Sushi Roll Specials,"User-provided consolidated Southport intake says: Official lunch menu lists 'Sushi Roll Specials' with combo pricing, but page does not prove lunch hours or days.",,,lunch_special,food_only,Monday;Wednesday;Thursday;Friday;Saturday;Sunday,11:00,,,,,2 rolls $14.95; 3 rolls $17.95,,,,,,,src-sp-southport-gourmet-sushi-roll-specials,,,,tier_1_official,https://www.southportgourmetandsushibar.com/lunch.html,Southport Gourmet & Sushi Bar source,pending_visual_capture,,,,,Mon. 11am-9pm | Tuesday Closed | Wed.-Thurs. 11am-9pm | Fri.-Sat. 11am-10pm | Sunday 11am-9pm,"User-provided intake fields verified: restaurant; lunch menu; sushi roll special pricing (2 rolls $14.95 / 3 rolls $17.95); restrictions; included soup/salad. Reason: Official lunch menu lists 'Sushi Roll Specials' with combo pricing, but page does not prove lunch hours or days.",,,,,,probable,lead,false,lunch end time not stated on official source; overall hours run to 9-10 PM,out_of_scope,"Southport / Oak Island, NC",rt-sp-southport-gourmet-sushi-roll-specials,candidate_only,,,,,,false,Regular rolls only; Super California Roll excluded; served with soup or salad. Closed Tuesdays.,lunch_end_time_not_published,false,,"Next manual action: Human reviewer decision — publish as approved_with_uncertainty with 'from 11 AM; see restaurant for current lunch hours' copy, OR call restaurant to confirm lunch cutoff before approving. Address: 1643 N Howe St, Southport NC 28461.",user_provided_consolidated_json,2026-06-03,2026-06-03,,,
deal-sp-san-felipe-lunch-special-combos,cand-sp-san-felipe-lunch-special-combos,san-felipe-mexican-restaurant,San Felipe Mexican Restaurant,Lunch Special Combos,"User-provided consolidated Southport intake says: Official menu page links a Lunch Menu and lists Southport locations, but the current PDF was not safely captured. Prior combo details remain unpublishable until PDF is visually captured.",Lunch special combos at San Felipe,San Felipe lists numbered lunch combos Monday–Friday from 11 AM–3 PM; combos include choice of protein with sides.,lunch_special,food_only,Monday;Tuesday;Wednesday;Thursday;Friday,11:00,15:00,,,recurring_weekly,$9.99,,,true,false,false,false,src-sp-san-felipe-lunch-special-combos,cap-sp-san-felipe-lunch-special-combos-2026-06-03,chk-sp-san-felipe-lunch-special-combos-2026-06-03,,tier_1_official,https://www.sanfelipenc.com/menu,San Felipe Mexican Restaurant source,manual_web_review,2026-06-03T19:00:00-04:00,https://www.sanfelipenc.com/s/SF-Lunch-Q2-2026-Web.pdf,fixtures/prototype/evidence/verified-static/src-sp-san-felipe-lunch-special-combos.md,app/public/evidence/source-screenshots/src-sp-san-felipe-lunch-special-combos.png,LUNCH MENU AVAILABLE 11AM-3PM MONDAY-FRIDAY ... SPECIALS COMBOS FOR 9.99,"Official San Felipe menu page links Q2 2026 lunch PDF; PDF confirms Mon-Fri 11 AM-3 PM, 10 numbered combos at $9.99, two Southport NC locations.",sha256:0b4a6fcf9d85fbfa97ac92da8ac5d99a8f7d1602e1725b4ace19fc9e59fc7ada,2026-06-03,2026-06-03T19:00:00-04:00,,2026-07-01,verified,approved,true,,pilot_market_confirmed,"1673 North Howe Street, Southport, NC 28461 and 5034 Southport Crossing Way, Southport, NC 28461",rt-sp-san-felipe-lunch-special-combos,official_source_captured,codex_research_review,approved,Official source supports public static prototype row.,user_human_review_2026-06-03,2026-06-03T19:00:00-04:00,true,Served with ground beef or shredded chicken only; 18% gratuity added for parties of 6+; $0.35 additional fee for takeout orders.,,false,,"Agent-verified: PDF accessible, Mon-Fri 11:00-15:00, $9.99 combos confirmed, two Southport NC locations confirmed. Human-approved for Southport prototype.",user_provided_consolidated_json,2026-06-03,2026-06-03T15:10:00-04:00,,,
,cand-sp-southern-gathering-place-burger-night,southern-a-gathering-place,"Southern, a gathering place",Tuesday Burger Night,"User-provided consolidated Southport intake says: Official page lists 'TUESDAY BURGER NIGHT MENU' and hours as 'Tuesday (Burger Night) 4:30 PM — UNTIL,' but the PDF menu is labeled 'SAMPLE,' so this should not auto-publish.",,,other_food_special,food_only,,,,,,,,,,,,,,src-sp-southern-gathering-place-burger-night,,,,tier_1_official,https://www.southernagatheringplace.com/menu,"Southern, a gathering place source",pending_visual_capture,,,,,,"User-provided intake fields verified: restaurant; address; Tuesday Burger Night; start time (4:30 PM); official menu link; item prices visible in PDF render. Reason: Official page lists 'TUESDAY BURGER NIGHT MENU' and hours as 'Tuesday (Burger Night) 4:30 PM — UNTIL,' but the PDF menu is labeled 'SAMPLE,' so this should not auto-publish.",,,,,,probable,lead,false,no durable capture; no source quote; no human approval; service mode unknown; missing: whether the sample menu is current/live; exact end time; expiration/date updated; candidate only,out_of_scope,"Southport / Oak Island, NC",rt-sp-southern-gathering-place-burger-night,candidate_only,,,,,,false,,whether the sample menu is current/live; exact end time; expiration/date updated; service mode unknown; no durable capture; AI output is not evidence,false,,Next manual action: Human reviewer should inspect the PDF capture and decide whether 'SAMPLE' label is acceptable. No call unless reviewer needs current menu confirmation.,user_provided_consolidated_json,2026-06-03,2026-06-03,,,
