source_id,restaurant_id,source_type,source_tier,source_owner,source_url,collection_method,automation_allowed,permission_required,robots_or_terms_notes,wilmington_location_match,multi_location_risk,source_priority,source_status,requires_manual_check,login_required,volatile_source,expected_check_cadence_days,last_successful_check_at,last_failed_check_at,failure_reason,next_check_due,evidence_storage_path,notes
src-cornelias-primary,cornelias,website,tier_1_official,Cornelia's,https://corneliasrestaurant.com/menus/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,active,true,false,true,14,2026-06-04,,,2026-06-18,,Official weekly-specials page; public access at The Davis Community needs review.
src-tomiko-san-primary,tomiko-san,website,tier_1_official,Tomiko-San,https://www.tomiko-san.com/event/sushi-hour/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,active,true,false,true,30,2026-06-04,,,2026-07-04,,Official Sushi Hour event page; mixed food/drink copy requires food-only review.
src-el-cerro-grande-monkey-junction-primary,el-cerro-grande-monkey-junction,menu,tier_1_official,El Cerro Grande,https://elcerrogranderestaurant.com/menu,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,medium,active,true,false,false,30,2026-06-04,,,2026-07-04,,Official menu and Monkey Junction location evidence; regular lunch-menu qualification blocker.
src-michaelangelos-pizza-monkey-junction-primary,michaelangelos-pizza-monkey-junction,website,tier_1_official,Michaelangelo's Pizza,https://www.michaelangelosmj.com/specials,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,medium,active,true,false,true,7,2026-06-04,,,2026-06-11,,Official image-based specials page; screenshot and OCR required before promotion.
src-might-as-well-wilmington-primary,might-as-well-wilmington,website,tier_1_official,Might As Well Bar & Grill,https://wilmington.mightaswellbarandgrill.com/wilmington-might-as-well-bar-and-grill-wilmington-happy-hours-specials,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,medium,active,true,false,true,1,2026-06-04,,,2026-06-05,,Official date-windowed specials page; alcohol/event copy requires suppression and short expiry.
src-sawmill-restaurant-primary,sawmill-restaurant,website,tier_1_official,Sawmill Restaurant,https://thesawmillrestaurant.com/daily-specials/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,medium,active,true,false,true,1,2026-06-04,,,2026-06-05,,Official daily specials page; Monkey Junction boundary review and short expiry required.
src-fortunate-glass-primary,fortunate-glass,website,tier_1_official,Fortunate Glass,https://www.fortunateglass.com/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,active,true,false,true,14,2026-06-04,,,2026-06-18,ops/research/intake/wilmington-2026-06-03/evidence/fortunate-glass/,"Official homepage links Weekly Specials PDF; PDF artifact, normalized text, and hashes captured 2026-06-04. Human food-only review still required."
src-tidewater-oyster-bar-primary,tidewater-oyster-bar,menu,tier_1_official,Tidewater Oyster Bar,https://tidewateroysterbar.com/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,active,true,false,true,14,2026-06-04,,,2026-06-18,,Official site identifies restaurant and links order flow; exact current specials observed on partner Toast source.
src-tidewater-oyster-bar-toast-2026-06-04,tidewater-oyster-bar,ordering_page,tier_3_partner,Tidewater Oyster Bar,https://order.toasttab.com/online/tidewater-oyster-bar,manual_web_review,false,true,Partner ordering page; do not automate collection without permission/terms review.,true,false,normal,active,true,false,true,1,2026-06-04,,,2026-06-05,,Official-linked Toast daily specials lead; same-day/next-day expiry or direct confirmation required.
src-roko-italian-cuisine-primary,roko-italian-cuisine,website,tier_1_official,Roko Italian Cuisine,https://www.rokoitalian.com/weekly-specials,manual_web_review,true,false,Review robots/terms before automated collection.,true,true,high,needs_review,true,false,true,14,2026-06-04,,,2026-06-18,,House Special lacks food detail price time and restrictions; direct confirmation needed.
src-castle-street-kitchen-primary,castle-street-kitchen,menu,tier_1_official,Castle Street Kitchen,https://www.castlestkitchen.com/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,needs_review,true,false,true,14,2026-06-04,,,2026-06-18,,Rotating taco feature lacks current item price day time and recurrence; direct confirmation needed.
src-yosake-primary,yosake,menu,tier_1_official,YoSake,https://yosake.com/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,needs_recheck,true,false,true,14,2026-06-04,,,2026-06-18,,Current linked source does not show exact happy-hour food terms; older PDF should not support current candidate alone.
src-c-street-mexican-grill-primary,c-street-mexican-grill,ordering_page,tier_3_partner,C-Street Mexican Grill,https://direct.chownow.com/order/28956/locations/42738,manual_web_review,false,true,Partner ordering page; do not automate collection without permission/terms review.,true,true,normal,needs_recheck,true,false,true,14,2026-06-04,,,2026-06-18,,Address/ZIP conflict remains across fixture official site and ChowNow; resolve before deal research.
src-hurricane-alleys-primary,hurricane-alleys,menu,tier_1_official,Hurricane Alley's,https://hurricanealleyscb.com/hurricane-alleys-restaurant-menu/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,normal,active,true,false,false,30,2026-06-04,,,2026-07-04,ops/research/intake/wilmington-2026-06-03/evidence/carolina-beach-official-scan/hurricane-alleys-cb-centennial-shrimp-normalized-2026-06-04.txt,Official Carolina Beach menu source; candidate remains internal pending recurrence/active-special review and public-copy approval.
src-k38-porters-neck-primary,k38-porters-neck,menu,tier_1_official,K38 Porters Neck,https://k38bajagrill.com/locations/porters-neck/,manual_web_review,true,false,Review robots/terms before automated collection.,true,true,high,active,true,false,false,30,2026-06-04,,,2026-07-04,ops/research/intake/wilmington-2026-06-03/evidence/k38-porters-neck/official-specials-normalized-2026-06-04.txt,Official location page supports recurring Monday and Wednesday food-special candidates; suppress drink copy.
src-k38-forum-primary,k38-forum,menu,tier_1_official,K38 Forum,https://k38bajagrill.com/locations/forum/,manual_web_review,true,false,Review robots/terms before automated collection.,true,true,high,active,true,false,false,30,2026-06-04,,,2026-07-04,ops/research/intake/wilmington-2026-06-03/evidence/k38-forum/official-specials-normalized-2026-06-04.txt,Official location page supports recurring Monday and Wednesday food-special candidates; suppress drink copy.
src-prost-biergarten-primary,prost-biergarten,website,tier_1_official,Prost Biergarten,https://prostilm.com/wilmington-downtown-prost-biergarten-happy-hours-specials,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,active,true,false,true,7,2026-06-04,,,2026-06-11,ops/research/intake/wilmington-2026-06-03/evidence/prost-biergarten/official-specials-normalized-2026-06-04.txt,Official specials page supports date-windowed lunch-special candidates; volatile source and alcohol suppression required.
src-block-taco-primary,block-taco,menu,tier_1_official,Block Taco,https://blocktaco.com/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,active,true,false,false,30,2026-06-04,,,2026-07-04,ops/research/intake/wilmington-2026-06-03/evidence/block-taco/official-specials-normalized-2026-06-04.txt,Official Current Specials section supports Pizza Box candidate; group-pack qualification review required.
src-cb-fentonis-daily-specials,fentonis-pizza,website,tier_1_official,Fentoni's Pizza,https://fentonispizza.com/daily-specials,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,active,true,false,false,30,2026-06-04,,,2026-07-04,ops/research/intake/wilmington-2026-06-03/evidence/carolina-beach-official-scan/fentonis-daily-specials-normalized-2026-06-04.txt,Official daily-specials page supports weekday lunch-special candidate; Carolina Beach Publix location confirmed.
src-cb-k38-location,k38-baja-grill,menu,tier_1_official,K38 Baja Grill,https://k38bajagrill.com/locations/carolina-beach/,manual_web_review,true,false,Review robots/terms before automated collection.,true,true,high,active,true,false,false,30,2026-06-04,,,2026-07-04,ops/research/intake/wilmington-2026-06-03/evidence/carolina-beach-official-scan/k38-carolina-beach-weekday-specials-normalized-2026-06-04.txt,Official Carolina Beach location page supports recurring Monday and Wednesday food-special candidates; suppress drink copy.
src-rooster-and-the-crow-primary,rooster-and-the-crow-wilmington,website,tier_1_official,Rooster & The Crow,https://roosterandthecrow.com/wilmington-downtown-rooster-and-the-crow-happy-hours-specials,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,medium,active,true,false,true,1,2026-06-04,,,2026-06-05,,Official date-windowed specials page; price missing so direct confirmation is required before any promotion.
