batch,restaurant,market_lane,scope_status,official_source_status,deal_signal_status,strongest_signal,source_url,priority,move_to_item_expansion,next_action
Breadth Batch 01,JohnnyLukes KitchenBar,College Rd / UNCW,Wilmington core,official_source_not_captured,C_manual_social_needed,Happy-hour food lead remains unproven from official source.,https://johnnylukeskitchenbar.com/,P2,No,Manual browser capture official site + official social; confirm happy-hour food terms or demote.
Breadth Batch 01,Carolina Ale House — Wilmington,College Rd / UNCW,Wilmington core,official_location_confirmed,B_source_backed_terms_missing,"Official location/menu/promotions surfaces exist, but exact local lunch/happy-hour food terms were not captured.",https://www.carolinaalehouse.com/locations/wilmington-nc,P2,No,"Capture menu/promotions/order flow; if exact food terms do not render, demote to coverage-only."
Breadth Batch 01,City Barbeque — Wilmington,South Wilmington / Carolina Beach Rd,Wilmington core,official_menu_confirmed,A_source_backed_candidate,"Rib Bone Tuesday — ribs by the bone at a discount every Tuesday, all day.",https://www.citybbq.com/,P1,Yes,Capture Wilmington order surface and screenshot Rib Bone Tuesday plus Family Pack path.
Breadth Batch 01,Smithfield's Chicken 'N Bar-B-Q,Wilmington / chain coverage,Wilmington core needs local-location confirmation,official_menu_confirmed,B_source_backed_terms_missing,"Tailgate Special with chicken, hushpuppies, BBQ, sides, and tea.",https://www.scnbnc.com/,P2,Maybe,"Capture location selector/order flow for Wilmington; if no Wilmington location, mark out-of-scope."
Breadth Batch 01,Frontier Food To Go,South Wilmington / Carolina Beach Rd,Wilmington core,official_source_not_captured,C_manual_social_needed,Takeout/value lead only; no exact official special captured.,,P3,No,Find official owner-controlled source; otherwise park as coverage-only takeout lead.
Breadth Batch 01,South Beach Grill,Wrightsville Beach / boundary,Boundary review,official_source_confirmed,B_source_backed_terms_missing,"Chef's Chalkboard Specials are official, but exact items need linked chalkboard menu capture.",https://www.southbeachgrillwb.com/,P2,No,Open/capture Chef's Chalkboard Menu link in manual browser/PDF route.
Breadth Batch 01,SeaWitch Tiki Bar,Carolina Beach,Greater Wilmington / beach,official_source_confirmed,C_manual_social_needed,Event copy says to ask server/bartender about rotating dinner specials; standing specials are drink-only and suppressed.,https://seawitchtikibar.com/,P3,No,Same-day social/direct confirmation for rotating dinner special; suppress drink rows.
Breadth Batch 01,Shuckin' Shack Oyster Bar — Leland,Leland / Belville / Waterford,Boundary review,official_location_confirmed,B_source_backed_terms_missing,"Location page links America 250 Summer Menu, but fetched text does not expose exact items.",https://www.theshuckinshack.com/location-leland,P2,No,Capture America 250 image/menu; classify Leland boundary scope before item rows.
Breadth Batch 01,Moe's Original BBQ — Wilmington,Oleander / Midtown,Wilmington core,official_location_confirmed,A_source_backed_candidate,Daily special sides and Double Wide/Triple Wide family packs are official-source-backed.,https://www.moesoriginalbbq.com/lo/wilmington/,P1,Yes,Promote family-pack row to item expansion; capture same-day special side only when current.
Breadth Batch 01,Kickback Jack's — Wilmington,College Rd / UNCW,Wilmington core,official_location_and_menu_confirmed,B_source_backed_terms_missing,Official menu lists lunch combos 11 AM–3 PM and Wilmington ordering/location is present.,https://www.kbjacks.com/menu?section=3,P2,Maybe,Capture Wilmington order page price for Wings & Fries Lunch Combo or demote to menu-category row.
Breadth Batch 01,Tavern 14,Wilmington / sports bar lane,Wilmington core unverified,official_source_not_captured,C_manual_social_needed,Wing/burger lead remains unproven from official source.,,P3,No,Find owner-controlled source; otherwise park as sports-bar coverage lead.
