source_capture_id,source_id,restaurant_id,captured_at,captured_by,capture_method,source_url,source_final_url,source_title,source_published_at,source_observed_at,evidence_type,extracted_text_or_confirmation_note,content_hash,screenshot_path,archive_url_or_path,metadata_json,capture_status,notes
cap-cb-fentonis-daily-specials-20260603,src-cb-fentonis-daily-specials,fentonis-pizza,2026-06-03,codex-worker,browser_manual,https://fentonispizza.com/daily-specials,https://fentonispizza.com/daily-specials,Daily Specials,,2026-06-03,official_website,"Official daily specials page states: Lunch Special Monday Thru Friday 11am-2pm, dine in only, any 2 slices and a fountain drink, $8.41 plus tax, available at Publix location only.",sha256:261c5d0d0c3b6785fe1fbc81d87a07cbc47fa23c3a47750b7e080e0ae5e7c3cf,ops/research/intake/carolina-beach-2026-06-03/screenshots/fentonis-daily-specials-2026-06-03.png,,"{""evidence_file_sha256"":""sha256:70f20c83f90d3ed667cc9641508e7ae4e7065c7c30c4b2eecb8cf3cbc5a5ee85"",""page_title"":""Daily Specials"",""capture_status"":""captured""}",captured,Supports Fentoni lunch special details; public promotion still blocked by Carolina Beach out-of-scope and human approval requirements.
cap-cb-k38-location-20260603,src-cb-k38-location,k38-baja-grill,2026-06-03,codex-worker,browser_manual,https://k38bajagrill.com/locations/carolina-beach/,https://k38bajagrill.com/locations/carolina-beach/,Carolina Beach - K38,,2026-06-03,official_location_page,"Official Carolina Beach location page states address 1000 N. Lake Park Blvd Suite 101; Cinco de Monday (Everything $5) includes Baja Fish Tacos and other items; Quesadilla Wednesday is 1/2 Off De La Casa Quesadilla including chicken, cheese or veggie; food specials start at 5:00pm; all specials are dine in only.",sha256:5ee417f831b01630b4a384ce67e544877e68683eb55b6c7c60533d6384db1491,ops/research/intake/carolina-beach-2026-06-03/screenshots/k38-carolina-beach-location-2026-06-03.png,,"{""evidence_file_sha256"":""sha256:745ad6c24e627844417f8a07c72cf96222cc3d3c86f23ae3176bf8a0b9c633ec"",""page_title"":""Carolina Beach - K38"",""capture_status"":""captured""}",captured,Supports K38 Monday and Wednesday food-special claims; end time remains unspecified.
cap-cb-hoplite-brunch-20260603,src-cb-hoplite-brunch,hoplite-irish-pub-restaurant,2026-06-03,codex-worker,browser_manual,https://hopliterestaurant.com/brunch-menu/,https://hopliterestaurant.com/brunch-menu/,Brunch Menu -,,2026-06-03,official_menu_page,"Official brunch menu page states brunch is served Sundays from 10 am to 2 pm and lists Breakfast Specials including Classic Breakfast 12, Loaded Irish Breakfast 14, French Toast 10, Waffles 9, and other food items.",sha256:2a7c7b026d4b8b4878c5f5d71d03514211b71545851c05ae03874fe5d63d2a4c,ops/research/intake/carolina-beach-2026-06-03/screenshots/hoplite-brunch-menu-2026-06-03.png,,"{""evidence_file_sha256"":""sha256:8ec85098a3706986be4410e8dc2297b040d64ae176eed2eb621896f10ecf7447"",""page_title"":""Brunch Menu -"",""capture_status"":""captured""}",captured,Supports Sunday brunch menu/specials wording; use cautious menu-special copy rather than discount copy.
cap-cb-lazy-pirate-home-20260603,src-cb-lazy-pirate-home,lazy-pirate-sports-grill,2026-06-03,codex-worker,browser_manual,https://lazypiratesportsgrill.com/,https://lazypiratesportsgrill.com/,"Lazy Pirate Sports Grill | Food, Drinks & Live Music",,2026-06-03,official_website,Official homepage states Lazy Pirate is in Carolina Beach and mentions famous All You Can Eat Crab Legs from 4-8 PM.,sha256:ef8a8f80a5312cde2b37f25843655da649cb90948c02c74aa9f2b4fd899888b0,ops/research/intake/carolina-beach-2026-06-03/screenshots/lazy-pirate-home-2026-06-03.png,,"{""evidence_file_sha256"":""sha256:c21709600e060f0b36550875ed9d5bb421a12df6c65630eb9e8d7058c705e853"",""page_title"":""Lazy Pirate Sports Grill | Food, Drinks & Live Music"",""capture_status"":""captured_partial""}",captured_partial,Supports item and time window only; official day and price were not visible on captured page.
cap-cb-lazy-pirate-events-20260603,src-cb-lazy-pirate-events,lazy-pirate-sports-grill,2026-06-03,codex-worker,browser_manual,https://lazypiratesportsgrill.com/about/,https://lazypiratesportsgrill.com/about/,"About Lazy Pirate Sports Grill | Food, Drinks & Live Music",,2026-06-03,official_website,"Official linked upcoming events page was captured but did not show all-you-can-eat crab legs, day, or price in readable text.",sha256:b6139b8bab02da31c76e0fe2eb70632b49b2c58e94fad5f95d45a2c9ad42662d,ops/research/intake/carolina-beach-2026-06-03/screenshots/lazy-pirate-events-2026-06-03.png,,"{""evidence_file_sha256"":""sha256:db63b4b9b31cc2104e0e78a596f740b093b19ce21b71651305eb02ec5b79f827"",""page_title"":""About Lazy Pirate Sports Grill | Food, Drinks & Live Music"",""capture_status"":""captured_no_deal_text""}",captured_no_deal_text,Does not resolve Lazy Pirate day or price blocker.
cap-cb-shuckin-thursday-event-20260603,src-cb-shuckin-event,shuckin-shack-oyster-bar,2026-06-03,codex-worker,browser_manual,https://www.theshuckinshack.com/events/thursday-5db408fd,https://www.theshuckinshack.com/events/thursday-5db408fd,Thursday - Shuckin' Shack Oyster Bar,,2026-06-03,official_event_page,"Official Shuckin Shack event page states Thursday $29.99 a lb. Crab Legs, along with drink specials.",sha256:c37373d58d055c47e6ed1278291910831f912e0a8f24635cc9133d18da734253,ops/research/intake/carolina-beach-2026-06-03/screenshots/shuckin-shack-thursday-event-2026-06-03.png,,"{""evidence_file_sha256"":""sha256:8a735f0f60a78fc23f95460265c2bd6e499b6317c1cd88a3923a5a7608f9fe96"",""page_title"":""Thursday - Shuckin' Shack Oyster Bar"",""capture_status"":""captured_partial""}",captured_partial,Supports price and day; captured event text did not identify Carolina Beach location or time window.
cap-cb-michaels-menu-20260603,src-cb-michaels-menu,michaels-seafood-restaurant,2026-06-03,codex-worker,browser_manual,https://mikescfood.com/menu,https://mikescfood.com/menu,Michael's Seafood Restaurant Online Menu | Best Seafood in Carolina Beach,,2026-06-03,official_menu_page,"Official online menu for Michael's Seafood Restaurant at 1206 N Lake Park Blvd A, Carolina Beach includes a Lunch Specials menu category with items such as Classic Sandwich 14, Open Face Melt 15, Wrap 14, and Blackened Flounder Wrap 15.",sha256:63b791a9845a179d4557cb28833447e861515ccdfbbdfc6d895f819d0617a2c0,ops/research/intake/carolina-beach-2026-06-03/screenshots/michaels-menu-2026-06-03.png,,"{""evidence_file_sha256"":""sha256:8eea0e5968904392dc33c02153bb7641f6b05b2daf5a34000181d3fe884b3897"",""page_title"":""Michael's Seafood Restaurant Online Menu | Best Seafood in Carolina Beach"",""capture_status"":""captured""}",captured,"Shows a menu category, not enough proof of a dated or promotional deal under current policy."
cap-cb-seaworthy-home-20260603,src-cb-seaworthy-home,seaworthy-kitchen-bar,2026-06-03,codex-worker,browser_manual,https://seaworthycb.com/,https://seaworthycb.com/,"Seaworthy Kitchen and Bar: Fresh Seafood & Local Ingredients. Steaks, crab dip, shrimp and grits, cocktails",,2026-06-03,official_website,"Official homepage states Daily Drink & Food Specials and 3-5 Happy Hour Menu Daily, and separately says the restaurant offers daily food specials and a 3-5 happy hour menu.",sha256:9b32f44fd680f0d1f257cb99fb6b77de468caa6027e3f6976a49dfab782d5a89,ops/research/intake/carolina-beach-2026-06-03/screenshots/seaworthy-home-2026-06-03.png,,"{""evidence_file_sha256"":""sha256:93bf31129ac1584aa9df0c6577b26ea41233a2d9b5c4a9bbf377d1aa7e8f578b"",""page_title"":""Seaworthy Kitchen and Bar: Fresh Seafood & Local Ingredients. Steaks, crab dip, shrimp and grits, cocktails"",""capture_status"":""captured_partial""}",captured_partial,Supports broad daily happy-hour/specials language only; specific food items and prices remain missing.
cap-cb-bella-vita-home-20260603,src-cb-bella-vita-home,bella-vita,2026-06-03,codex-worker,browser_manual,https://bellavitancb.com/,https://bellavitancb.com/,Bella Vita,,2026-06-03,official_website,"Official website identifies Bella Vita, formerly Uncle Vinny's, as a Carolina Beach Italian bar and restaurant and shows menu items, but captured text did not show 9.99 lunch specials.",sha256:b60367016ffc99ba7bcf83e95361a25887b676533bf676e18b6dbf40002a0b61,ops/research/intake/carolina-beach-2026-06-03/screenshots/bella-vita-home-2026-06-03.png,,"{""evidence_file_sha256"":""sha256:f2d227f217212df356872a7f8d7c2a84f4c8200c81fc8ca0efa3554912b638b1"",""page_title"":""Bella Vita"",""capture_status"":""captured_identity_only""}",captured_identity_only,Identity proof only; no deal proof found on captured official website.
cap-cb-nollies-facebook-20260603,src-cb-nollies-facebook,nollies-taco-joint,2026-06-03,codex-worker,browser_manual,https://www.facebook.com/nolliescb/,https://www.facebook.com/nolliescb/,Nollie's Taco Joint | Carolina Beach NC,,2026-06-03,official_social_page,"Official Facebook page title loaded as Nollie's Taco Joint | Carolina Beach NC, but no readable post text or Taco Tuesday deal details rendered in the browser capture.",sha256:896aef43cddce4bf696db9697c58a5682ff265ec291a30ce9772d88a9eef5a93,ops/research/intake/carolina-beach-2026-06-03/screenshots/nollies-facebook-2026-06-03.png,,"{""evidence_file_sha256"":""sha256:ecdd7f63573ede6af8c8f00b9c386545d10a6b31a74e20ef6563784e09a2fe4d"",""page_title"":""Nollie's Taco Joint | Carolina Beach NC"",""capture_status"":""captured_no_readable_post_text""}",captured_no_readable_post_text,No usable visual/text proof of Taco Tuesday bundle pricing was captured.
