source_check_id,deal_id,restaurant_id,source_id,direct_confirmation_id,source_capture_id_before,source_capture_id_after,checked_at,checked_by,check_type,started_at,completed_at,source_tier,source_url,previous_result,result,result_detail,http_status_or_access_result,confidence_status_before,confidence_status_after,workflow_status_before,workflow_status_after,change_detected,changed_fields,action_taken,affected_deal_ids,evidence_url_or_path,archive_url_or_path,screenshot_path,content_hash,assigned_to,resolved_at,notes,next_check_due,fixture_data_class,is_live_data,prototype_notice
chk-south-front-tavern-2026-06-01,,south-front-tavern,src-south-front-tavern-primary,,,cap-south-front-tavern-2026-06-01,2026-06-01T12:00:00-04:00,codex_research,routine,2026-06-01T12:00:00-04:00,2026-06-01T12:05:00-04:00,tier_1_official,https://www.southfronttavern.com/,,confirmed,Official or official-linked source identified for Wilmington NC seed set.,,,verified,,lead,false,source_identified,no_public_deal_created,,fixtures/prototype/evidence/verified-static/src-south-front-tavern-primary.md,,app/public/evidence/source-screenshots/src-south-front-tavern-primary.png,,codex_research,2026-06-01T12:05:00-04:00,Seed source check; no deal publication implied. Screenshot proof captured for app evidence preview.,2026-06-15,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
chk-caprice-bistro-2026-06-01,,caprice-bistro,src-caprice-bistro-primary,,,cap-caprice-bistro-2026-06-01,2026-06-01T12:00:00-04:00,codex_research,routine,2026-06-01T12:00:00-04:00,2026-06-01T12:05:00-04:00,tier_1_official,https://www.capricebistro.com/,,confirmed,Official or official-linked source identified for Wilmington NC seed set.,,,verified,,lead,false,source_identified,no_public_deal_created,,fixtures/prototype/evidence/verified-static/src-caprice-bistro-primary.md,,app/public/evidence/source-screenshots/src-caprice-bistro-primary.png,,codex_research,2026-06-01T12:05:00-04:00,Seed source check; no deal publication implied. Screenshot proof captured for app evidence preview.,2026-06-15,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
chk-rx-chicken-oysters-2026-06-01,,rx-chicken-oysters,src-rx-chicken-oysters-primary,,,cap-rx-chicken-oysters-2026-06-01,2026-06-01T12:00:00-04:00,codex_research,routine,2026-06-01T12:00:00-04:00,2026-06-01T12:05:00-04:00,tier_1_official,https://www.rxwilmington.com/,,confirmed,Official or official-linked source identified for Wilmington NC seed set.,,,verified,,lead,false,source_identified,no_public_deal_created,,fixtures/prototype/evidence/verified-static/src-rx-chicken-oysters-primary.md,,app/public/evidence/source-screenshots/src-rx-chicken-oysters-primary.png,,codex_research,2026-06-01T12:05:00-04:00,Seed source check; no deal publication implied. Screenshot proof captured for app evidence preview.,2026-06-15,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
chk-cornelias-2026-06-01,,cornelias,src-cornelias-primary,,,cap-cornelias-2026-06-01,2026-06-01T12:00:00-04:00,codex_research,routine,2026-06-01T12:00:00-04:00,2026-06-01T12:05:00-04:00,tier_1_official,https://corneliasrestaurant.com/,,confirmed,Official or official-linked source identified for Wilmington NC seed set.,,,verified,,lead,false,source_identified,no_public_deal_created,,fixtures/prototype/evidence/verified-static/src-cornelias-primary.md,,,,codex_research,2026-06-01T12:05:00-04:00,Seed source check; no deal publication implied.,2026-06-15,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
chk-the-cardinal-2026-06-01,,the-cardinal,src-the-cardinal-primary,,,cap-the-cardinal-2026-06-01,2026-06-01T12:00:00-04:00,codex_research,routine,2026-06-01T12:00:00-04:00,2026-06-01T12:05:00-04:00,tier_1_official,https://thecardinalilm.com/,,confirmed,Official or official-linked source identified for Wilmington NC seed set.,,,verified,,lead,false,source_identified,no_public_deal_created,,fixtures/prototype/evidence/verified-static/src-the-cardinal-primary.md,,app/public/evidence/source-screenshots/src-the-cardinal-primary.png,,codex_research,2026-06-01T12:05:00-04:00,Seed source check; no deal publication implied. Screenshot proof captured for app evidence preview.,2026-06-15,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
chk-kornerstone-bistro-2026-06-01,,kornerstone-bistro,src-kornerstone-bistro-primary,,,cap-kornerstone-bistro-2026-06-01,2026-06-01T12:00:00-04:00,codex_research,routine,2026-06-01T12:00:00-04:00,2026-06-01T12:05:00-04:00,tier_1_official,https://www.kornerstonebistro.com/,,confirmed,Official or official-linked source identified for Wilmington NC seed set.,,,verified,,lead,false,source_identified,no_public_deal_created,,fixtures/prototype/evidence/verified-static/src-kornerstone-bistro-primary.md,,app/public/evidence/source-screenshots/src-kornerstone-bistro-primary.png,,codex_research,2026-06-01T12:05:00-04:00,Seed source check; no deal publication implied. Screenshot proof captured for app evidence preview.,2026-06-15,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
chk-roko-italian-cuisine-2026-06-01,,roko-italian-cuisine,src-roko-italian-cuisine-primary,,,cap-roko-italian-cuisine-2026-06-01,2026-06-01T12:00:00-04:00,codex_research,routine,2026-06-01T12:00:00-04:00,2026-06-01T12:05:00-04:00,tier_1_official,https://www.rokoitalian.com/,,confirmed,Official or official-linked source identified for Wilmington NC seed set.,,,verified,,lead,false,source_identified,no_public_deal_created,,fixtures/prototype/evidence/verified-static/src-roko-italian-cuisine-primary.md,,,,codex_research,2026-06-01T12:05:00-04:00,Seed source check; no deal publication implied.,2026-06-15,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
chk-winnies-tavern-2026-06-01,,winnies-tavern,src-winnies-tavern-primary,,,cap-winnies-tavern-2026-06-01,2026-06-01T12:00:00-04:00,codex_research,routine,2026-06-01T12:00:00-04:00,2026-06-01T12:05:00-04:00,tier_3_partner,https://www.clover.com/online-ordering/winnies-tavern-wilmington,,confirmed,Official or official-linked source identified for Wilmington NC seed set.,,,verified,,lead,false,source_identified,no_public_deal_created,,fixtures/prototype/evidence/verified-static/src-winnies-tavern-primary.md,,,,codex_research,2026-06-01T12:05:00-04:00,Seed source check; no deal publication implied.,2026-06-15,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
chk-the-half-downtown-2026-06-01,,the-half-downtown,src-the-half-downtown-primary,,,cap-the-half-downtown-2026-06-01,2026-06-01T12:00:00-04:00,codex_research,routine,2026-06-01T12:00:00-04:00,2026-06-01T12:05:00-04:00,tier_3_partner,https://www.toasttab.com/the-half-downtown-wilmington-510-1-2-red-cross-street/v3,,confirmed,Official or official-linked source identified for Wilmington NC seed set.,,,verified,,lead,false,source_identified,no_public_deal_created,,fixtures/prototype/evidence/verified-static/src-the-half-downtown-primary.md,,,,codex_research,2026-06-01T12:05:00-04:00,Seed source check; no deal publication implied.,2026-06-15,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
chk-c-street-mexican-grill-2026-06-01,,c-street-mexican-grill,src-c-street-mexican-grill-primary,,,cap-c-street-mexican-grill-2026-06-01,2026-06-01T12:00:00-04:00,codex_research,routine,2026-06-01T12:00:00-04:00,2026-06-01T12:05:00-04:00,tier_3_partner,https://direct.chownow.com/order/28956/locations/42738,,confirmed,Official or official-linked source identified for Wilmington NC seed set.,,,verified,,lead,false,source_identified,no_public_deal_created,,fixtures/prototype/evidence/verified-static/src-c-street-mexican-grill-primary.md,,,,codex_research,2026-06-01T12:05:00-04:00,Seed source check; no deal publication implied.,2026-06-15,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
