source_id,restaurant_id,source_type,source_tier,source_owner,source_url,collection_method,automation_allowed,permission_required,robots_or_terms_notes,wilmington_location_match,multi_location_risk,source_priority,source_status,requires_manual_check,login_required,volatile_source,expected_check_cadence_days,last_successful_check_at,last_failed_check_at,failure_reason,next_check_due,evidence_storage_path,notes
src-cb-fentonis-daily-specials,fentonis-pizza,website,tier_1_official,restaurant,https://fentonispizza.com/daily-specials,user_provided_gpt_intake,false,true,Manual review and capture required before use.,pilot_market_confirmed,unknown,high,needs_review,true,false,false,30,,,,,,Official page URL supplied by user; Codex did not fetch or capture it.
src-cb-k38-location,k38-baja-grill,website,tier_1_official,restaurant,https://k38bajagrill.com/locations/carolina-beach/,user_provided_gpt_intake,false,true,Manual review and capture required before use.,pilot_market_confirmed,unknown,high,needs_review,true,false,false,30,,,,,,Official location page URL supplied by user; Codex did not fetch or capture it.
src-cb-hoplite-brunch,hoplite-irish-pub-restaurant,menu,tier_1_official,restaurant,https://hopliterestaurant.com/brunch-menu/,user_provided_gpt_intake,false,true,Manual review and capture required before use.,pilot_market_confirmed,unknown,high,needs_review,true,false,false,30,,,,,,Official brunch menu URL supplied by user; Codex did not fetch or capture it.
src-cb-lazy-pirate-home,lazy-pirate-sports-grill,website,tier_1_official,restaurant,https://lazypiratesportsgrill.com/,user_provided_gpt_intake,false,true,Manual review and capture required before use.,pilot_market_confirmed,unknown,normal,needs_review,true,false,false,30,,,,,,Official website URL supplied by user; price and day details are missing in pasted audit.
src-cb-shuckin-event,shuckin-shack-oyster-bar,website,tier_1_official,restaurant,https://www.theshuckinshack.com/events/thursday-5db408fd,user_provided_gpt_intake,false,true,Manual review and capture required before use.,pilot_market_confirmed,unknown,normal,needs_review,true,false,true,14,,,,,,Official event URL supplied by user; visual capture and time window needed.
src-cb-michaels-menu,michaels-seafood-restaurant,menu,tier_1_official,restaurant,https://mikescfood.com/menu,user_provided_gpt_intake,false,true,Manual review and capture required before use.,pilot_market_confirmed,unknown,low,needs_review,true,false,false,30,,,,,,Official menu URL supplied by user; pasted audit says this is not enough for a deal.
src-cb-seaworthy-home,seaworthy-kitchen-bar,website,tier_1_official,restaurant,https://seaworthycb.com/,user_provided_gpt_intake,false,true,Manual review and capture required before use.,pilot_market_confirmed,unknown,normal,needs_review,true,false,false,30,,,,,,Official website URL supplied by user; specific happy-hour food proof missing.
src-cb-stoked-toast,stoked-restaurant,partner_platform,tier_3_partner,partner_platform,https://order.toasttab.com/online/stoked-restaurant/item-bacon-jam-and-gouda-burger-lunch-special_f73ec7b6-4187-43e5-87a2-a4ec1286cbd,user_provided_gpt_intake,false,true,Manual review and official confirmation required before use.,pilot_market_confirmed,unknown,low,needs_review,true,false,false,14,,,,,,Toast URL supplied by user; discovery only unless official social/direct confirmation supports it.
src-cb-bella-vita-home,bella-vita,website,tier_1_official,restaurant,https://bellavitancb.com/,user_provided_gpt_intake,false,true,Manual review and capture required before use.,pilot_market_confirmed,unknown,low,needs_review,true,false,false,30,,,,,,Official website supports identity only per pasted audit; lunch deal needs official social capture.
src-cb-nollies-facebook,nollies-taco-joint,facebook,tier_2_official_social,restaurant,https://www.facebook.com/nolliescb/,user_provided_gpt_intake,false,true,Manual review and dated post capture required before use.,pilot_market_confirmed,unknown,normal,needs_review,true,true,true,14,,,,,,Official Facebook page URL supplied by user; snippet alone is not evidence.
src-cb-lazy-pirate-events,lazy-pirate-sports-grill,website,tier_1_official,restaurant,https://lazypiratesportsgrill.com/about/,manual_browser_check,false,true,Manual review and capture required before use.,pilot_market_confirmed,unknown,normal,needs_review,true,false,false,30,2026-06-03,,,2026-07-03,ops/research/intake/carolina-beach-2026-06-03/screenshots/lazy-pirate-events-2026-06-03.png,Official linked events page captured; did not resolve Lazy Pirate crab-leg day or price.
src-cb-stoked-official-menu,stoked-restaurant,menu,tier_1_official,restaurant,https://stokedrestaurant.com/carolina-beach-stoked-restaurant-food-menu,manual_browser_check,false,true,Manual review and capture required before use.,pilot_market_confirmed,unknown,normal,needs_review,true,false,false,30,2026-06-03,,,2026-07-03,ops/research/intake/carolina-beach-2026-06-03/screenshots/stoked-official-food-menu-2026-06-03.png,Official Stoked menu captured; candidate Toast lunch-special item was not visible in official menu text.
