source_id,restaurant_id,source_type,source_tier,source_owner,source_url,collection_method,automation_allowed,permission_required,robots_or_terms_notes,wilmington_location_match,multi_location_risk,source_priority,source_status,requires_manual_check,login_required,volatile_source,expected_check_cadence_days,last_successful_check_at,last_failed_check_at,failure_reason,next_check_due,evidence_storage_path,notes
src-sp-bella-cucina-weekly-lunch-specials,bella-cucina,menu,tier_1_official,restaurant,https://www.belladiningnc.com/weekly-lunch-specials,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,high,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official restaurant website/menu page. User-provided intake only; no capture performed.
src-sp-provision-company-lunch-special,provision-company,menu,tier_1_official,restaurant,https://provisioncompany.com/menu/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,high,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official restaurant website/menu page. User-provided intake only; no capture performed.
src-sp-asian-taste-lunch-special,asian-taste,partner_platform,tier_1_official,restaurant,https://www.asiantastenc.com/y1j30nsx/restaurant/order-online?menu=Lunch+Menu,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,high,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official / restaurant-controlled ordering menu. User-provided intake only; no capture performed.
src-sp-island-way-early-evening-dinner-menu,island-way,menu,tier_1_official,restaurant,https://islandwayres.com/early-evening-dinner-menu/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,high,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official restaurant website/menu page. User-provided intake only; no capture performed.
src-sp-frying-pan-restaurant-ayce-crab-legs,frying-pan-restaurant,website,tier_1_official,restaurant,https://fryingpansouthport.com/faq-items/what-are-your-hours/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,high,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official restaurant website/FAQ. User-provided intake only; no capture performed.
src-sp-provision-company-seafood-specials,provision-company,menu,tier_1_official,restaurant,https://provisioncompany.com/menu/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,low,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official restaurant website/menu page. User-provided intake only; no capture performed.
src-sp-los-primos-lunch-specials,los-primos-mexican-restaurant,partner_platform,tier_1_official,restaurant,https://losprimosmexicanrestaurant.com/menu/los-primos-2-5021-southport-crossing-way,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,low,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — restaurant-linked Toast/menu page. User-provided intake only; no capture performed.
src-sp-southport-gourmet-sushi-roll-specials,southport-gourmet-and-sushi-bar,menu,tier_1_official,restaurant,https://www.southportgourmetandsushibar.com/lunch.html,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,low,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official restaurant website/menu page. User-provided intake only; no capture performed.
src-sp-san-felipe-lunch-special-combos,san-felipe-mexican-restaurant,menu,tier_1_official,restaurant,https://www.sanfelipenc.com/menu,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,normal,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official restaurant website linking to lunch menu/PDF. User-provided intake only; no capture performed.
src-sp-southern-gathering-place-burger-night,southern-a-gathering-place,menu,tier_1_official,restaurant,https://www.southernagatheringplace.com/menu,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,normal,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official website + official PDF link. User-provided intake only; no capture performed.
src-sp-dots-on-howe-bbq-sandwich-special,dot-s-on-howe,facebook,tier_2_official_social,restaurant,https://www.facebook.com/p/Dots-On-Howe-61573928559561/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,normal,needs_review,true,true,true,14,,,,,,Original source_tier: Tier 2 — official Facebook snippet/post. User-provided intake only; no capture performed.
src-sp-island-times-cafe-lunch-specials,island-times-cafe,facebook,tier_2_official_social,restaurant,https://www.facebook.com/islandtimescafe/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,normal,needs_review,true,true,true,14,,,,,,Original source_tier: Tier 2 — official Facebook snippets; official website exists but not enough for specials. User-provided intake only; no capture performed.
src-sp-carolina-coastal-cafe-specials,carolina-coastal-cafe-cacoca,facebook,tier_2_official_social,restaurant,https://www.facebook.com/p/Carolina-Coastal-Cafe-100067967550997/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,normal,needs_review,true,true,true,14,,,,,,Original source_tier: Tier 2 — official Facebook snippet. User-provided intake only; no capture performed.
src-sp-ports-of-call-bistro-tuesday-lunch-specials,ports-of-call-bistro,website,tier_1_official,restaurant,https://portsofcallbistro.com/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,normal,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 website discovery + Tier 2 official social snippets. User-provided intake only; no capture performed.
src-sp-saucy-southerner-hotdog-special,the-saucy-southerner,website,tier_1_official,restaurant,https://saucysoutherner.com/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,low,needs_review,true,false,false,30,,,,,,"Original source_tier: Tier 1 website + Tier 2 official Instagram snippet, status conflict. User-provided intake only; no capture performed."
src-sp-gourmet-to-go-southport,gourmet-to-go-and-catered-affairs,partner_platform,tier_1_official,restaurant,https://gourmettogosouthport.com/daily-menu,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,low,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official website / ordering flow. User-provided intake only; no capture performed.
src-sp-rusty-hooks-dockside-grill,rusty-hooks-dockside-grill,partner_platform,tier_1_official,restaurant,https://www.rustyhooksdockside.com/menu,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,low,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official website + Toast ordering page. User-provided intake only; no capture performed.
src-sp-the-thai-peppers,the-thai-peppers,menu,tier_1_official,restaurant,https://thethaipeppers.com/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,low,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official website/menu image. User-provided intake only; no capture performed.
src-sp-taste-of-china-southport,taste-of-china,partner_platform,tier_1_official,restaurant,https://www.tasteofchina5204.com/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,low,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official website / HonorPOS ordering link. User-provided intake only; no capture performed.
src-sp-castuccis-italian-joint,castucci-s-italian-joint,facebook,tier_2_official_social,restaurant,https://www.facebook.com/castuccis/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,low,needs_review,true,true,true,14,,,,,,Original source_tier: Tier 2 — official Facebook. User-provided intake only; no capture performed.
src-sp-bambinis-pizzeria,bambini-s-pizzeria,website,tier_1_official,restaurant,https://bambinisrestaurant.com/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,low,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official website. User-provided intake only; no capture performed.
src-sp-eggs-up-grill-southport,eggs-up-grill,menu,tier_1_official,restaurant,https://locations.eggsupgrill.com/nc/southport/66/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,low,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official franchise location/menu. User-provided intake only; no capture performed.
src-sp-josephs-italian-bistro,joseph-s-italian-bistro,menu,tier_1_official,restaurant,https://www.josephsitalianbistro.com/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,low,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official website/menu. User-provided intake only; no capture performed.
src-sp-flavas-ice-cream,flava-s-ice-cream,website,tier_1_official,restaurant,https://www.flavasicecream.com/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,low,needs_review,true,false,false,30,,,,,,Original source_tier: Tier 1 — official website. User-provided intake only; no capture performed.
src-sp-live-oak-cafe,live-oak-cafe,facebook,tier_2_official_social,restaurant,https://www.facebook.com/p/Live-Oak-Cafe-100054595563479/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,low,needs_review,true,true,true,14,,,,,,Original source_tier: Tier 2 — official Facebook (blocked). User-provided intake only; no capture performed.
src-sp-indochine-express-southport,indochine-express-southport,website,tier_4_secondary,restaurant,https://indochineexpress.com/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,low,needs_review,true,false,false,30,,,,,,Original source_tier: . User-provided intake only; no capture performed.
src-sp-sawmill-cafe,sawmill-cafe,website,tier_4_secondary,restaurant,https://sawmillcafeandcatering.com/lunch-dinner-menu/,user_provided_consolidated_intake,false,true,Manual review and capture required before use.,out_of_scope,unknown,low,needs_review,true,false,false,30,,,,,,Original source_tier: . User-provided intake only; no capture performed.
src-sp-pepperoni-grill-oak-island-specials,pepperoni-grill-oak-island,website,tier_1_official,restaurant,https://pepperonigrillnc.com/oak-island/,manual_web_review,false,true,Manual review and capture required before use.,pilot_market_confirmed,unknown,high,needs_review,true,false,false,14,2026-06-03,,,2026-06-17,fixtures/prototype/evidence/verified-static/src-sp-pepperoni-grill-oak-island-specials.md,Backfilled from existing approved Southport/Oak Island intake row and local evidence artifacts; no new research performed.
src-sp-bbq-house-oak-island-lunch-specials,bbq-house-oak-island,menu,tier_1_official,restaurant,https://oki.bestbbqonthebeach.com/food-menu,manual_web_review,false,true,Manual review and capture required before use.,pilot_market_confirmed,unknown,high,needs_review,true,false,false,14,2026-06-03,,,2026-06-17,fixtures/prototype/evidence/verified-static/src-sp-bbq-house-oak-island-lunch-specials.md,Backfilled from existing approved Southport/Oak Island intake row and local evidence artifacts; no new research performed.
src-sp-swain-seafood-shack-lasagna-night,swain-seafood-shack,menu,tier_1_official,restaurant,https://www.swainseafoodshack.com/faq,manual_web_review,false,true,Manual review and capture required before use.,pilot_market_confirmed,unknown,high,needs_review,true,false,false,14,2026-06-03,,,2026-06-17,fixtures/prototype/evidence/verified-static/src-sp-swain-seafood-shack-lasagna-night.md,Backfilled from existing approved Southport/Oak Island intake row and local evidence artifacts; no new research performed.
